年份,工业企业出口交货值,轻工业企业出口交货值,重工业企业出口交货值,大型工业企业出口交货值,中型工业企业出口交货值,小型工业企业出口交货值,内资工业企业出口交货值,国有工业企业出口交货值,集体工业企业出口交货值,股份合作工业企业出口交货值,联营工业企业出口交货值,国有联营工业企业出口交货值,集体联营工业企业出口交货值,国有与集体联营工业企业出口交货值,其他联营工业企业出口交货值,有限责任公司工业企业出口交货值,国有独资公司工业企业出口交货值,其他有限责任公司工业企业出口交货值,股份有限公司工业企业出口交货值,私营工业企业出口交货值,私营独资工业企业出口交货值,私营合伙工业企业出口交货值,私营有限责任公司工业企业出口交货值,私营股份有限公司工业企业出口交货值,其他工业企业出口交货值,港、澳、台商投资工业企业出口交货值,合资经营(港或澳、台资)工业企业出口交货值,合作经营(港或澳、台资)工业企业出口交货值,港澳台商独资经营工业企业出口交货值,港澳台商投资股份有限公司工业企业出口交货值,其他港澳台商投资工业企业出口交货值,外商投资工业企业出口交货值,中外合资经营工业企业出口交货值,中外合作经营工业企业出口交货值,外资工业企业出口交货值,外商投资股份有限公司工业企业出口交货值,其他外商投资工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,117842.74,40849.51,76993.24,65737.12,28981.91,23123.71,46614.0,359.43,291.36,71.63,4.42,0.18,2.38,,1.86,16865.05,1300.41,15564.64,7880.76,21086.86,491.64,112.08,18511.19,1971.95,54.49,31119.74,5690.32,461.09,24168.98,650.38,148.98,40109.0,9590.85,547.68,28760.21,1104.7,105.56
2015,116013.09,40719.0,75294.08,65334.65,28452.07,22226.36,43064.52,486.98,286.54,79.96,9.43,8.24,0.99,0.2,0.0,15410.82,1278.95,14131.87,7298.49,19407.4,608.11,120.17,17151.53,1527.59,84.9,31331.09,5581.57,533.53,24331.55,745.48,138.96,41617.48,9973.57,599.65,29768.34,1146.13,129.79
2014,118414.25,41235.74,77178.51,67297.71,28721.9,22394.64,41377.93,608.22,308.41,79.41,27.58,19.71,4.44,0.24,3.19,14275.7,1314.34,12961.36,6961.09,19019.69,580.63,112.25,16849.88,1476.94,97.83,30161.57,5954.89,565.55,22983.41,643.52,14.2,46874.76,12018.36,677.32,32360.29,1739.88,78.91
2013,112824.03,39047.29,73776.75,63464.08,27239.04,22120.91,36888.99,734.29,293.79,93.33,25.72,12.79,4.9,0.82,7.21,12121.97,1329.97,10791.99,6419.96,17084.72,628.58,113.25,14938.49,1404.4,115.21,29132.59,5790.5,534.22,22202.8,577.94,27.13,46802.46,11279.06,666.48,33102.24,1734.93,19.74
2012,106610.16053,36068.3257,70541.83483,62380.46034,25211.39863,19018.30156,33757.53586,1073.68397,382.61876,230.3177,36.24485,15.58286,10.15538,3.41898,7.08763,10679.52695,1079.21254,9600.31441,6051.28483,14810.62141,1235.53999,178.60497,12202.51791,1193.95854,493.23739,27286.04396,5680.57238,480.24364,20445.95011,619.56709,59.71074,45566.58071,11073.05067,513.9497,32317.44623,1623.40378,38.73033
2011,99612.37399,34135.6769,65476.69709,58194.45281,23314.45391,18103.46727,31226.79824,1200.96602,527.62951,193.08167,59.65867,29.45885,8.138,14.37774,7.68408,9768.85733,1129.52631,8639.33102,5364.38057,13581.5509,1216.32813,154.84233,11086.20034,1124.1801,530.67357,24214.06896,5275.02748,488.53531,17954.00684,479.41423,17.0851,44171.50679,10768.57562,559.31155,31055.37456,1746.74472,41.50034
2010,89910.11646,32210.65147,57699.46499,40715.26098,29693.1548,19501.70068,27646.59671,1130.51066,493.40713,207.25592,49.78767,29.01764,13.10431,4.53607,3.12965,8633.61358,1208.04539,7425.56819,4282.87374,12679.67765,1343.62206,168.84314,10310.23325,856.9792,169.47036,21384.68334,4508.533,602.67824,15831.24683,442.22527,,40878.83641,10148.22292,544.15341,28584.38284,1602.07724,
2009,72051.74791,26757.04474,45294.70317,30532.74642,24249.31072,17269.69077,21612.90266,933.87011,474.42003,203.60898,43.9013,20.25125,15.54766,3.2795,4.82289,6566.62102,930.76616,5635.85486,3217.37444,10003.45367,1138.79385,152.12651,8048.39574,664.13757,169.65311,17500.91667,3731.65813,515.84094,12879.72495,373.69265,,32937.92858,8576.01774,504.83083,22835.076,1022.00401,
2008,82498.37886,29147.63136,53350.7475,34770.07846,28445.47056,19282.82984,25281.05692,1302.83568,476.71607,265.80281,128.33674,100.78914,13.94439,6.12893,7.47428,8318.03721,1215.32999,7102.70722,4154.9919,10507.90396,1102.63314,154.60943,8535.95466,714.70673,126.43255,19593.3619,4395.88941,477.66422,14355.10124,364.70703,,37623.96004,10586.74581,684.54374,25469.33659,883.3339,
