年份,工业企业营业利润,轻工业企业营业利润,重工业企业营业利润,大型工业企业营业利润,中型工业企业营业利润,小型工业企业营业利润,内资工业企业营业利润,国有工业企业营业利润,集体工业企业营业利润,股份合作工业企业营业利润,联营工业企业营业利润,国有联营工业企业营业利润,集体联营工业企业营业利润,国有与集体联营工业企业营业利润,其他联营工业企业营业利润,有限责任公司工业企业营业利润,国有独资公司工业企业营业利润,其他有限责任公司工业企业营业利润,股份有限公司工业企业营业利润,私营工业企业营业利润,私营独资工业企业营业利润,私营合伙工业企业营业利润,私营有限责任公司工业企业营业利润,私营股份有限公司工业企业营业利润,其他工业企业营业利润,港、澳、台商投资工业企业营业利润,合资经营(港或澳、台资)工业企业营业利润,合作经营(港或澳、台资)工业企业营业利润,港澳台商独资经营工业企业营业利润,港澳台商投资股份有限公司工业企业营业利润,其他港澳台商投资工业企业营业利润,外商投资工业企业营业利润,中外合资经营工业企业营业利润,中外合作经营工业企业营业利润,外资工业企业营业利润,外商投资股份有限公司工业企业营业利润,其他外商投资工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,73252.33,23530.96,49721.36,32261.07,17998.26,22993.0,55234.14,2122.6,321.76,48.95,11.71,0.36,3.29,0.85,7.2,20633.83,2467.48,18166.34,9352.59,22824.85,965.54,148.66,19802.08,1908.57,-82.13,6984.06,2569.49,225.65,3648.96,485.34,54.62,11034.12,5728.91,197.17,4577.0,459.69,71.36
2016,69612.16,25066.29,44545.86,25378.64,18813.44,25420.07,52590.51,1637.37,423.47,97.98,16.65,0.02,4.61,-0.18,12.2,17672.37,1524.15,16148.22,7137.23,25496.87,1353.27,192.91,21832.33,2118.36,108.57,6437.75,2393.26,203.95,3361.98,436.51,42.06,10583.89,5522.44,189.39,4501.67,352.46,17.92
2015,63925.89,23386.1,40539.79,22063.23,17511.7,24350.96,48511.55,1896.82,496.82,106.01,15.38,-0.85,4.18,-0.94,13.0,15674.71,839.41,14835.3,5848.2,24345.29,1561.33,236.02,20645.87,1902.08,128.31,5760.97,2122.95,182.16,3141.32,304.65,9.89,9653.37,5243.33,181.53,3933.67,283.13,11.71
2014,67254.92,22238.23,45016.69,25589.81,17609.31,24055.8,50960.26,2557.92,525.69,115.14,20.89,3.62,4.56,0.5,12.22,16598.84,1380.97,15217.87,7013.2,23917.7,1716.3,267.18,20067.26,1866.97,210.88,5845.29,2117.3,195.49,3260.32,266.42,5.76,10449.36,5598.57,201.51,4237.6,386.09,25.59
2013,68355.21,21613.95,46741.27,26242.64,17393.73,24718.84,52623.14,2766.84,577.76,131.58,30.9,6.79,7.08,2.53,14.5,16946.73,1754.58,15192.15,7812.24,24038.21,2038.67,352.5,19770.78,1876.26,318.89,5387.86,1992.38,194.0,2971.25,226.0,4.23,10344.21,5565.87,242.08,4090.04,408.36,37.85
2012,62100.65372,19196.59891,42904.05481,24842.14176,15452.5018,21806.01016,48114.71396,3590.12162,910.30499,301.51893,65.64916,15.56721,16.68422,11.91415,21.48358,13830.61471,1525.66975,12304.94496,7255.04644,21100.50681,4219.33123,645.81169,14705.69353,1529.67036,1060.9513,4956.16132,1872.10888,142.12304,2751.92641,176.86695,13.13604,9029.77844,4716.58421,236.55004,3619.38733,432.11803,25.13883
2011,63744.1618,17771.65411,45972.50769,26988.23002,15933.5335,20822.39828,47648.5825,3414.91041,930.41986,385.8563,111.19661,23.41514,22.46048,28.45623,36.86476,14788.74467,2035.90093,12752.84374,7607.222,19446.34064,3906.1145,664.08555,13410.88934,1465.25125,963.89201,5660.81395,2094.78892,164.68249,3159.27942,230.81736,11.24576,10434.76535,5661.14597,191.36523,4157.19446,417.29046,7.76923
2010,55537.21701,15463.04174,40074.17527,18425.15975,17965.42322,19146.63404,39976.45127,3427.23197,886.88794,328.51922,71.94327,29.80433,17.00183,9.70185,15.43526,12539.27308,1870.7733,10668.49978,6239.99682,16234.01166,3399.01052,617.40796,11047.6881,1169.90508,248.58731,5248.61072,1929.61227,157.4218,2902.823,258.75365,,10312.15502,5429.43648,216.3696,4240.29756,426.05138,
2009,36788.84647,11029.76644,25759.08003,11423.84357,11897.13272,13467.87018,26181.90903,2032.04578,733.54102,255.92716,57.15239,25.90186,15.44291,1.57011,14.23751,8141.19876,1129.0497,7012.14906,4038.35689,10769.21483,2400.54895,427.66212,7175.43274,765.57102,154.4722,3633.17094,1299.56636,127.73056,2028.27826,177.59576,,6973.7665,3675.2018,178.44548,2865.77082,254.3484,
