年份,工业企业财务费用,轻工业企业财务费用,重工业企业财务费用,大型工业企业财务费用,中型工业企业财务费用,小型工业企业财务费用,内资工业企业财务费用,国有工业企业财务费用,集体工业企业财务费用,股份合作工业企业财务费用,联营工业企业财务费用,国有联营工业企业财务费用,集体联营工业企业财务费用,国有与集体联营工业企业财务费用,其他联营工业企业财务费用,有限责任公司工业企业财务费用,国有独资公司工业企业财务费用,其他有限责任公司工业企业财务费用,股份有限公司工业企业财务费用,私营工业企业财务费用,私营独资工业企业财务费用,私营合伙工业企业财务费用,私营有限责任公司工业企业财务费用,私营股份有限公司工业企业财务费用,其他工业企业财务费用,港、澳、台商投资工业企业财务费用,合资经营(港或澳、台资)工业企业财务费用,合作经营(港或澳、台资)工业企业财务费用,港澳台商独资经营工业企业财务费用,港澳台商投资股份有限公司工业企业财务费用,其他港澳台商投资工业企业财务费用,外商投资工业企业财务费用,中外合资经营工业企业财务费用,中外合作经营工业企业财务费用,外资工业企业财务费用,外商投资股份有限公司工业企业财务费用,其他外商投资工业企业财务费用
2019,11371.11,,,,,,,,,,,,,,,,,,,3197.97,,,,,,,,,,,,,,,,,
2018,11856.48,,,,,,,,,,,,,,,,,,,3263.43,,,,,,,,,,,,,,,,,
2017,12832.93,2785.42,10047.5,5107.3,3273.51,4452.12,11415.87,402.37,31.99,6.48,2.79,1.06,0.38,0.09,1.26,5812.09,1195.92,4616.17,1596.85,3550.83,100.92,16.41,3121.18,312.32,12.48,675.31,353.46,17.24,247.13,40.74,16.75,741.74,385.3,20.08,267.97,59.64,8.75
2016,12650.57,2742.41,9908.16,5024.1,3182.62,4443.85,11114.25,461.43,38.21,7.24,2.36,0.97,0.45,0.12,0.82,5702.51,1107.43,4595.09,1381.7,3506.21,124.89,22.08,3053.28,305.97,14.59,627.54,311.33,20.1,260.55,18.39,17.18,908.77,509.25,23.71,321.58,46.3,7.93
2015,13494.24,2858.38,10635.86,5563.8,3305.7,4624.75,11790.31,678.91,50.95,10.98,2.35,0.81,0.54,0.2,0.79,5885.32,1196.17,4689.15,1530.33,3602.95,154.0,25.07,3137.27,286.62,28.54,713.78,370.55,25.39,289.97,25.99,1.89,990.15,561.17,27.65,336.35,59.98,5.0
2014,13482.25,2907.31,10574.94,5572.06,3441.19,4469.01,11919.5,705.03,50.6,9.08,6.05,4.21,0.53,0.17,1.14,5891.22,1163.86,4727.36,1509.79,3717.69,149.11,26.48,3247.29,294.81,30.03,717.59,408.1,20.95,254.86,33.43,0.25,845.16,495.32,33.43,251.59,60.61,4.21
2013,12008.26,2708.56,9299.7,4862.24,3135.85,4010.17,10565.24,767.77,49.04,13.61,5.65,4.04,0.57,0.21,0.83,4877.19,956.55,3920.64,1340.96,3471.55,159.86,30.86,3004.66,276.17,39.45,710.2,380.94,18.03,274.58,34.74,1.91,732.82,430.82,28.31,215.9,54.82,2.98
2012,11295.58703,2477.8699,8817.71713,4834.89547,2949.82422,3510.86734,9585.84382,1541.23016,70.79382,56.4272,23.09346,17.26178,1.25109,2.76646,1.81413,3723.32375,631.8293,3091.49445,1105.08991,2921.53923,347.05118,49.85815,2313.5472,211.0827,144.34629,720.99387,399.55195,17.72069,255.54713,45.12469,3.04941,988.74934,523.20575,48.24717,348.00851,66.70353,2.58438
2011,8913.45057,2012.94268,6900.50789,3702.82513,2388.24461,2822.38083,7748.95614,1204.63858,75.38215,51.2476,26.05584,18.70025,2.0487,3.89355,1.41334,2991.45659,517.35658,2474.10001,871.38667,2415.9179,310.07727,42.61125,1899.53484,163.69454,112.87081,562.25684,339.93262,16.29338,168.50509,35.61442,1.91133,602.23759,372.62597,25.90903,157.76473,45.05809,0.87977
2010,7024.6801,1715.67818,5309.00192,2259.68462,2418.06586,2346.92962,5887.66479,918.54244,68.47703,40.33352,23.2391,17.96678,2.0064,1.42374,1.84218,2206.61531,447.78407,1758.83124,675.91806,1921.38128,283.51847,41.53532,1465.59007,130.73742,33.15805,488.49139,271.3079,16.03677,172.63154,28.51518,,648.52392,353.78579,24.67958,225.29962,44.75893,
