年份,国有控股工业企业所有者权益合计,煤炭采选业国有控股工业企业所有者权益合计,石油和天然气开采业国有控股工业企业所有者权益合计,黑色金属矿采选业国有控股工业企业所有者权益合计,有色金属矿采选业国有控股工业企业所有者权益合计,非金属矿采选业国有控股工业企业所有者权益合计,其他矿采选业国有控股工业企业所有者权益合计,木材及竹材采运业国有控股工业企业所有者权益合计,食品加工业国有控股工业企业所有者权益合计,食品制造业国有控股工业企业所有者权益合计,饮料制造业国有控股工业企业所有者权益合计,烟草加工业国有控股工业企业所有者权益合计,纺织业国有控股工业企业所有者权益合计,服装及其他纤维制品制造业国有控股工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业国有控股工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业国有控股工业企业所有者权益合计,家具制造业国有控股工业企业所有者权益合计,造纸及纸制品业国有控股工业企业所有者权益合计,印刷业、记录媒介的复制国有控股工业企业所有者权益合计,文教体育用品制造业国有控股工业企业所有者权益合计,石油加工及炼焦业国有控股工业企业所有者权益合计,化学原料及化学制品制造业国有控股工业企业所有者权益合计,医药制造业国有控股工业企业所有者权益合计,化学纤维制造业国有控股工业企业所有者权益合计,橡胶制品业国有控股工业企业所有者权益合计,塑料制品业国有控股工业企业所有者权益合计,非金属矿物制造业国有控股工业企业所有者权益合计,黑色金属冶炼及压延加工业国有控股工业企业所有者权益合计,有色金属冶炼及压延加工业国有控股工业企业所有者权益合计,金属制品业国有控股工业企业所有者权益合计,普通机械制造业国有控股工业企业所有者权益合计,专用设备制造业国有控股工业企业所有者权益合计,交通运输设备制造业国有控股工业企业所有者权益合计,电气机械及器材制造业国有控股工业企业所有者权益合计,电子及通信设备制造业国有控股工业企业所有者权益合计,仪器仪表及文化办公用机械制造业国有控股工业企业所有者权益合计,其它制造业国有控股工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业国有控股工业企业所有者权益合计,煤气生产和供应业国有控股工业企业所有者权益合计,自来水的生产和供应业国有控股工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,36139.17,1901.72627,2715.05535,163.83055,125.74135,234.99101,0.31033,131.69677,319.109,261.35325,754.49816,1355.02443,603.97267,65.24467,12.07456,78.71586,16.28147,417.07754,246.33297,29.30103,1447.23098,2413.48645,854.63352,362.25208,168.49715,189.00382,942.46216,3597.0446,789.45874,177.03764,953.20578,599.68424,2746.01331,637.25864,1658.48996,157.85042,18.33972,7443.60052,345.93589,990.38076
2001,35741.27,1441.25127,2575.03607,150.58582,136.03427,264.56507,0.24876,133.19145,338.35696,244.91877,724.69893,1198.85626,677.72202,61.16901,16.33116,87.33152,16.4349,418.1095,234.8271,37.51075,1553.71867,2218.22185,801.20691,377.5939,171.10504,196.10949,963.96737,4335.23167,801.88105,186.33844,928.98103,607.37591,2612.80051,687.74929,1687.28852,150.35127,22.66691,7268.11881,327.02921,897.51109
2000,32714.81,1251.25234,2413.6508,148.14212,139.51604,192.72611,0.40277,128.71449,293.10975,228.95902,646.1562,1051.60065,681.91514,78.42942,15.2072,71.19849,18.81615,360.16174,218.66986,37.3125,1387.69614,2070.72984,697.4347,547.38783,167.21723,163.89193,1001.02047,3603.81393,706.71238,166.75994,960.46037,647.53363,2318.64371,657.17668,1526.78501,140.5065,22.64995,6589.45781,315.15828,854.12544
