年份,国有控股工业企业本年应交增值税,煤炭采选业国有控股工业企业本年应交增值税,石油和天然气开采业国有控股工业企业本年应交增值税,黑色金属矿采选业国有控股工业企业本年应交增值税,有色金属矿采选业国有控股工业企业本年应交增值税,非金属矿采选业国有控股工业企业本年应交增值税,其他矿采选业国有控股工业企业本年应交增值税,木材及竹材采运业国有控股工业企业本年应交增值税,食品加工业国有控股工业企业本年应交增值税,食品制造业国有控股工业企业本年应交增值税,饮料制造业国有控股工业企业本年应交增值税,烟草加工业国有控股工业企业本年应交增值税,纺织业国有控股工业企业本年应交增值税,服装及其他纤维制品制造业国有控股工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业国有控股工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业国有控股工业企业本年应交增值税,家具制造业国有控股工业企业本年应交增值税,造纸及纸制品业国有控股工业企业本年应交增值税,印刷业、记录媒介的复制国有控股工业企业本年应交增值税,文教体育用品制造业国有控股工业企业本年应交增值税,石油加工及炼焦业国有控股工业企业本年应交增值税,化学原料及化学制品制造业国有控股工业企业本年应交增值税,医药制造业国有控股工业企业本年应交增值税,化学纤维制造业国有控股工业企业本年应交增值税,橡胶制品业国有控股工业企业本年应交增值税,塑料制品业国有控股工业企业本年应交增值税,非金属矿物制造业国有控股工业企业本年应交增值税,黑色金属冶炼及压延加工业国有控股工业企业本年应交增值税,有色金属冶炼及压延加工业国有控股工业企业本年应交增值税,金属制品业国有控股工业企业本年应交增值税,普通机械制造业国有控股工业企业本年应交增值税,专用设备制造业国有控股工业企业本年应交增值税,交通运输设备制造业国有控股工业企业本年应交增值税,电气机械及器材制造业国有控股工业企业本年应交增值税,电子及通信设备制造业国有控股工业企业本年应交增值税,仪器仪表及文化办公用机械制造业国有控股工业企业本年应交增值税,其它制造业国有控股工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业国有控股工业企业本年应交增值税,煤气生产和供应业国有控股工业企业本年应交增值税,自来水的生产和供应业国有控股工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2580.51,126.81618,218.02255,5.71168,7.55806,9.29714,0.01467,1.47081,24.55897,17.60302,60.19933,209.31902,49.74085,2.52158,1.19902,4.77033,0.67967,27.28339,16.69035,1.68972,145.80925,120.13322,66.05265,17.07367,11.68887,8.84169,62.37838,269.7271,50.31238,12.90863,64.61999,35.84092,217.07283,37.46124,58.73171,8.67711,1.73263,577.10843,8.35865,17.155
2001,2408.97,109.52967,235.59082,4.73765,7.20889,9.13637,0.00875,2.0117,29.75405,20.13765,59.00832,175.85209,58.19955,3.32602,1.50218,4.99142,0.89316,24.83108,16.74674,2.15497,134.56094,117.13976,64.03033,18.08434,12.08446,9.23793,61.54877,232.3472,53.25364,13.81851,56.56502,33.09781,172.61602,38.20048,79.72633,9.12847,2.19607,508.64478,7.61554,16.99313
2000,2320.36,86.19887,292.43339,4.00427,8.58063,9.07609,0.01663,2.5775,33.47588,20.5202,61.18808,142.29153,69.93015,3.39953,1.29441,5.0339,0.94026,23.48039,15.00146,1.92961,106.48117,111.40509,60.6592,27.14522,10.61964,7.60413,67.73318,217.96963,59.1879,11.97875,55.73644,33.07402,149.53842,40.02841,70.01615,8.6185,1.91062,471.82479,6.47418,16.78667
