年份,国有控股工业企业法人资本金,煤炭采选业国有控股工业企业法人资本金,石油和天然气开采业国有控股工业企业法人资本金,黑色金属矿采选业国有控股工业企业法人资本金,有色金属矿采选业国有控股工业企业法人资本金,非金属矿采选业国有控股工业企业法人资本金,其他矿采选业国有控股工业企业法人资本金,木材及竹材采运业国有控股工业企业法人资本金,食品加工业国有控股工业企业法人资本金,食品制造业国有控股工业企业法人资本金,饮料制造业国有控股工业企业法人资本金,烟草加工业国有控股工业企业法人资本金,纺织业国有控股工业企业法人资本金,服装及其他纤维制品制造业国有控股工业企业法人资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业法人资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业法人资本金,家具制造业国有控股工业企业法人资本金,造纸及纸制品业国有控股工业企业法人资本金,印刷业、记录媒介的复制国有控股工业企业法人资本金,文教体育用品制造业国有控股工业企业法人资本金,石油加工及炼焦业国有控股工业企业法人资本金,化学原料及化学制品制造业国有控股工业企业法人资本金,医药制造业国有控股工业企业法人资本金,化学纤维制造业国有控股工业企业法人资本金,橡胶制品业国有控股工业企业法人资本金,塑料制品业国有控股工业企业法人资本金,非金属矿物制造业国有控股工业企业法人资本金,黑色金属冶炼及压延加工业国有控股工业企业法人资本金,有色金属冶炼及压延加工业国有控股工业企业法人资本金,金属制品业国有控股工业企业法人资本金,普通机械制造业国有控股工业企业法人资本金,专用设备制造业国有控股工业企业法人资本金,交通运输设备制造业国有控股工业企业法人资本金,电气机械及器材制造业国有控股工业企业法人资本金,电子及通信设备制造业国有控股工业企业法人资本金,仪器仪表及文化办公用机械制造业国有控股工业企业法人资本金,其它制造业国有控股工业企业法人资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业法人资本金,煤气生产和供应业国有控股工业企业法人资本金,自来水的生产和供应业国有控股工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,7188.82334,233.17233,800.6171,12.80504,21.22399,34.8938,,8.1862,51.53327,43.26515,68.11631,11.00133,122.22927,13.86561,5.54788,19.29124,5.60338,34.25252,36.44062,7.13092,437.67998,690.31083,159.25395,90.30183,37.53853,31.9989,198.12599,421.48077,144.78263,36.38947,210.53536,129.45707,745.95397,129.47069,318.85178,45.54352,6.33054,1653.54956,22.39383,25.43159
2001,5959.6346,150.88436,197.76836,3.85638,16.70957,15.612,,5.66293,48.32299,40.23051,58.76256,11.36915,118.55696,10.322,4.25422,19.57312,4.12093,32.3591,29.49144,6.35703,456.72014,536.2834,119.65374,93.80457,25.98926,35.87512,188.17326,355.20941,173.94441,42.37813,194.81914,122.33913,763.11977,122.32573,283.29603,46.34478,7.08195,1411.47155,14.97439,66.39729
2000,4890.77068,65.64599,212.17998,2.02123,17.708,16.40136,,2.63641,35.11136,35.30781,43.0796,7.649,138.95771,11.21896,4.84719,16.60637,3.73598,28.70893,26.00687,6.19766,406.50517,264.91995,106.6618,63.67961,17.51537,30.86432,155.468,284.50749,176.49527,31.04589,172.42111,101.18945,487.59581,121.82312,224.72454,37.59979,5.54867,1370.97652,4.21554,40.19849
