年份,国有控股工业企业负债合计,煤炭采选业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,其他矿采选业国有控股工业企业负债合计,木材及竹材采运业国有控股工业企业负债合计,食品加工业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,饮料制造业国有控股工业企业负债合计,烟草加工业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,服装及其他纤维制品制造业国有控股工业企业负债合计,皮革、毛皮、羽绒及其制品业国有控股工业企业负债合计,木材加工及竹、藤、棕、草制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,造纸及纸制品业国有控股工业企业负债合计,印刷业、记录媒介的复制国有控股工业企业负债合计,文教体育用品制造业国有控股工业企业负债合计,石油加工及炼焦业国有控股工业企业负债合计,化学原料及化学制品制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,橡胶制品业国有控股工业企业负债合计,塑料制品业国有控股工业企业负债合计,非金属矿物制造业国有控股工业企业负债合计,黑色金属冶炼及压延加工业国有控股工业企业负债合计,有色金属冶炼及压延加工业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,普通机械制造业国有控股工业企业负债合计,专用设备制造业国有控股工业企业负债合计,交通运输设备制造业国有控股工业企业负债合计,电气机械及器材制造业国有控股工业企业负债合计,电子及通信设备制造业国有控股工业企业负债合计,仪器仪表及文化办公用机械制造业国有控股工业企业负债合计,其它制造业国有控股工业企业负债合计,电力、蒸汽、热水的生产和供应业国有控股工业企业负债合计,煤气生产和供应业国有控股工业企业负债合计,自来水的生产和供应业国有控股工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,52837.08,2524.63408,1548.75713,122.36165,264.40488,315.02016,0.50888,268.0239,908.91202,442.93615,885.16093,1177.56181,1702.71498,111.12332,71.36024,170.20306,27.31873,794.8857,264.68668,45.42158,1850.4427,3704.40004,1080.34672,540.83487,362.20725,262.99634,1773.40949,4281.35481,1470.1753,399.62654,1956.45374,1382.9856,4610.69919,1195.41456,2137.44069,328.76178,56.61352,12295.67541,305.90395,694.75427
2001,52025.6,2528.42956,1530.99782,107.39251,265.72899,274.68171,0.51469,263.58147,1046.87218,434.01702,935.51706,1226.9086,1845.67963,141.42206,92.47065,187.60598,36.02899,764.87203,285.68356,46.85284,1968.83753,3776.57354,1054.20324,590.86391,379.17995,303.37613,1840.70363,4232.90165,1428.42123,457.06384,1949.31507,1319.02082,4215.71293,1228.13666,2233.58249,354.17778,57.6455,11268.32687,260.37203,598.48022
2000,51239.61,2336.28197,1627.89965,106.32271,267.47355,322.26589,1.07504,271.44932,1271.41565,463.32023,961.97039,885.93038,2052.91635,141.14521,97.5688,195.58229,35.33105,763.53923,279.96408,52.68103,2025.9517,3963.36896,1005.24697,711.62616,400.57428,298.95551,1969.07444,4347.15267,1350.77538,445.11341,1946.21731,1409.09754,4020.57776,1213.95814,2305.82374,339.99642,62.52466,9996.30005,257.27366,521.34531
