年份,国有控股工业企业利息支出,煤炭开采和洗选业国有控股工业企业利息支出,石油和天然气开采业国有控股工业企业利息支出,黑色金属矿采选业国有控股工业企业利息支出,有色金属矿采选业国有控股工业企业利息支出,非金属矿采选业国有控股工业企业利息支出,其他采矿业国有控股工业企业利息支出,农副食品加工业国有控股工业企业利息支出,食品制造业国有控股工业企业利息支出,饮料制造业国有控股工业企业利息支出,烟草制品业国有控股工业企业利息支出,纺织业国有控股工业企业利息支出,纺织服装、鞋、帽制造业国有控股工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业利息支出,木材加工及木、竹、藤、棕、草制品业国有控股工业企业利息支出,家具制造业国有控股工业企业利息支出,造纸及纸制品业国有控股工业企业利息支出,印刷业和记录媒介的复制国有控股工业企业利息支出,文教体育用品制造业国有控股工业企业利息支出,石油加工、炼焦及核燃料加工业国有控股工业企业利息支出,化学原料及化学制品制造业国有控股工业企业利息支出,医药制造业国有控股工业企业利息支出,化学纤维制造业国有控股工业企业利息支出,橡胶制品业国有控股工业企业利息支出,塑料制品业国有控股工业企业利息支出,非金属矿物制品业国有控股工业企业利息支出,黑色金属冶炼及压延加工业国有控股工业企业利息支出,有色金属冶炼及压延加工业国有控股工业企业利息支出,金属制品业国有控股工业企业利息支出,通用设备制造业国有控股工业企业利息支出,专用设备制造业国有控股工业企业利息支出,交通运输设备制造业国有控股工业企业利息支出,电气机械及器材制造业国有控股工业企业利息支出,通信设备、计算机及其他电子设备制造国有控股工业企业利息支出,仪器仪表及文化、办公用机械制造业国有控股工业企业利息支出,工艺品及其他制造业国有控股工业企业利息支出,废弃资源和废旧材料回收加工业国有控股工业企业利息支出,电力、热力的生产和供应业国有控股工业企业利息支出,燃气生产和供应业国有控股工业企业利息支出,水的生产和供应业国有控股工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3844.00675,330.33895,129.22134,29.49093,15.63731,7.09828,,33.45196,9.01735,17.81459,9.53794,12.37622,0.88024,-0.05953,3.22571,0.09042,29.86612,2.05108,0.24472,131.11429,203.66952,22.05872,12.30777,14.46409,7.81932,97.56618,488.80382,195.26192,12.22947,44.22644,59.11472,187.02837,57.08139,62.64266,5.34251,5.31882,1.14672,1544.02259,14.66173,47.84207
2010,2645.56431,227.55185,36.60346,14.40269,12.5466,4.04977,0.00578,21.89742,8.93871,8.63617,-2.16186,10.06414,0.44272,-0.00123,2.47605,0.16482,26.96663,1.49246,0.15201,89.33229,152.44618,17.72148,8.72883,10.03046,4.08276,58.1876,340.36717,126.43092,8.42632,21.26881,36.89416,65.4547,34.57386,30.96182,3.2197,1.56588,0.54733,1211.59603,11.30046,38.19936
2009,2363.66286,187.42923,35.60452,7.21413,8.72605,4.49307,1e-05,14.85376,6.95261,6.82735,2.5524,9.39544,0.50997,0.04239,1.94196,0.18263,19.50082,1.77027,0.17843,77.428,139.57074,17.44575,8.4753,9.27493,5.96764,45.79886,291.52755,96.78464,15.4416,21.16194,34.70612,77.45431,23.59334,32.68025,2.86092,1.23468,1.29267,1111.3057,8.10864,33.37424
2008,2500.76227,161.57883,44.49756,9.64617,8.64625,4.52666,,16.75779,11.34831,10.07335,-2.33023,13.08342,0.45659,-0.06964,2.71808,0.19317,24.41082,2.22308,0.50345,116.03853,136.92055,21.69247,11.28516,12.66489,9.06393,54.71971,332.08196,106.93673,10.72756,19.69206,39.81399,78.69946,25.44485,32.37026,3.14908,1.40237,0.91763,1127.42001,9.75593,41.70148
2007,1829.08242,105.06182,44.71011,6.30407,7.8173,2.86325,,14.78886,11.04876,10.23694,5.52151,14.78489,0.40403,0.05487,2.94608,0.36442,14.43946,2.18771,0.40611,61.98856,112.49548,23.05682,11.00264,6.69515,4.90119,41.16947,227.95942,77.38196,7.68752,17.65783,25.52909,53.59084,17.82444,33.72387,2.90911,1.38716,0.32785,824.15879,8.76593,24.92911
2006,1427.07,70.13,25.41,2.68,5.29,3.08,0.0,11.38,9.98,9.67,10.98,18.33,0.58,0.05,4.31,0.34,16.09,3.73,0.41,49.71,105.74,21.44,11.13,5.82,6.8,36.88,160.31,62.06,6.11,19.45,21.01,52.66,17.33,28.75,2.3,1.29,0.21,599.8,5.15,20.67
