年份,国有控股工业企业外商资本金,煤炭开采和洗选业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,其他采矿业国有控股工业企业外商资本金,农副食品加工业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,饮料制造业国有控股工业企业外商资本金,烟草制品业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,纺织服装、鞋、帽制造业国有控股工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,造纸及纸制品业国有控股工业企业外商资本金,印刷业和记录媒介的复制国有控股工业企业外商资本金,文教体育用品制造业国有控股工业企业外商资本金,石油加工、炼焦及核燃料加工业国有控股工业企业外商资本金,化学原料及化学制品制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,橡胶制品业国有控股工业企业外商资本金,塑料制品业国有控股工业企业外商资本金,非金属矿物制品业国有控股工业企业外商资本金,黑色金属冶炼及压延加工业国有控股工业企业外商资本金,有色金属冶炼及压延加工业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,通用设备制造业国有控股工业企业外商资本金,专用设备制造业国有控股工业企业外商资本金,交通运输设备制造业国有控股工业企业外商资本金,电气机械及器材制造业国有控股工业企业外商资本金,通信设备、计算机及其他电子设备制造国有控股工业企业外商资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业外商资本金,工艺品及其他制造业国有控股工业企业外商资本金,废弃资源和废旧材料回收加工业国有控股工业企业外商资本金,电力、热力的生产和供应业国有控股工业企业外商资本金,燃气生产和供应业国有控股工业企业外商资本金,水的生产和供应业国有控股工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1495.87958,15.10911,0.4501,,1.95017,0.87331,,6.82922,8.30534,14.52275,0.42416,5.0085,0.39696,,0.26788,0.53618,8.58935,3.42296,0.32314,12.57032,141.58028,24.5667,10.1656,2.01893,4.16633,26.54333,65.31099,31.70734,12.16753,47.08928,40.18074,686.38721,18.24721,77.07549,3.742,0.44187,0.51162,173.12256,25.66983,25.60529
2010,1618.9743,7.2967,0.57928,,3.37039,1.345,,5.59336,11.2347,13.27226,,4.31353,0.59357,0.01365,1.64303,0.78977,32.49243,3.31639,0.25573,77.13941,199.99121,30.54538,14.48575,2.0528,7.33752,24.53773,37.88078,15.93223,10.92673,50.30207,36.37659,638.51785,16.53362,113.43185,9.81334,0.45188,0.57062,193.52761,24.7675,27.74204
2009,1520.30148,4.74214,0.34048,,6.30643,1.33111,,4.18655,9.03771,14.36577,,4.51748,0.35898,0.01365,1.16978,0.58061,17.25591,4.12228,0.33168,75.08859,198.37187,8.81915,13.05391,2.08543,3.66278,27.53718,41.91276,19.70318,13.20492,51.6003,20.14977,566.26202,16.76079,123.83896,4.35737,0.47119,0.39062,219.11776,19.84561,25.40676
2008,1422.24729,1.39534,0.2717,,2.42768,1.53338,,5.02645,10.54846,15.71831,0.26219,6.22732,0.6806,0.02895,2.06495,0.23055,14.35559,3.09886,0.3323,83.95243,142.09943,27.81123,10.58911,9.11965,4.96179,30.1859,38.11366,16.55134,9.5924,51.6475,18.67104,461.50763,12.51004,145.64331,5.08132,0.40907,0.47812,190.15876,13.29908,85.66185
2007,1252.16999,1.90111,8.70998,,6.1519,0.2702,,6.73829,4.48784,17.72586,,6.75207,1.30085,0.10772,2.15158,1.22341,6.42863,3.0739,1.51268,44.44265,174.71559,33.29759,10.7942,2.95071,5.22167,22.17373,39.70141,11.64461,8.26394,42.87833,13.72912,495.15411,20.65853,90.72945,4.10356,0.44379,0.55874,113.76489,18.206,30.20135
2006,1084.87,0.64,6.99,0.0,0.37,0.71,0.0,15.06,5.4,13.27,0.44,11.84,0.97,0.23,2.01,1.63,8.97,2.25,0.18,10.85,174.98,17.96,9.97,5.69,4.8,15.13,36.57,6.9,9.86,67.18,9.26,418.05,23.09,61.21,3.95,0.3,0.21,100.33,13.99,23.65
