年份,国有控股工业企业应付帐款,煤炭开采和洗选业国有控股工业企业应付帐款,石油和天然气开采业国有控股工业企业应付帐款,黑色金属矿采选业国有控股工业企业应付帐款,有色金属矿采选业国有控股工业企业应付帐款,非金属矿采选业国有控股工业企业应付帐款,其他采矿业国有控股工业企业应付帐款,农副食品加工业国有控股工业企业应付帐款,食品制造业国有控股工业企业应付帐款,饮料制造业国有控股工业企业应付帐款,烟草制品业国有控股工业企业应付帐款,纺织业国有控股工业企业应付帐款,纺织服装、鞋、帽制造业国有控股工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业国有控股工业企业应付帐款,家具制造业国有控股工业企业应付帐款,造纸及纸制品业国有控股工业企业应付帐款,印刷业和记录媒介的复制国有控股工业企业应付帐款,文教体育用品制造业国有控股工业企业应付帐款,石油加工、炼焦及核燃料加工业国有控股工业企业应付帐款,化学原料及化学制品制造业国有控股工业企业应付帐款,医药制造业国有控股工业企业应付帐款,化学纤维制造业国有控股工业企业应付帐款,橡胶制品业国有控股工业企业应付帐款,塑料制品业国有控股工业企业应付帐款,非金属矿物制品业国有控股工业企业应付帐款,黑色金属冶炼及压延加工业国有控股工业企业应付帐款,有色金属冶炼及压延加工业国有控股工业企业应付帐款,金属制品业国有控股工业企业应付帐款,通用设备制造业国有控股工业企业应付帐款,专用设备制造业国有控股工业企业应付帐款,交通运输设备制造业国有控股工业企业应付帐款,电气机械及器材制造业国有控股工业企业应付帐款,通信设备、计算机及其他电子设备制造国有控股工业企业应付帐款,仪器仪表及文化、办公用机械制造业国有控股工业企业应付帐款,工艺品及其他制造业国有控股工业企业应付帐款,废弃资源和废旧材料回收加工业国有控股工业企业应付帐款,电力、热力的生产和供应业国有控股工业企业应付帐款,燃气生产和供应业国有控股工业企业应付帐款,水的生产和供应业国有控股工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,30136.26203,2222.66419,1847.58178,185.55147,82.99236,30.533,,184.01404,100.03013,157.22686,552.57818,68.36114,18.08556,2.56597,10.59593,21.14013,111.27082,49.64013,4.43578,1598.85334,1075.79419,248.3347,70.13761,108.12949,38.57091,632.21524,3141.25429,797.855,191.37791,1139.18022,1252.69499,5284.39982,1105.80234,1207.43882,180.26717,159.60072,18.38426,6008.02142,101.77229,126.90983
2010,25543.68534,1720.67599,1750.92115,129.16363,64.29791,20.86138,,148.28122,125.52233,121.38613,429.90804,57.37625,20.74895,2.69702,8.02334,23.22671,115.08535,48.95732,4.47373,1295.32232,1008.6146,221.70084,54.53847,93.38109,33.51333,485.03865,2486.2825,633.31061,181.23386,970.13254,1167.85922,5028.27008,763.69249,864.86512,147.0383,74.43433,18.05909,5010.75481,82.12164,131.915
2009,20934.70013,1522.40871,1508.91037,67.09279,51.41218,17.30279,0.00518,124.9061,109.44943,122.61337,361.96054,59.73647,21.39559,3.31173,8.89571,17.07717,221.76511,45.5061,4.41621,813.11732,849.93265,146.99585,42.93603,70.32248,36.5613,386.71075,2318.71962,489.9914,122.36668,855.68272,978.38097,3979.34722,578.0413,750.49034,115.86861,71.14265,9.28216,3877.39179,70.94924,102.3035
2008,17605.95319,1166.78817,1594.77815,50.26038,50.12977,23.84461,0.00284,104.14435,91.35,93.26807,318.20557,78.61661,21.04244,5.66507,10.50619,9.09925,101.98088,39.3299,7.3717,616.89034,755.85492,160.65201,45.45904,71.70059,33.49068,379.17367,2268.77334,358.11462,98.1942,908.01503,853.11574,2556.14534,463.57778,776.62778,92.99536,53.61472,6.89842,3176.41845,66.47836,97.37885
2007,14097.12869,871.62462,1141.35659,27.94004,43.82514,14.31925,-0.00348,80.10663,79.44698,96.02337,228.45817,86.72554,21.15689,5.0271,11.11557,12.79419,67.17739,41.53076,5.33079,492.97923,668.71362,145.04909,79.81022,51.24576,23.70437,290.81332,1651.43589,367.02427,119.66446,593.35824,526.0347,2423.3906,421.70406,482.11416,81.83539,53.95732,2.75419,2681.03151,36.24697,70.30578
