年份,国有控股工业企业流动负债合计,煤炭开采和洗选业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,其他采矿业国有控股工业企业流动负债合计,农副食品加工业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,饮料制造业国有控股工业企业流动负债合计,烟草制品业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,纺织服装、鞋、帽制造业国有控股工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,造纸及纸制品业国有控股工业企业流动负债合计,印刷业和记录媒介的复制国有控股工业企业流动负债合计,文教体育用品制造业国有控股工业企业流动负债合计,石油加工、炼焦及核燃料加工业国有控股工业企业流动负债合计,化学原料及化学制品制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,橡胶制品业国有控股工业企业流动负债合计,塑料制品业国有控股工业企业流动负债合计,非金属矿物制品业国有控股工业企业流动负债合计,黑色金属冶炼及压延加工业国有控股工业企业流动负债合计,有色金属冶炼及压延加工业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,通用设备制造业国有控股工业企业流动负债合计,专用设备制造业国有控股工业企业流动负债合计,交通运输设备制造业国有控股工业企业流动负债合计,电气机械及器材制造业国有控股工业企业流动负债合计,通信设备、计算机及其他电子设备制造国有控股工业企业流动负债合计,仪器仪表及文化、办公用机械制造业国有控股工业企业流动负债合计,工艺品及其他制造业国有控股工业企业流动负债合计,废弃资源和废旧材料回收加工业国有控股工业企业流动负债合计,电力、热力的生产和供应业国有控股工业企业流动负债合计,燃气生产和供应业国有控股工业企业流动负债合计,水的生产和供应业国有控股工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,114629.65442,10578.53475,5164.75975,900.07684,591.88433,229.03418,,1087.74963,449.92925,1014.5596,1420.61027,482.24303,89.04412,8.83781,90.89807,37.79818,570.31388,190.58035,16.61677,5472.99166,5475.97227,987.10365,332.90267,441.03682,212.98112,2541.63046,14839.24457,4814.5119,744.08259,3897.25617,3828.03222,15191.67793,3242.00904,3472.98657,509.14913,424.74324,53.14447,23369.71516,693.83531,1161.17666
2010,97364.4086,8057.9065,3879.32091,652.34306,522.26234,164.38357,,887.62674,483.41063,795.17807,1247.29339,472.88508,94.42472,11.10504,76.6934,42.2216,584.51471,197.44855,17.30253,4167.89419,4683.64719,884.69625,286.35418,390.18193,200.77264,2012.46812,12384.08263,3997.26295,620.85399,3600.09449,3521.57819,14671.59444,2578.8138,2690.23899,424.12318,221.28857,44.11666,20177.38958,530.31322,1090.32257
2009,83615.6665,6979.08339,3714.65695,355.37898,389.39149,155.17772,0.10785,577.09467,385.17595,675.7764,1120.17137,424.75441,92.68591,19.77093,69.71123,31.03669,584.29676,186.27353,19.82194,3781.98564,4093.7078,773.67788,253.13624,338.58428,205.9264,1593.95324,11237.43446,3294.48133,523.84571,3530.86371,3123.53401,11613.80049,1994.76982,2382.51961,361.41679,175.65583,83.78362,16295.20723,1259.22578,917.79046
2008,72749.16218,5821.81561,2741.50398,354.47401,345.89575,143.39879,0.10597,558.18031,377.77054,598.31328,993.90832,495.5695,89.8748,18.75964,83.3512,22.93839,429.68356,176.36203,25.11171,3559.88546,3553.73742,779.43939,305.02574,351.72968,235.78285,1623.03382,9624.98688,2707.56889,439.20732,3205.70343,2693.5297,8966.9211,1614.73931,2299.14027,304.93698,146.23878,73.52168,15688.70207,442.8401,855.47392
2007,59693.7763,4367.17528,2132.42115,229.31965,314.47033,115.26067,0.1065,498.30964,358.07337,543.97127,886.62566,618.78881,87.70596,16.19705,88.01709,32.25438,344.39473,203.92343,25.36801,2597.73866,3124.87257,831.28311,335.38098,251.45504,161.27171,1295.059,7759.04764,2338.85815,422.31713,2582.92313,1987.18302,8129.56783,1512.11509,1793.81299,297.57527,144.17613,13.84642,12168.89272,355.27477,728.74196
