年份,国有控股工业企业财务费用,煤炭开采和洗选业国有控股工业企业财务费用,石油和天然气开采业国有控股工业企业财务费用,黑色金属矿采选业国有控股工业企业财务费用,有色金属矿采选业国有控股工业企业财务费用,非金属矿采选业国有控股工业企业财务费用,其他采矿业国有控股工业企业财务费用,农副食品加工业国有控股工业企业财务费用,食品制造业国有控股工业企业财务费用,饮料制造业国有控股工业企业财务费用,烟草制品业国有控股工业企业财务费用,纺织业国有控股工业企业财务费用,纺织服装、鞋、帽制造业国有控股工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业财务费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业财务费用,家具制造业国有控股工业企业财务费用,造纸及纸制品业国有控股工业企业财务费用,印刷业和记录媒介的复制国有控股工业企业财务费用,文教体育用品制造业国有控股工业企业财务费用,石油加工、炼焦及核燃料加工业国有控股工业企业财务费用,化学原料及化学制品制造业国有控股工业企业财务费用,医药制造业国有控股工业企业财务费用,化学纤维制造业国有控股工业企业财务费用,橡胶制品业国有控股工业企业财务费用,塑料制品业国有控股工业企业财务费用,非金属矿物制品业国有控股工业企业财务费用,黑色金属冶炼及压延加工业国有控股工业企业财务费用,有色金属冶炼及压延加工业国有控股工业企业财务费用,金属制品业国有控股工业企业财务费用,通用设备制造业国有控股工业企业财务费用,专用设备制造业国有控股工业企业财务费用,交通运输设备制造业国有控股工业企业财务费用,电气机械及器材制造业国有控股工业企业财务费用,通信设备、计算机及其他电子设备制造国有控股工业企业财务费用,仪器仪表及文化、办公用机械制造业国有控股工业企业财务费用,工艺品及其他制造业国有控股工业企业财务费用,废弃资源和废旧材料回收加工业国有控股工业企业财务费用,电力、热力的生产和供应业国有控股工业企业财务费用,燃气生产和供应业国有控股工业企业财务费用,水的生产和供应业国有控股工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3430.86728,320.68896,65.94756,28.24737,15.97737,7.66276,,18.59126,7.67199,6.37723,-5.87799,13.49126,0.42675,-0.04469,3.32798,0.09544,29.70527,1.34887,0.26949,125.3587,195.44124,21.81962,12.26893,15.33774,6.55205,98.7941,406.77264,176.90096,10.89344,39.1296,51.6859,40.2843,47.91925,64.02735,4.02364,3.73361,1.07807,1538.80914,10.4948,45.63532
2010,2681.2567,234.8291,39.88438,14.96457,12.88485,4.41479,0.00578,20.30015,10.11846,9.99454,-3.47933,11.20888,0.56502,0.04069,2.64021,0.30611,27.27707,1.56069,0.22337,87.02456,157.0175,20.18863,9.92426,10.34572,4.41637,62.22456,341.13258,124.35384,8.88816,25.46231,38.6379,47.06115,33.96516,38.74653,3.68868,1.39816,0.55618,1226.0639,10.88445,41.53677
2009,2409.03459,190.9923,29.20058,7.29579,9.16146,4.76851,1e-05,16.33169,8.38527,7.73152,-5.1836,10.5951,0.46698,0.12015,2.07338,0.24144,20.18742,1.80455,0.21555,77.02356,144.13505,18.85718,8.37273,9.98813,6.38634,48.1696,294.66671,101.14807,13.04138,23.28123,35.10024,72.60237,25.11517,37.98599,2.69589,1.35915,1.56696,1139.34315,9.75923,34.04836
2008,2477.62088,171.63815,28.64606,12.4527,7.75553,4.95558,1e-05,17.14285,12.49944,10.00877,-3.48912,14.33429,0.57261,-0.28502,3.19383,0.32615,21.30941,2.27685,0.4996,108.89738,130.98606,25.57874,12.24915,13.2124,9.48924,61.44403,326.67638,106.51613,12.98229,21.07735,40.25612,34.27665,29.49976,39.96007,3.24724,1.39208,0.99168,1144.46541,8.61759,41.96744
2007,1724.17577,104.64831,17.90622,6.43026,8.97003,3.04979,1e-05,14.60473,11.66719,10.10117,4.03991,15.49215,0.62267,-0.04149,3.17795,0.57927,13.68932,2.21523,0.47886,48.55102,104.21358,25.72913,11.59652,7.62784,5.26588,44.33526,230.14156,88.66548,8.53367,23.62473,25.93322,25.23758,20.19084,34.81432,3.14596,1.39137,0.28942,764.30188,6.9398,26.01513
2006,1416.79,72.79,15.53,2.86,6.74,3.19,0.0,12.15,10.05,9.37,10.7,19.2,0.8,0.1,4.76,0.51,15.33,3.76,0.51,42.51,99.25,21.92,11.66,6.65,7.46,39.26,157.69,66.23,6.7,22.02,21.28,44.44,18.85,28.94,2.53,1.34,0.41,602.97,4.51,21.84
