年份,国有控股工业企业集体资本金,煤炭开采和洗选业国有控股工业企业集体资本金,石油和天然气开采业国有控股工业企业集体资本金,黑色金属矿采选业国有控股工业企业集体资本金,有色金属矿采选业国有控股工业企业集体资本金,非金属矿采选业国有控股工业企业集体资本金,其他采矿业国有控股工业企业集体资本金,农副食品加工业国有控股工业企业集体资本金,食品制造业国有控股工业企业集体资本金,饮料制造业国有控股工业企业集体资本金,烟草制品业国有控股工业企业集体资本金,纺织业国有控股工业企业集体资本金,纺织服装、鞋、帽制造业国有控股工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业集体资本金,家具制造业国有控股工业企业集体资本金,造纸及纸制品业国有控股工业企业集体资本金,印刷业和记录媒介的复制国有控股工业企业集体资本金,文教体育用品制造业国有控股工业企业集体资本金,石油加工、炼焦及核燃料加工业国有控股工业企业集体资本金,化学原料及化学制品制造业国有控股工业企业集体资本金,医药制造业国有控股工业企业集体资本金,化学纤维制造业国有控股工业企业集体资本金,橡胶制品业国有控股工业企业集体资本金,塑料制品业国有控股工业企业集体资本金,非金属矿物制品业国有控股工业企业集体资本金,黑色金属冶炼及压延加工业国有控股工业企业集体资本金,有色金属冶炼及压延加工业国有控股工业企业集体资本金,金属制品业国有控股工业企业集体资本金,通用设备制造业国有控股工业企业集体资本金,专用设备制造业国有控股工业企业集体资本金,交通运输设备制造业国有控股工业企业集体资本金,电气机械及器材制造业国有控股工业企业集体资本金,通信设备、计算机及其他电子设备制造国有控股工业企业集体资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业集体资本金,工艺品及其他制造业国有控股工业企业集体资本金,废弃资源和废旧材料回收加工业国有控股工业企业集体资本金,电力、热力的生产和供应业国有控股工业企业集体资本金,燃气生产和供应业国有控股工业企业集体资本金,水的生产和供应业国有控股工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,520.40944,71.4814,1e-05,1.84591,4.9211,0.32504,,4.81785,1.87633,16.08781,2.12453,1.97217,0.03051,0.02948,1.66663,,4.60548,0.11147,0.27506,1.33009,16.83625,4.03667,0.395,0.6266,1.60969,10.23994,212.22389,10.4705,5.61255,8.9798,17.56403,7.73941,4.45451,5.3441,0.46725,0.09436,1.09839,93.84413,0.37563,4.89587
2010,297.56233,31.44258,1.5245,0.03,8.88724,0.30292,,2.05795,2.70199,13.85336,,4.26584,0.39462,,1.08497,,4.11955,1.09664,,0.1471,16.2348,5.34959,0.395,0.3075,1.81701,12.73316,19.16751,17.11399,4.09972,10.09139,17.26568,14.67392,3.97021,8.29317,0.66771,0.48299,0.70254,88.69879,0.81201,2.77638
2009,233.36963,36.68609,2.15941,0.34048,1.12525,1.09079,,1.97506,2.0433,3.39163,,5.0616,0.30581,0.05359,1.10617,0.02992,18.65307,1.95261,0.42576,0.37794,11.19341,4.294,1.1687,0.2696,1.75172,7.46495,4.34243,1.53611,2.48032,16.91108,4.82042,9.71226,3.12894,6.24063,0.99066,0.58045,2.68292,58.4504,9.40317,9.16898
2008,182.40731,39.27379,,2.28702,3.15323,1.30095,,0.88377,1.3174,2.80089,,5.09945,0.22925,0.5816,0.73804,0.02889,1.34557,3.00459,0.41996,2.47132,9.78709,4.92806,0.48373,1.82753,2.09969,5.27266,5.02345,2.70214,2.00251,10.8868,3.54066,6.39156,11.85013,2.18328,0.86308,0.17784,0.22589,44.96453,1.08028,1.18068
2007,191.19572,29.93272,6.47629,1.38633,0.86188,0.56792,,1.76735,1.89194,8.38803,2.23793,2.12848,0.40533,0.0664,0.60822,0.18047,0.9979,1.85877,0.46296,7.61317,7.94191,5.35749,0.15751,0.40923,1.39997,6.79877,1.71742,25.36968,1.95085,9.76209,3.32435,22.68043,5.32764,1.43421,2.11196,0.1307,0.10204,18.40383,0.25532,8.72823
2006,100.01,14.66,5.54,0.17,0.49,0.07,0.0,0.77,0.84,6.98,0.0,4.28,0.27,0.14,0.31,0.17,0.45,1.04,0.48,4.3,11.16,2.14,0.16,0.25,1.19,4.02,1.85,1.4,1.44,3.78,2.95,7.21,2.99,4.16,0.86,0.21,0.05,10.01,0.98,2.22
