年份,国有控股工业企业主营业务费用及附加,煤炭开采和洗选业国有控股工业企业主营业务费用及附加,石油和天然气开采业国有控股工业企业主营业务费用及附加,黑色金属矿采选业国有控股工业企业主营业务费用及附加,有色金属矿采选业国有控股工业企业主营业务费用及附加,非金属矿采选业国有控股工业企业主营业务费用及附加,开采辅助活动国有控股工业企业主营业务费用及附加,其他采矿业国有控股工业企业主营业务费用及附加,农副食品加工业国有控股工业企业主营业务费用及附加,食品制造业国有控股工业企业主营业务费用及附加,酒、饮料和精制茶制造业国有控股工业企业主营业务费用及附加,烟草制品业国有控股工业企业主营业务费用及附加,纺织业国有控股工业企业主营业务费用及附加,纺织服装、服饰业国有控股工业企业主营业务费用及附加,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业主营业务费用及附加,木材加工和木、竹、藤、棕、草制品业国有控股工业企业主营业务费用及附加,家具制造业国有控股工业企业主营业务费用及附加,造纸和纸制品业国有控股工业企业主营业务费用及附加,印刷和记录媒介复制业国有控股工业企业主营业务费用及附加,文教、工美、体育和娱乐用品制造业国有控股工业企业主营业务费用及附加,石油加工、炼焦和核燃料加工业国有控股工业企业主营业务费用及附加,化学原料和化学制品制造业国有控股工业企业主营业务费用及附加,医药制造业国有控股工业企业主营业务费用及附加,化学纤维制造业国有控股工业企业主营业务费用及附加,橡胶和塑料制品业国有控股工业企业主营业务费用及附加,非金属矿物制品业国有控股工业企业主营业务费用及附加,黑色金属冶炼和压延加工业国有控股工业企业主营业务费用及附加,有色金属冶炼和压延加工业国有控股工业企业主营业务费用及附加,金属制品业国有控股工业企业主营业务费用及附加,通用设备制造业国有控股工业企业主营业务费用及附加,专用设备制造业国有控股工业企业主营业务费用及附加,汽车制造业国有控股工业企业主营业务费用及附加,铁路、船舶、航空航天和其他运输设备国有控股工业企业主营业务费用及附加,电气机械和器材制造业国有控股工业企业主营业务费用及附加,计算机、通信和其他电子设备制造业国有控股工业企业主营业务费用及附加,仪器仪表制造业国有控股工业企业主营业务费用及附加,其他制造业国有控股工业企业主营业务费用及附加,废弃资源综合利用业国有控股工业企业主营业务费用及附加,金属制品、机械和设备修理业国有控股工业企业主营业务费用及附加,电力、热力生产和供应业国有控股工业企业主营业务费用及附加,燃气生产和供应业国有控股工业企业主营业务费用及附加,水的生产和供应业国有控股工业企业主营业务费用及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11640.58,234.71,1405.0,21.01,19.48,15.92,25.47,0.0,26.86,7.28,148.82,4833.75,3.15,1.38,0.43,1.48,0.27,2.53,3.59,2.37,3047.5,166.35,15.72,2.96,6.13,29.25,59.78,39.58,9.68,29.77,26.43,1071.43,36.59,26.17,37.16,4.11,1.34,0.6,1.19,254.43,9.68,11.27
2013,10732.38,265.28,1081.53,23.09,18.81,14.56,28.61,0.01,25.61,7.16,163.24,4424.69,2.51,1.31,0.5,1.42,0.14,2.96,3.64,1.54,2909.81,190.63,15.59,3.43,6.78,31.63,56.61,35.58,9.77,29.69,28.47,957.28,27.26,23.46,34.92,4.32,1.19,0.64,1.0,277.56,8.65,11.55
2012,10170.35,280.74057,1175.53381,20.71303,14.64685,16.14906,28.30028,0.00699,14.44556,5.92284,143.32977,3995.13915,3.07027,1.01233,0.4595,1.2294,0.19266,4.00227,3.53735,1.11102,2825.30081,218.11742,15.1686,2.45563,7.47528,32.0239,68.12533,38.57094,9.71456,23.7667,26.81739,844.38077,25.40095,19.62164,36.30473,4.20639,0.88103,0.45907,1.26036,242.88813,8.09822,9.76732
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
