年份,国有控股工业企业亏损总额,煤炭开采和洗选业国有控股工业企业亏损总额,石油和天然气开采业国有控股工业企业亏损总额,黑色金属矿采选业国有控股工业企业亏损总额,有色金属矿采选业国有控股工业企业亏损总额,非金属矿采选业国有控股工业企业亏损总额,开采辅助活动国有控股工业企业亏损总额,其他采矿业国有控股工业企业亏损总额,农副食品加工业国有控股工业企业亏损总额,食品制造业国有控股工业企业亏损总额,酒、饮料和精制茶制造业国有控股工业企业亏损总额,烟草制品业国有控股工业企业亏损总额,纺织业国有控股工业企业亏损总额,纺织服装、服饰业国有控股工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业国有控股工业企业亏损总额,家具制造业国有控股工业企业亏损总额,造纸和纸制品业国有控股工业企业亏损总额,印刷和记录媒介复制业国有控股工业企业亏损总额,文教、工美、体育和娱乐用品制造业国有控股工业企业亏损总额,石油加工、炼焦和核燃料加工业国有控股工业企业亏损总额,化学原料和化学制品制造业国有控股工业企业亏损总额,医药制造业国有控股工业企业亏损总额,化学纤维制造业国有控股工业企业亏损总额,橡胶和塑料制品业国有控股工业企业亏损总额,非金属矿物制品业国有控股工业企业亏损总额,黑色金属冶炼和压延加工业国有控股工业企业亏损总额,有色金属冶炼和压延加工业国有控股工业企业亏损总额,金属制品业国有控股工业企业亏损总额,通用设备制造业国有控股工业企业亏损总额,专用设备制造业国有控股工业企业亏损总额,汽车制造业国有控股工业企业亏损总额,铁路、船舶、航空航天和其他运输设备国有控股工业企业亏损总额,电气机械和器材制造业国有控股工业企业亏损总额,计算机、通信和其他电子设备制造业国有控股工业企业亏损总额,仪器仪表制造业国有控股工业企业亏损总额,其他制造业国有控股工业企业亏损总额,废弃资源综合利用业国有控股工业企业亏损总额,金属制品、机械和设备修理业国有控股工业企业亏损总额,电力、热力生产和供应业国有控股工业企业亏损总额,燃气生产和供应业国有控股工业企业亏损总额,水的生产和供应业国有控股工业企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3956.38,224.06,879.61,86.64,14.31,4.56,123.63,,23.04,9.72,19.79,5.6,7.97,4.31,1.01,4.28,0.02,5.27,9.73,4.83,113.96,311.78,11.43,3.89,19.36,72.53,222.58,143.14,30.62,62.7,118.49,219.65,138.0,64.31,71.63,11.57,4.06,1.88,16.25,803.28,37.21,49.7
2016,4962.47,468.27,1203.94,63.69,29.29,7.49,109.45,,20.61,9.7,21.46,3.02,5.87,2.25,0.53,3.06,0.11,11.33,6.18,1.8,158.15,581.52,12.75,7.77,10.15,78.85,450.54,187.3,29.14,102.24,251.6,145.51,125.25,62.74,68.32,6.58,1.68,6.05,59.51,548.76,46.0,53.97
2015,5134.39,795.4,582.97,65.39,35.29,4.69,29.12,0.0,27.05,8.91,25.31,1.14,10.32,2.39,0.16,10.79,0.01,25.5,5.55,1.36,331.91,394.6,18.22,11.31,15.39,130.74,1016.49,346.99,30.34,80.65,164.75,154.55,126.49,65.14,106.77,7.27,1.61,1.2,1.48,408.33,40.75,48.06
2014,3678.8,537.67,84.03,11.38,15.85,6.28,42.52,0.0,27.25,18.71,13.65,0.73,10.7,1.33,0.17,2.12,0.07,30.46,4.19,2.98,565.24,489.61,13.66,6.63,9.86,81.74,263.76,272.59,22.8,60.17,146.07,149.54,90.73,148.89,40.31,4.67,2.29,0.41,8.56,417.88,23.37,49.95
2013,2792.46,292.42,79.82,8.5,8.62,3.96,68.51,0.0,16.64,11.25,13.58,0.32,17.39,1.86,0.26,2.44,0.01,16.48,2.82,1.94,399.35,413.16,8.63,8.76,8.99,59.01,244.38,203.12,15.4,42.84,108.71,102.22,61.8,119.62,43.09,3.82,3.97,0.34,6.1,324.6,18.55,49.2
2012,3011.974,132.8801,79.66231,11.96292,6.38735,3.23482,42.77178,,17.02501,10.17273,8.60139,0.67325,10.72359,2.22797,0.25518,2.52481,0.09435,27.20512,3.34414,0.95462,587.81776,318.75391,8.73977,7.36794,7.66747,49.65796,540.95295,236.83925,11.834,39.62482,77.99793,92.52904,67.08395,100.17158,43.73373,1.02998,2.61485,1.1671,4.79084,391.05913,10.45018,49.38842
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
