年份,国有控股工业企业单位数,煤炭开采和洗选业国有控股工业企业单位数,石油和天然气开采业国有控股工业企业单位数,黑色金属矿采选业国有控股工业企业单位数,有色金属矿采选业国有控股工业企业单位数,非金属矿采选业国有控股工业企业单位数,开采辅助活动国有控股工业企业单位数,其他采矿业国有控股工业企业单位数,农副食品加工业国有控股工业企业单位数,食品制造业国有控股工业企业单位数,酒、饮料和精制茶制造业国有控股工业企业单位数,烟草制品业国有控股工业企业单位数,纺织业国有控股工业企业单位数,纺织服装、服饰业国有控股工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业单位数,木材加工和木、竹、藤、棕、草制品业国有控股工业企业单位数,家具制造业国有控股工业企业单位数,造纸和纸制品业国有控股工业企业单位数,印刷和记录媒介复制业国有控股工业企业单位数,文教、工美、体育和娱乐用品制造业国有控股工业企业单位数,石油加工、炼焦和核燃料加工业国有控股工业企业单位数,化学原料和化学制品制造业国有控股工业企业单位数,医药制造业国有控股工业企业单位数,化学纤维制造业国有控股工业企业单位数,橡胶和塑料制品业国有控股工业企业单位数,非金属矿物制品业国有控股工业企业单位数,黑色金属冶炼和压延加工业国有控股工业企业单位数,有色金属冶炼和压延加工业国有控股工业企业单位数,金属制品业国有控股工业企业单位数,通用设备制造业国有控股工业企业单位数,专用设备制造业国有控股工业企业单位数,汽车制造业国有控股工业企业单位数,铁路、船舶、航空航天和其他运输设备国有控股工业企业单位数,电气机械和器材制造业国有控股工业企业单位数,计算机、通信和其他电子设备制造业国有控股工业企业单位数,仪器仪表制造业国有控股工业企业单位数,其他制造业国有控股工业企业单位数,废弃资源综合利用业国有控股工业企业单位数,金属制品、机械和设备修理业国有控股工业企业单位数,电力、热力生产和供应业国有控股工业企业单位数,燃气生产和供应业国有控股工业企业单位数,水的生产和供应业国有控股工业企业单位数
2019,20683,954,77,114,254,224,38,,670,320,277,88,149,201,29,71,22,101,278,67,236,1156,466,48,247,1759,268,535,556,765,745,786,557,607,721,236,54,97,124,4682,646,1457
2018,19250,856,77,122,247,174,37,,646,326,282,93,177,187,26,82,19,96,284,71,233,1132,430,51,243,1601,312,514,498,693,686,759,404,590,592,198,32,66,92,4121,478,1142
2017,19022,832,78,119,243,172,35,,650,326,279,94,176,183,27,84,17,96,283,72,218,1165,426,49,247,1600,368,522,473,714,701,787,535,609,635,224,73,65,94,4136,476,1138
2016,19022,872,83,129,251,197,39,,681,312,289,101,186,163,30,95,15,96,284,87,221,1172,431,43,259,1550,379,498,468,722,707,762,522,604,619,236,67,57,85,4255,417,1037
2015,19273,937,83,152,263,201,39,1.0,690,310,285,106,200,168,35,101,17,109,304,83,221,1171,422,42,270,1533,389,503,479,749,727,741,519,595,613,245,70,52,89,4397,398,964
2014,18808,955,79,159,266,204,35,1.0,654,298,275,103,221,168,29,108,19,113,310,79,224,1176,416,44,271,1510,390,509,473,758,718,699,505,582,596,235,63,50,83,4147,374,909
2013,18574,1032,76,164,274,198,50,1.0,638,289,279,105,239,167,33,112,20,118,312,80,224,1185,416,49,283,1471,395,508,466,758,728,688,507,595,600,246,70,49,83,3908,323,835
2012,17851,976,71,159,269,186,35,1.0,630,292,279,107,242,155,36,115,22,119,304,66,217,1157,425,46,281,1342,394,490,463,735,694,665,493,563,625,249,63,42,74,3701,296,772
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
