年份,国有控股工业企业利息支出,煤炭开采和洗选业国有控股工业企业利息支出,石油和天然气开采业国有控股工业企业利息支出,黑色金属矿采选业国有控股工业企业利息支出,有色金属矿采选业国有控股工业企业利息支出,非金属矿采选业国有控股工业企业利息支出,开采辅助活动国有控股工业企业利息支出,其他采矿业国有控股工业企业利息支出,农副食品加工业国有控股工业企业利息支出,食品制造业国有控股工业企业利息支出,酒、饮料和精制茶制造业国有控股工业企业利息支出,烟草制品业国有控股工业企业利息支出,纺织业国有控股工业企业利息支出,纺织服装、服饰业国有控股工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业利息支出,木材加工和木、竹、藤、棕、草制品业国有控股工业企业利息支出,家具制造业国有控股工业企业利息支出,造纸和纸制品业国有控股工业企业利息支出,印刷和记录媒介复制业国有控股工业企业利息支出,文教、工美、体育和娱乐用品制造业国有控股工业企业利息支出,石油加工、炼焦和核燃料加工业国有控股工业企业利息支出,化学原料和化学制品制造业国有控股工业企业利息支出,医药制造业国有控股工业企业利息支出,化学纤维制造业国有控股工业企业利息支出,橡胶和塑料制品业国有控股工业企业利息支出,非金属矿物制品业国有控股工业企业利息支出,黑色金属冶炼和压延加工业国有控股工业企业利息支出,有色金属冶炼和压延加工业国有控股工业企业利息支出,金属制品业国有控股工业企业利息支出,通用设备制造业国有控股工业企业利息支出,专用设备制造业国有控股工业企业利息支出,汽车制造业国有控股工业企业利息支出,铁路、船舶、航空航天和其他运输设备国有控股工业企业利息支出,电气机械和器材制造业国有控股工业企业利息支出,计算机、通信和其他电子设备制造业国有控股工业企业利息支出,仪器仪表制造业国有控股工业企业利息支出,其他制造业国有控股工业企业利息支出,废弃资源综合利用业国有控股工业企业利息支出,金属制品、机械和设备修理业国有控股工业企业利息支出,电力、热力生产和供应业国有控股工业企业利息支出,燃气生产和供应业国有控股工业企业利息支出,水的生产和供应业国有控股工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5404.53,752.86,164.11,67.55,39.46,9.13,14.51,,30.36,12.87,17.98,11.3,16.17,0.81,0.21,3.66,0.19,44.7,1.58,2.93,160.28,394.83,30.46,16.53,17.5,140.41,574.91,306.1,27.33,51.54,117.2,143.88,96.87,64.23,106.4,5.42,3.57,3.0,12.87,1818.22,40.28,82.3
2016,5591.81,723.31,176.02,67.45,36.47,10.48,17.91,,312.34,8.61,14.97,15.08,15.78,1.09,0.33,4.54,0.29,45.04,1.7,3.65,169.01,388.1,30.12,15.04,15.45,142.87,547.26,293.31,22.89,63.01,105.96,129.98,91.87,63.8,104.17,8.21,3.93,3.24,21.26,1803.01,34.69,79.49
2015,5688.21,724.76,202.46,53.86,36.56,11.34,14.85,0.04,34.03,12.97,21.69,13.76,14.88,1.19,0.34,6.05,0.23,47.49,2.0,3.3,196.91,404.09,35.07,13.07,16.93,160.71,592.37,315.38,37.61,82.88,121.41,137.86,92.02,70.19,105.24,6.95,4.56,1.95,5.56,1970.62,30.63,84.41
2014,5865.03,656.42,196.8,71.29,34.39,13.97,14.48,0.05,39.92,11.43,20.95,12.94,17.34,1.43,0.45,6.1,0.12,42.5,2.34,3.44,223.88,396.04,33.55,14.64,22.89,187.94,647.23,311.52,33.11,78.9,111.59,143.77,101.16,83.22,94.67,7.85,4.58,2.4,13.35,2101.4,29.26,75.74
2013,5197.98,558.81,183.84,49.11,25.66,11.42,17.0,0.05,37.49,10.02,21.17,11.61,15.6,1.21,0.52,4.26,0.23,39.53,2.4,2.66,197.7,333.82,26.86,14.04,20.17,151.14,594.41,260.14,28.6,65.26,94.62,118.85,98.68,76.28,98.72,6.06,5.46,1.66,6.19,1917.49,24.08,65.18
2012,4903.8153,489.05793,164.4182,42.42181,21.78856,8.78655,15.45657,0.05414,41.52533,11.05354,23.90451,11.94208,16.73709,1.48843,0.42284,4.37412,0.1296,43.44219,2.32982,2.94019,176.51203,281.84549,25.44439,13.73604,21.65258,124.77311,560.17974,260.63161,25.53898,57.94645,91.90653,119.8407,94.69897,77.18365,78.59629,5.53599,5.40684,2.34431,5.76118,1890.41181,23.30764,58.28747
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
