年份,国有控股工业企业外商资本金,煤炭开采和洗选业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,开采辅助活动国有控股工业企业外商资本金,其他采矿业国有控股工业企业外商资本金,农副食品加工业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,酒、饮料和精制茶制造业国有控股工业企业外商资本金,烟草制品业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,纺织服装、服饰业国有控股工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,造纸和纸制品业国有控股工业企业外商资本金,印刷和记录媒介复制业国有控股工业企业外商资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业外商资本金,石油加工、炼焦和核燃料加工业国有控股工业企业外商资本金,化学原料和化学制品制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,橡胶和塑料制品业国有控股工业企业外商资本金,非金属矿物制品业国有控股工业企业外商资本金,黑色金属冶炼和压延加工业国有控股工业企业外商资本金,有色金属冶炼和压延加工业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,通用设备制造业国有控股工业企业外商资本金,专用设备制造业国有控股工业企业外商资本金,汽车制造业国有控股工业企业外商资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业外商资本金,电气机械和器材制造业国有控股工业企业外商资本金,计算机、通信和其他电子设备制造业国有控股工业企业外商资本金,仪器仪表制造业国有控股工业企业外商资本金,其他制造业国有控股工业企业外商资本金,废弃资源综合利用业国有控股工业企业外商资本金,金属制品、机械和设备修理业国有控股工业企业外商资本金,电力、热力生产和供应业国有控股工业企业外商资本金,燃气生产和供应业国有控股工业企业外商资本金,水的生产和供应业国有控股工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2325.54,15.22,220.25,2.91,8.02,0.42,0.45,,7.8,10.22,7.05,0.42,1.38,0.13,0.0,0.0,0.4,17.48,2.17,2.02,19.88,278.69,12.55,9.09,4.88,23.79,71.8,35.05,13.52,81.07,25.32,922.09,48.53,26.9,70.27,3.0,0.17,1.18,18.79,234.34,85.43,42.86
2016,2232.51,16.97,219.22,,6.39,0.99,0.2,,8.1,19.1,6.71,0.42,2.72,0.46,,,0.26,17.82,2.92,1.55,20.16,263.35,31.36,9.91,14.47,25.43,72.15,36.74,16.15,54.2,47.04,784.0,42.63,21.66,71.9,1.73,0.02,0.49,32.78,268.02,76.05,38.44
2015,1867.68,23.69,16.22,0.88,6.39,1.34,0.2,0.0,8.07,18.73,9.44,0.42,2.77,0.12,0.0,0.0,1.84,18.68,4.45,0.56,21.79,177.82,34.97,6.78,15.6,27.56,67.51,30.25,16.94,59.42,58.57,664.74,32.35,31.09,96.59,3.2,0.01,1.01,17.21,264.24,85.86,40.4
2014,1867.55,19.44,0.0,0.0,9.79,1.34,0.2,0.0,12.39,8.72,11.15,0.42,2.99,0.12,0.0,0.0,1.84,28.52,4.48,0.45,96.85,242.33,36.17,5.98,15.56,22.93,60.6,23.33,18.46,52.3,53.03,627.6,41.87,17.67,73.94,4.62,0.01,0.64,13.72,259.86,60.13,38.08
2013,1827.18,15.88,5.35,0.01,4.35,1.34,0.2,0.0,7.05,7.7,7.0,0.42,2.54,0.47,0.96,0.0,0.34,24.52,4.07,0.45,85.04,236.16,28.94,6.39,13.39,28.21,52.9,23.04,12.5,65.77,55.65,631.84,51.7,20.05,94.17,4.14,0.64,0.53,12.54,235.02,53.09,32.84
2012,1693.31155,15.06613,,,5.22319,0.88963,0.19352,,17.05238,9.54449,11.81687,0.42415,2.34684,0.21609,2.12244,0.48659,0.65616,24.75705,2.55804,0.61453,78.45435,207.73301,29.48161,11.00053,15.17909,25.20023,53.46626,25.02843,15.66788,52.42671,54.97219,563.79763,44.25116,18.36875,104.99203,11.11801,0.63095,0.50097,10.82399,218.8835,32.67104,24.69513
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
