年份,国有控股工业企业实收资本,煤炭开采和洗选业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,开采辅助活动国有控股工业企业实收资本,其他采矿业国有控股工业企业实收资本,农副食品加工业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,酒、饮料和精制茶制造业国有控股工业企业实收资本,烟草制品业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,纺织服装、服饰业国有控股工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业实收资本,木材加工和木、竹、藤、棕、草制品业国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,造纸和纸制品业国有控股工业企业实收资本,印刷和记录媒介复制业国有控股工业企业实收资本,文教、工美、体育和娱乐用品制造业国有控股工业企业实收资本,石油加工、炼焦和核燃料加工业国有控股工业企业实收资本,化学原料和化学制品制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,橡胶和塑料制品业国有控股工业企业实收资本,非金属矿物制品业国有控股工业企业实收资本,黑色金属冶炼和压延加工业国有控股工业企业实收资本,有色金属冶炼和压延加工业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,通用设备制造业国有控股工业企业实收资本,专用设备制造业国有控股工业企业实收资本,汽车制造业国有控股工业企业实收资本,铁路、船舶、航空航天和其他运输设备国有控股工业企业实收资本,电气机械和器材制造业国有控股工业企业实收资本,计算机、通信和其他电子设备制造业国有控股工业企业实收资本,仪器仪表制造业国有控股工业企业实收资本,其他制造业国有控股工业企业实收资本,废弃资源综合利用业国有控股工业企业实收资本,金属制品、机械和设备修理业国有控股工业企业实收资本,电力、热力生产和供应业国有控股工业企业实收资本,燃气生产和供应业国有控股工业企业实收资本,水的生产和供应业国有控股工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,109865.3,4719.99,6450.53,939.79,511.81,166.04,1184.55,,380.64,313.15,469.33,1121.42,213.22,67.0,12.81,54.12,15.05,313.94,261.65,53.23,3943.33,5371.98,731.38,223.09,357.16,2145.48,6354.24,2818.1,898.91,1427.08,1680.67,4344.89,2636.05,1417.34,3797.76,255.68,234.35,49.84,306.08,48791.26,2230.1,2602.15
2016,88731.47,4482.97,6589.67,896.01,467.15,233.93,1400.51,,427.46,301.25,396.96,1128.24,207.19,50.26,13.61,50.15,13.72,409.24,247.23,64.61,3702.4,4815.49,740.72,184.68,324.14,2120.09,6162.23,2419.23,751.82,1232.96,1538.94,4086.96,2315.95,1217.44,3133.46,220.64,123.61,44.19,306.85,31449.77,2095.8,2363.84
2015,79070.03,5242.31,6017.5,851.97,410.52,219.59,1127.48,0.1,384.88,267.3,418.53,1155.46,201.57,51.57,13.29,54.56,15.43,352.95,257.22,62.2,3565.6,4559.83,706.08,170.01,334.3,1942.63,5970.68,2298.62,687.18,1234.62,1690.62,3423.85,2199.51,1135.41,2609.86,213.87,113.39,28.92,220.55,25540.69,1163.95,2155.39
2014,67132.27,4330.98,6421.55,918.71,405.4,184.17,1040.14,0.1,380.54,233.56,542.74,999.58,203.7,49.45,6.9,42.84,15.43,369.55,248.83,54.71,3847.67,4172.74,646.59,140.67,326.54,1931.09,5275.64,2172.7,650.39,1124.8,1612.31,3244.93,2051.4,1089.87,2058.2,244.91,99.74,25.79,166.53,17039.29,1103.15,1658.42
2013,63390.89,3967.38,7047.5,843.92,361.86,167.42,1172.96,0.1,307.55,208.33,654.51,965.05,193.36,43.55,9.16,42.83,13.24,353.37,247.74,53.01,3551.52,3961.06,806.56,147.95,307.85,1678.45,4813.04,2101.53,611.68,1044.98,1595.5,3163.94,1962.97,997.2,1758.09,220.91,129.39,33.59,158.73,15452.23,711.43,1529.45
2012,58417.00917,3820.11197,5241.63098,780.23895,352.33306,141.15746,980.95559,0.1,258.29904,190.26888,402.62602,946.1571,186.49926,38.78811,8.81692,46.81435,10.03481,397.63657,209.71118,40.32016,3603.46389,3540.82229,554.09832,138.15869,275.19907,1536.30461,4468.52722,1952.86749,582.86468,987.64624,1380.82717,2963.23862,1798.11586,897.1332,2514.87978,215.09209,117.92611,20.06016,140.76851,14722.47316,580.67268,1373.36892
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
