年份,国有控股工业企业应收账款净额,煤炭开采和洗选业国有控股工业企业应收账款净额,石油和天然气开采业国有控股工业企业应收账款净额,黑色金属矿采选业国有控股工业企业应收账款净额,有色金属矿采选业国有控股工业企业应收账款净额,非金属矿采选业国有控股工业企业应收账款净额,开采辅助活动国有控股工业企业应收账款净额,其他采矿业国有控股工业企业应收账款净额,农副食品加工业国有控股工业企业应收账款净额,食品制造业国有控股工业企业应收账款净额,酒、饮料和精制茶制造业国有控股工业企业应收账款净额,烟草制品业国有控股工业企业应收账款净额,纺织业国有控股工业企业应收账款净额,纺织服装、服饰业国有控股工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业国有控股工业企业应收账款净额,家具制造业国有控股工业企业应收账款净额,造纸和纸制品业国有控股工业企业应收账款净额,印刷和记录媒介复制业国有控股工业企业应收账款净额,文教、工美、体育和娱乐用品制造业国有控股工业企业应收账款净额,石油加工、炼焦和核燃料加工业国有控股工业企业应收账款净额,化学原料和化学制品制造业国有控股工业企业应收账款净额,医药制造业国有控股工业企业应收账款净额,化学纤维制造业国有控股工业企业应收账款净额,橡胶和塑料制品业国有控股工业企业应收账款净额,非金属矿物制品业国有控股工业企业应收账款净额,黑色金属冶炼和压延加工业国有控股工业企业应收账款净额,有色金属冶炼和压延加工业国有控股工业企业应收账款净额,金属制品业国有控股工业企业应收账款净额,通用设备制造业国有控股工业企业应收账款净额,专用设备制造业国有控股工业企业应收账款净额,汽车制造业国有控股工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备国有控股工业企业应收账款净额,电气机械和器材制造业国有控股工业企业应收账款净额,计算机、通信和其他电子设备制造业国有控股工业企业应收账款净额,仪器仪表制造业国有控股工业企业应收账款净额,其他制造业国有控股工业企业应收账款净额,废弃资源综合利用业国有控股工业企业应收账款净额,金属制品、机械和设备修理业国有控股工业企业应收账款净额,电力、热力生产和供应业国有控股工业企业应收账款净额,燃气生产和供应业国有控股工业企业应收账款净额,水的生产和供应业国有控股工业企业应收账款净额
2019,31388.45,1601.05,364.68,214.16,111.52,76.96,427.78,,107.23,165.3,140.84,421.71,61.88,33,10.55,20.69,50.86,84.49,98.46,16.7,605.03,954.51,495.53,67.26,194.8,1427.44,848.8,750.59,628.37,1608.1,1797.43,4569.43,2092.38,1975.88,2727.82,400.54,78.18,53.91,264.21,5068.16,285.37,486.79
2018,30722.43,1555.0,404.2,193.3,137.1,49.9,423.2,,98.2,151.1,116.8,445.2,95.1,31.7,11.9,22.4,41.1,75.0,85.2,18.8,639.4,926.7,445.4,46.4,193.3,1219.3,1012.5,636.5,496.2,1533.0,2102.5,4804.6,1480.8,2123.7,2934.3,289.7,16.0,48.8,245.1,3678.8,225.8,363.1
2017,29239.42,1526.79,219.5,271.34,112.21,44.21,417.61,,111.98,166.92,120.13,548.31,99.43,32.15,10.81,22.29,55.53,77.59,79.38,24.97,655.31,959.2,407.03,35.85,194.34,1107.2,1164.67,746.18,566.15,1641.17,2176.23,4406.71,1992.65,2252.85,2511.96,391.49,80.45,64.71,210.28,3264.73,175.95,293.16
2016,28354.43,1828.23,244.45,317.17,83.07,55.91,513.35,,146.9,150.58,141.72,826.41,90.36,14.94,2.82,26.21,40.78,87.74,95.6,25.94,483.64,863.87,394.38,31.28,156.16,1032.79,1376.16,680.15,478.03,1987.67,2139.84,3833.11,1927.16,2086.56,2197.53,345.25,84.58,33.97,429.83,2744.17,131.64,224.48
2015,26553.48,2150.01,240.17,301.33,93.07,52.09,570.98,0.01,164.33,122.16,119.87,668.39,80.94,17.99,3.6,24.59,39.28,112.68,85.81,22.5,426.25,881.24,355.35,22.91,161.22,966.18,1124.53,724.7,520.19,1976.83,2407.95,3014.64,1797.32,1893.63,1859.64,333.9,75.16,33.62,152.77,2596.2,127.78,231.68
2014,24270.87,2046.58,217.33,287.28,89.39,44.54,583.91,0.02,126.19,114.88,125.46,324.73,66.44,19.44,2.88,18.33,28.95,113.1,87.51,21.89,445.04,749.17,330.06,21.38,157.81,873.69,1053.94,720.99,477.27,1948.59,2375.3,2297.26,1605.18,1773.99,1638.07,337.53,68.78,35.56,81.91,2656.79,121.52,182.21
2013,22513.92,1668.14,254.47,266.66,84.13,54.53,610.08,0.01,136.26,106.27,101.07,385.81,62.41,15.11,2.76,17.3,25.45,127.05,75.15,22.68,451.44,716.04,310.2,21.21,156.54,831.66,1009.44,576.93,426.68,1749.49,2296.07,2130.95,1628.16,1659.37,1375.08,268.75,74.98,25.94,102.72,2418.5,105.36,163.09
2012,19061.25612,1265.53626,191.14336,210.89808,78.43595,40.96436,379.4914,2e-05,96.93148,98.5924,113.49766,362.75157,61.4439,18.0372,4.79933,15.22146,21.10168,84.8254,67.1712,14.45284,448.3312,547.25166,276.10183,18.57578,138.97229,678.66797,858.28989,534.99789,378.38469,1470.68558,1857.8661,1605.09072,1411.68339,1392.9855,1271.49423,262.44185,68.67351,24.34669,88.93469,2372.44391,94.13197,135.60923
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
