年份,国有控股工业企业管理费用,煤炭开采和洗选业国有控股工业企业管理费用,石油和天然气开采业国有控股工业企业管理费用,黑色金属矿采选业国有控股工业企业管理费用,有色金属矿采选业国有控股工业企业管理费用,非金属矿采选业国有控股工业企业管理费用,开采辅助活动国有控股工业企业管理费用,其他采矿业国有控股工业企业管理费用,农副食品加工业国有控股工业企业管理费用,食品制造业国有控股工业企业管理费用,酒、饮料和精制茶制造业国有控股工业企业管理费用,烟草制品业国有控股工业企业管理费用,纺织业国有控股工业企业管理费用,纺织服装、服饰业国有控股工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业管理费用,木材加工和木、竹、藤、棕、草制品业国有控股工业企业管理费用,家具制造业国有控股工业企业管理费用,造纸和纸制品业国有控股工业企业管理费用,印刷和记录媒介复制业国有控股工业企业管理费用,文教、工美、体育和娱乐用品制造业国有控股工业企业管理费用,石油加工、炼焦和核燃料加工业国有控股工业企业管理费用,化学原料和化学制品制造业国有控股工业企业管理费用,医药制造业国有控股工业企业管理费用,化学纤维制造业国有控股工业企业管理费用,橡胶和塑料制品业国有控股工业企业管理费用,非金属矿物制品业国有控股工业企业管理费用,黑色金属冶炼和压延加工业国有控股工业企业管理费用,有色金属冶炼和压延加工业国有控股工业企业管理费用,金属制品业国有控股工业企业管理费用,通用设备制造业国有控股工业企业管理费用,专用设备制造业国有控股工业企业管理费用,汽车制造业国有控股工业企业管理费用,铁路、船舶、航空航天和其他运输设备国有控股工业企业管理费用,电气机械和器材制造业国有控股工业企业管理费用,计算机、通信和其他电子设备制造业国有控股工业企业管理费用,仪器仪表制造业国有控股工业企业管理费用,其他制造业国有控股工业企业管理费用,废弃资源综合利用业国有控股工业企业管理费用,金属制品、机械和设备修理业国有控股工业企业管理费用,电力、热力生产和供应业国有控股工业企业管理费用,燃气生产和供应业国有控股工业企业管理费用,水的生产和供应业国有控股工业企业管理费用
2019,13600.56,1226.42,702.63,108.37,118.43,43.37,82.09,,76.9,69.18,216.32,495.25,35.42,44.64,7.6,10.78,19.68,42.68,68.74,12.6,634.92,723.05,275.47,52.99,74.46,386.29,859.32,426.28,198.91,453.02,350.95,1954.33,653.46,327.15,963.92,106.73,59.79,11.98,92.19,1247.78,125.87,240.61
2018,12594.37,1292.3,614.2,112.1,117.6,33.0,53.9,,64.8,61.5,194.2,492.6,33.4,43.6,6.0,8.5,17.7,41.1,67.2,10.6,647.3,719.6,257.1,50.8,65.7,311.4,770.1,305.9,118.5,383.7,329.4,1912.5,386.0,368.1,800.9,65.4,4.8,6.7,52.9,566.9,103.8,203.1
2017,11981.88,1317.81,686.28,98.56,118.18,33.23,51.94,,78.42,59.21,194.72,461.86,35.21,41.03,5.7,9.57,18.91,50.46,64.02,11.39,655.04,692.82,236.14,52.98,64.39,300.96,723.34,333.78,169.73,382.98,341.0,1851.51,602.76,343.92,803.15,88.86,49.3,6.51,53.7,608.75,94.59,189.09
2016,11340.53,1116.62,687.8,74.61,128.43,48.23,58.22,,92.46,55.36,170.53,475.31,39.9,32.36,4.97,12.09,13.94,51.12,59.47,13.22,611.67,661.26,238.63,48.42,57.59,297.83,698.75,302.63,127.22,387.41,319.93,1653.58,570.81,328.14,751.6,81.55,39.1,6.09,58.24,696.72,89.05,179.54
2015,11191.53,1175.53,675.61,93.69,127.25,48.78,54.98,0.11,83.62,58.0,159.33,490.84,39.25,31.44,5.09,11.06,12.83,53.09,60.52,11.59,602.6,632.5,214.06,34.61,59.86,288.18,748.38,299.83,146.78,400.06,347.97,1481.11,558.43,299.8,668.43,78.83,41.7,4.14,45.09,799.4,84.17,162.97
2014,11413.24,1409.5,777.23,107.1,121.07,46.3,53.71,0.11,78.34,56.9,168.61,450.53,37.93,28.29,4.2,9.68,11.5,48.27,59.97,12.05,618.01,636.69,194.23,26.64,59.2,288.15,796.5,329.35,140.03,390.82,354.74,1448.29,533.63,298.55,581.99,76.95,39.19,3.4,30.84,856.59,80.57,147.59
2013,11567.94,1617.78,801.23,116.44,119.67,44.04,72.04,0.09,76.43,51.55,159.44,438.99,40.07,25.74,4.61,13.57,9.27,50.43,60.5,9.87,672.75,652.14,188.34,27.04,60.78,275.24,880.68,308.64,151.58,399.42,377.78,1269.59,533.89,290.84,472.79,74.75,42.55,4.35,37.88,918.22,76.95,140.0
2012,11198.71235,1772.38601,722.67212,129.13222,115.12043,41.86569,63.82758,0.13974,80.16743,54.74967,151.05007,425.96993,38.72579,18.42944,6.62781,13.79618,7.20103,54.25325,58.06193,8.42636,578.92869,601.25703,183.93423,25.05647,57.36492,248.40515,886.81803,363.22252,147.03497,391.54788,376.84904,1095.17868,498.51444,254.38336,499.98079,79.7746,39.00207,3.79059,35.55705,863.75941,78.37063,127.37912
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
