年份,外商及港澳台商投资工业企业出口交货值,煤炭采选业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,其他矿采选业外商及港澳台商投资工业企业出口交货值,木材及竹材采运业外商及港澳台商投资工业企业出口交货值,食品加工业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,饮料制造业外商及港澳台商投资工业企业出口交货值,烟草加工业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,服装及其他纤维制品制造业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业出口交货值,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,造纸及纸制品业外商及港澳台商投资工业企业出口交货值,印刷业、记录媒介的复制外商及港澳台商投资工业企业出口交货值,文教体育用品制造业外商及港澳台商投资工业企业出口交货值,石油加工及炼焦业外商及港澳台商投资工业企业出口交货值,化学原料及化学制品制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,橡胶制品业外商及港澳台商投资工业企业出口交货值,塑料制品业外商及港澳台商投资工业企业出口交货值,非金属矿物制造业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,有色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,普通机械制造业外商及港澳台商投资工业企业出口交货值,专用设备制造业外商及港澳台商投资工业企业出口交货值,交通运输设备制造业外商及港澳台商投资工业企业出口交货值,电气机械及器材制造业外商及港澳台商投资工业企业出口交货值,电子及通信设备制造业外商及港澳台商投资工业企业出口交货值,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业出口交货值,其它制造业外商及港澳台商投资工业企业出口交货值,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业出口交货值,煤气生产和供应业外商及港澳台商投资工业企业出口交货值,自来水的生产和供应业外商及港澳台商投资工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,13018.39339,0.25854,72.71963,,0.31277,5.87094,,,268.49392,93.43602,23.1495,0.65532,702.37924,875.77758,722.32962,79.46803,172.56747,107.45978,60.68028,365.60397,61.81833,312.23786,46.27085,34.11183,147.14105,484.89035,249.57462,37.27451,64.69905,559.06958,286.77406,114.17585,311.46813,907.9599,4987.45374,446.34111,362.86588,53.08854,0.01554,
2001,10312.71407,0.45204,72.29063,,0.69274,5.04221,,,228.53273,76.47414,22.36325,0.5337,622.43169,792.05672,640.98218,63.4292,126.01815,91.12882,55.4118,313.84017,42.86968,258.41441,38.24047,29.61798,120.61906,389.92462,221.70741,32.92372,52.3219,450.24552,234.57755,119.33251,260.02316,746.7752,3445.97781,401.23046,302.04553,54.14504,0.04187,
2000,9015.69508,2.31251,82.28512,,0.34583,6.94558,,,201.19053,63.57883,17.04427,0.12489,558.45397,780.27648,588.0955,70.0111,103.15215,90.21662,35.16505,290.18466,54.23373,230.54666,35.9523,33.11517,116.36169,384.42985,177.30292,21.37996,57.2072,477.94132,206.4487,88.25667,229.63909,683.28436,2687.61266,314.22092,279.14946,48.81533,,0.414
