年份,外商及港澳台商投资工业企业实收资本,煤炭采选业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,其他矿采选业外商及港澳台商投资工业企业实收资本,木材及竹材采运业外商及港澳台商投资工业企业实收资本,食品加工业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,饮料制造业外商及港澳台商投资工业企业实收资本,烟草加工业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,服装及其他纤维制品制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业实收资本,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,造纸及纸制品业外商及港澳台商投资工业企业实收资本,印刷业、记录媒介的复制外商及港澳台商投资工业企业实收资本,文教体育用品制造业外商及港澳台商投资工业企业实收资本,石油加工及炼焦业外商及港澳台商投资工业企业实收资本,化学原料及化学制品制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,橡胶制品业外商及港澳台商投资工业企业实收资本,塑料制品业外商及港澳台商投资工业企业实收资本,非金属矿物制造业外商及港澳台商投资工业企业实收资本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,普通机械制造业外商及港澳台商投资工业企业实收资本,专用设备制造业外商及港澳台商投资工业企业实收资本,交通运输设备制造业外商及港澳台商投资工业企业实收资本,电气机械及器材制造业外商及港澳台商投资工业企业实收资本,电子及通信设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业实收资本,其它制造业外商及港澳台商投资工业企业实收资本,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业实收资本,煤气生产和供应业外商及港澳台商投资工业企业实收资本,自来水的生产和供应业外商及港澳台商投资工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,11447.27689,6.59176,56.58642,1.06017,1.33981,9.48853,,,296.27553,356.71402,384.56643,7.02954,607.49555,336.95391,194.8946,110.81052,77.32556,353.02785,150.149,151.99848,137.07873,696.45375,239.52855,151.75975,189.55251,498.41615,602.0528,169.76517,162.6635,476.74762,490.63423,199.32067,824.86322,710.59268,1566.55646,171.49545,176.52292,815.4232,27.46635,37.38951
2001,10256.78317,6.52807,62.56813,0.75472,1.455,8.85649,,,265.7526,336.68272,368.159,10.21081,539.04087,301.39768,171.05389,106.87379,65.07496,320.26672,140.03632,130.66132,120.86871,623.27721,198.16042,137.10559,160.06924,437.25046,563.66399,172.44751,124.14783,451.7676,446.06233,177.22902,736.42999,666.40617,1269.83516,138.8704,143.57265,815.89501,23.88951,14.46128
2000,9080.11221,0.91876,21.9905,0.49277,0.85394,9.77168,0.0183,,251.89668,300.22837,345.84699,6.29387,481.98521,277.81953,155.10575,94.77196,54.92696,294.23193,110.83314,125.52671,44.9999,535.34717,174.43292,208.39589,146.11794,372.89159,538.14606,153.57472,132.42664,389.55107,384.59538,149.83737,663.85876,591.01218,1093.14428,127.82244,129.27873,687.00371,15.39415,8.76826
