年份,外商及港澳台商投资工业企业流动负债合计,煤炭采选业外商及港澳台商投资工业企业流动负债合计,石油和天然气开采业外商及港澳台商投资工业企业流动负债合计,黑色金属矿采选业外商及港澳台商投资工业企业流动负债合计,有色金属矿采选业外商及港澳台商投资工业企业流动负债合计,非金属矿采选业外商及港澳台商投资工业企业流动负债合计,其他矿采选业外商及港澳台商投资工业企业流动负债合计,木材及竹材采运业外商及港澳台商投资工业企业流动负债合计,食品加工业外商及港澳台商投资工业企业流动负债合计,食品制造业外商及港澳台商投资工业企业流动负债合计,饮料制造业外商及港澳台商投资工业企业流动负债合计,烟草加工业外商及港澳台商投资工业企业流动负债合计,纺织业外商及港澳台商投资工业企业流动负债合计,服装及其他纤维制品制造业外商及港澳台商投资工业企业流动负债合计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业流动负债合计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业流动负债合计,家具制造业外商及港澳台商投资工业企业流动负债合计,造纸及纸制品业外商及港澳台商投资工业企业流动负债合计,印刷业、记录媒介的复制外商及港澳台商投资工业企业流动负债合计,文教体育用品制造业外商及港澳台商投资工业企业流动负债合计,石油加工及炼焦业外商及港澳台商投资工业企业流动负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业流动负债合计,医药制造业外商及港澳台商投资工业企业流动负债合计,化学纤维制造业外商及港澳台商投资工业企业流动负债合计,橡胶制品业外商及港澳台商投资工业企业流动负债合计,塑料制品业外商及港澳台商投资工业企业流动负债合计,非金属矿物制造业外商及港澳台商投资工业企业流动负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,金属制品业外商及港澳台商投资工业企业流动负债合计,普通机械制造业外商及港澳台商投资工业企业流动负债合计,专用设备制造业外商及港澳台商投资工业企业流动负债合计,交通运输设备制造业外商及港澳台商投资工业企业流动负债合计,电气机械及器材制造业外商及港澳台商投资工业企业流动负债合计,电子及通信设备制造业外商及港澳台商投资工业企业流动负债合计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业流动负债合计,其它制造业外商及港澳台商投资工业企业流动负债合计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业流动负债合计,煤气生产和供应业外商及港澳台商投资工业企业流动负债合计,自来水的生产和供应业外商及港澳台商投资工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,14146.00988,13.23847,10.52936,0.9298,4.50032,7.55024,,,458.55553,350.95892,352.56747,5.54884,689.12012,466.62581,351.45677,127.62392,110.59011,452.55423,155.87048,190.56016,144.38512,717.3127,284.97573,128.63773,223.25917,508.68335,530.53698,241.09872,175.89099,596.27715,518.47969,268.77929,1031.47256,915.60883,3089.70851,229.6874,192.81094,539.5826,34.7294,21.10431
2001,12466.42654,10.76628,5.16274,0.48677,3.15151,7.16122,,,404.32117,318.37098,331.35826,4.74001,636.88782,419.87753,312.5951,125.49446,96.21429,385.09615,184.03714,157.42535,149.08345,633.71658,257.53617,122.09889,211.68697,446.32655,484.3998,229.79081,149.72097,542.15721,430.88095,215.91251,871.1127,863.99943,2573.34888,171.88923,166.11839,516.20138,17.49546,9.80343
2000,11616.66694,6.18611,3.82584,0.38745,2.23905,8.42435,0.1113,,389.80648,300.21599,339.48968,5.03844,608.53755,404.81562,298.84861,120.97845,88.05411,365.64058,123.31046,151.43886,74.38802,596.88495,227.4293,161.48208,188.52168,416.66498,499.89781,220.7634,159.7679,505.91469,399.61772,206.26535,786.53589,838.93038,2283.74047,171.77764,155.68129,476.73373,19.50576,8.81497
