年份,外商及港澳台商投资工业亏损企业亏损总额,煤炭开采和洗选业外商及港澳台商投资工业亏损企业亏损总额,石油和天然气开采业外商及港澳台商投资工业亏损企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,有色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,非金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,其他采矿业外商及港澳台商投资工业亏损企业亏损总额,农副食品加工业外商及港澳台商投资工业亏损企业亏损总额,食品制造业外商及港澳台商投资工业亏损企业亏损总额,饮料制造业外商及港澳台商投资工业亏损企业亏损总额,烟草制品业外商及港澳台商投资工业亏损企业亏损总额,纺织业外商及港澳台商投资工业亏损企业亏损总额,纺织服装、鞋、帽制造业外商及港澳台商投资工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业亏损企业亏损总额,家具制造业外商及港澳台商投资工业亏损企业亏损总额,造纸及纸制品业外商及港澳台商投资工业亏损企业亏损总额,印刷业和记录媒介的复制外商及港澳台商投资工业亏损企业亏损总额,文教体育用品制造业外商及港澳台商投资工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业亏损企业亏损总额,化学原料及化学制品制造业外商及港澳台商投资工业亏损企业亏损总额,医药制造业外商及港澳台商投资工业亏损企业亏损总额,化学纤维制造业外商及港澳台商投资工业亏损企业亏损总额,橡胶制品业外商及港澳台商投资工业亏损企业亏损总额,塑料制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿物制品业外商及港澳台商投资工业亏损企业亏损总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,有色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,金属制品业外商及港澳台商投资工业亏损企业亏损总额,通用设备制造业外商及港澳台商投资工业亏损企业亏损总额,专用设备制造业外商及港澳台商投资工业亏损企业亏损总额,交通运输设备制造业外商及港澳台商投资工业亏损企业亏损总额,电气机械及器材制造业外商及港澳台商投资工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业亏损企业亏损总额,工艺品及其他制造业外商及港澳台商投资工业亏损企业亏损总额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业亏损企业亏损总额,电力、热力的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,燃气生产和供应业外商及港澳台商投资工业亏损企业亏损总额,水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1007.03518,0.16569,0.82534,0.25116,0.15465,0.45127,,28.9152,21.97559,36.61701,,26.36011,17.0398,10.44015,6.77029,9.56757,17.98675,5.6127,10.6777,44.22631,68.33355,15.97471,8.29041,14.05021,33.15033,35.59022,48.06135,21.13049,24.39697,33.9434,42.96785,69.01999,77.40313,189.20804,9.64676,5.60203,1.89954,66.942,1.25995,2.12696
2010,731.3038,0.89981,0.53935,0.10261,0.29191,0.44189,,23.55069,24.67783,33.93038,0.02135,21.06703,18.0126,6.87538,7.4484,7.00545,16.12023,5.90926,8.10856,7.22838,49.67526,13.10159,2.30198,6.14831,25.22201,21.33941,26.45799,16.23715,20.8227,34.82379,32.36446,40.60794,49.39428,141.68897,8.22879,5.25578,1.67348,49.27098,1.40303,3.05479
2009,1082.22211,0.2896,0.33164,1.53669,0.40998,1.22978,,24.25082,22.43763,30.83096,,34.15435,23.12809,12.17901,9.21264,9.84237,22.93989,5.96134,11.32067,4.94138,83.51687,12.75753,6.63053,7.65766,31.39858,39.38521,59.46864,22.24235,40.96618,59.59366,41.53507,58.11382,55.32978,281.24039,14.50086,7.7756,2.98792,36.94645,2.4048,2.77337
2008,1449.12247,0.099,,0.1957,0.19563,0.48915,0.03742,34.28212,33.87785,30.04412,,49.82318,32.78681,14.06317,9.98843,14.65754,26.72748,6.38607,18.12131,186.74656,146.31131,13.48087,14.16916,17.83785,40.71722,42.37761,49.95263,33.08031,33.85673,44.831,41.06552,67.17367,64.94207,255.40721,17.09451,11.53545,5.50576,86.89252,3.14822,1.22131
