年份,外商及港澳台商投资工业企业出口交货值,煤炭开采和洗选业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,其他采矿业外商及港澳台商投资工业企业出口交货值,农副食品加工业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,饮料制造业外商及港澳台商投资工业企业出口交货值,烟草制品业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,造纸及纸制品业外商及港澳台商投资工业企业出口交货值,印刷业和记录媒介的复制外商及港澳台商投资工业企业出口交货值,文教体育用品制造业外商及港澳台商投资工业企业出口交货值,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业出口交货值,化学原料及化学制品制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,橡胶制品业外商及港澳台商投资工业企业出口交货值,塑料制品业外商及港澳台商投资工业企业出口交货值,非金属矿物制品业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,有色金属冶炼及压延加工业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,通用设备制造业外商及港澳台商投资工业企业出口交货值,专用设备制造业外商及港澳台商投资工业企业出口交货值,交通运输设备制造业外商及港澳台商投资工业企业出口交货值,电气机械及器材制造业外商及港澳台商投资工业企业出口交货值,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业出口交货值,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业出口交货值,工艺品及其他制造业外商及港澳台商投资工业企业出口交货值,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业出口交货值,电力、热力的生产和供应业外商及港澳台商投资工业企业出口交货值,燃气生产和供应业外商及港澳台商投资工业企业出口交货值,水的生产和供应业外商及港澳台商投资工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,68385.57575,,27.42723,,1.0197,5.19329,,996.31875,390.18454,97.31683,0.01297,2323.4668,1887.70536,1603.29868,228.70873,748.29167,448.14166,219.69847,1017.86928,168.55661,1765.99337,425.84606,166.25253,625.2782,1452.73601,815.14419,558.38302,676.5973,1800.45676,2276.69059,1381.08236,3227.66398,6085.31723,34049.16323,1847.25632,970.88324,1.3831,48.61432,19.46307,28.1603
2010,62263.51975,6.6722,40.61254,,1.0024,7.56492,,922.03116,352.05213,88.71597,0.01968,2171.33656,1994.50341,1551.17957,244.79242,738.88917,438.89928,223.88276,1000.96369,192.21599,1523.48095,421.50968,121.58837,575.55309,1489.45473,734.39179,354.02477,497.74975,1654.57922,1931.97165,1161.52843,2941.68239,5173.95539,31018.0098,1734.68352,859.36146,1.71535,54.86978,10.59952,27.47626
2009,50438.84525,0.60724,25.28605,,0.60733,6.48719,,866.94167,288.46608,93.27335,0.02566,1800.4438,1878.94211,1326.98133,242.33538,625.87211,363.8118,204.59434,885.84665,181.72793,1048.97195,336.82798,81.96562,572.58061,1249.04279,641.23703,264.75908,409.9249,1240.93357,1397.21557,886.31823,2410.09196,4065.54094,24763.50768,1411.1853,735.1737,1.6592,81.43812,22.13897,26.08203
2008,57217.32194,5.33485,91.08881,1.07874,0.85471,9.62482,0.06505,871.4004,320.96527,103.32798,0.07175,1915.02601,2031.98132,1466.34841,249.72921,738.93726,447.92407,209.07983,999.57673,222.84405,1379.10976,276.02465,122.60695,625.64752,1513.93502,746.47779,542.20366,510.79901,1997.85909,1876.2612,1094.36161,2574.08207,4684.02057,26815.53521,1818.61112,874.21099,2.49595,44.61424,10.99162,22.21464
