年份,外商及港澳台商投资工业企业工业销售产值(现价),煤炭开采和洗选业外商及港澳台商投资工业企业工业销售产值(现价),石油和天然气开采业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),有色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),其他采矿业外商及港澳台商投资工业企业工业销售产值(现价),农副食品加工业外商及港澳台商投资工业企业工业销售产值(现价),食品制造业外商及港澳台商投资工业企业工业销售产值(现价),饮料制造业外商及港澳台商投资工业企业工业销售产值(现价),烟草制品业外商及港澳台商投资工业企业工业销售产值(现价),纺织业外商及港澳台商投资工业企业工业销售产值(现价),纺织服装、鞋、帽制造业外商及港澳台商投资工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业工业销售产值(现价),家具制造业外商及港澳台商投资工业企业工业销售产值(现价),造纸及纸制品业外商及港澳台商投资工业企业工业销售产值(现价),印刷业和记录媒介的复制外商及港澳台商投资工业企业工业销售产值(现价),文教体育用品制造业外商及港澳台商投资工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业工业销售产值(现价),化学原料及化学制品制造业外商及港澳台商投资工业企业工业销售产值(现价),医药制造业外商及港澳台商投资工业企业工业销售产值(现价),化学纤维制造业外商及港澳台商投资工业企业工业销售产值(现价),橡胶制品业外商及港澳台商投资工业企业工业销售产值(现价),塑料制品业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿物制品业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),有色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),金属制品业外商及港澳台商投资工业企业工业销售产值(现价),通用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),专用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),交通运输设备制造业外商及港澳台商投资工业企业工业销售产值(现价),电气机械及器材制造业外商及港澳台商投资工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业工业销售产值(现价),工艺品及其他制造业外商及港澳台商投资工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业工业销售产值(现价),电力、热力的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),燃气生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),水的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,214716.86964,1134.89492,801.01594,219.18074,116.288,134.0944,,8862.1596,4559.6244,3549.99465,4.94761,6671.23716,4688.7466,3811.78929,923.13344,1467.90838,3341.63597,896.13253,1625.71215,4570.52483,15554.55666,3489.28346,1906.03348,2123.19135,4494.86294,5169.30524,8116.61137,4760.22675,5594.59734,9028.75901,5909.42118,27690.91968,15102.2042,47830.52343,3444.19271,2203.85895,492.45756,3083.18096,1131.05833,212.60443
2010,186421.56169,773.2039,673.6484,134.25584,163.8687,135.90034,,7723.62541,3508.58178,2867.86229,4.0329,5877.27392,4495.6537,3467.551,850.38875,1408.57094,3141.21638,818.76542,1614.305,3921.58729,12304.2473,2977.62341,1536.95017,1901.55748,4300.09899,4467.78659,6699.08215,3976.72999,4965.4148,7830.36563,5181.08006,24302.94938,13297.68968,42037.30986,3050.96484,1850.81956,424.88639,2679.40878,869.40437,186.9003
2009,149537.57027,371.25755,520.56987,87.28886,138.87508,130.73547,,6724.85968,3106.0306,2500.82368,3.59416,4871.11155,4054.05745,2786.47894,712.64943,1161.29352,2511.41377,743.56218,1368.35845,2797.809,9178.38144,2497.03016,1114.88067,1724.28722,3518.39199,3614.36186,5730.33944,3034.11195,3945.35615,6063.86442,3964.03638,18279.09006,10511.26815,34138.20275,2455.36879,1475.95359,232.61619,2565.00888,726.40308,177.84786
2008,146172.17804,347.27139,781.39127,96.45129,169.92821,130.12432,0.066,6308.81631,2735.13598,2208.16727,4.7388,4736.56812,3859.15185,2739.39172,702.96227,1197.10048,2558.13766,739.41628,1381.41352,2978.98441,8856.17755,1995.16927,1184.24967,1621.48115,3582.90741,3449.14457,6247.76212,3190.72026,4549.45655,6124.46519,3800.42279,14782.18903,10455.02565,34950.58255,2771.58425,1459.99179,249.29853,2457.36114,615.04759,153.92383
