年份,外商及港澳台商投资工业企业流动负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动负债合计,石油和天然气开采业外商及港澳台商投资工业企业流动负债合计,黑色金属矿采选业外商及港澳台商投资工业企业流动负债合计,有色金属矿采选业外商及港澳台商投资工业企业流动负债合计,非金属矿采选业外商及港澳台商投资工业企业流动负债合计,其他采矿业外商及港澳台商投资工业企业流动负债合计,农副食品加工业外商及港澳台商投资工业企业流动负债合计,食品制造业外商及港澳台商投资工业企业流动负债合计,饮料制造业外商及港澳台商投资工业企业流动负债合计,烟草制品业外商及港澳台商投资工业企业流动负债合计,纺织业外商及港澳台商投资工业企业流动负债合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动负债合计,家具制造业外商及港澳台商投资工业企业流动负债合计,造纸及纸制品业外商及港澳台商投资工业企业流动负债合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业流动负债合计,文教体育用品制造业外商及港澳台商投资工业企业流动负债合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业流动负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业流动负债合计,医药制造业外商及港澳台商投资工业企业流动负债合计,化学纤维制造业外商及港澳台商投资工业企业流动负债合计,橡胶制品业外商及港澳台商投资工业企业流动负债合计,塑料制品业外商及港澳台商投资工业企业流动负债合计,非金属矿物制品业外商及港澳台商投资工业企业流动负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,金属制品业外商及港澳台商投资工业企业流动负债合计,通用设备制造业外商及港澳台商投资工业企业流动负债合计,专用设备制造业外商及港澳台商投资工业企业流动负债合计,交通运输设备制造业外商及港澳台商投资工业企业流动负债合计,电气机械及器材制造业外商及港澳台商投资工业企业流动负债合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业流动负债合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业流动负债合计,工艺品及其他制造业外商及港澳台商投资工业企业流动负债合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业流动负债合计,电力、热力的生产和供应业外商及港澳台商投资工业企业流动负债合计,燃气生产和供应业外商及港澳台商投资工业企业流动负债合计,水的生产和供应业外商及港澳台商投资工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,78340.62502,910.3799,383.55252,84.07253,37.20133,53.30779,,2973.0201,1444.57948,1409.79076,1.43624,2420.67067,1368.78119,928.39804,268.13237,551.26039,1937.08361,364.78583,460.59682,1218.22883,5285.39725,1341.63901,892.91322,791.98505,1664.71152,2302.19511,2942.8589,1629.75,1906.99169,4013.54759,2752.63268,10983.212,5664.00733,14675.0414,1093.61642,570.09608,281.73048,1913.60748,587.91791,231.4955
2010,69942.69964,346.83979,373.22706,70.72449,124.17212,52.34852,,2796.67514,1236.44124,1267.58603,1.36796,2301.34092,1297.32948,948.51928,270.11694,544.54717,1698.79649,350.50322,467.65394,1114.96215,4573.32981,1136.95154,721.79435,679.79919,1570.95949,1952.13882,2705.00031,1443.625,1822.28581,3583.34026,2485.44888,10320.12748,5051.38268,12598.02706,951.51672,467.388,185.56841,1803.12492,436.48864,191.25033
2009,58916.07701,127.36175,385.9555,39.44062,88.59651,57.48643,,2137.57475,1043.74153,1049.42448,1.95969,2008.89374,1198.5404,838.92437,262.51794,458.30858,1385.66714,326.57211,445.02461,980.65195,3520.33809,989.50039,574.28908,638.77923,1351.49521,1680.74898,2254.93741,1273.47123,1622.77966,2905.88426,1956.34623,8026.29409,4081.13515,10658.67561,1051.41754,409.59185,154.7362,1717.91717,1059.49016,151.60737
2008,52872.50614,220.59806,95.83243,34.25968,78.66145,47.16035,0.14434,1577.44796,961.42131,1030.15813,2.25897,1946.82797,1277.45166,835.68243,266.77151,460.01022,1530.36596,328.00184,473.02378,912.42145,3151.4361,863.93509,551.30004,678.2244,1430.23918,1680.94309,2063.86217,1095.93826,1571.83577,2721.94577,1819.2019,6238.52686,3705.80863,9945.39781,733.31474,419.25669,99.55552,1602.03507,296.48661,124.76294
