年份,外商及港澳台商投资工业企业集体资本金,煤炭开采和洗选业外商及港澳台商投资工业企业集体资本金,石油和天然气开采业外商及港澳台商投资工业企业集体资本金,黑色金属矿采选业外商及港澳台商投资工业企业集体资本金,有色金属矿采选业外商及港澳台商投资工业企业集体资本金,非金属矿采选业外商及港澳台商投资工业企业集体资本金,其他采矿业外商及港澳台商投资工业企业集体资本金,农副食品加工业外商及港澳台商投资工业企业集体资本金,食品制造业外商及港澳台商投资工业企业集体资本金,饮料制造业外商及港澳台商投资工业企业集体资本金,烟草制品业外商及港澳台商投资工业企业集体资本金,纺织业外商及港澳台商投资工业企业集体资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业集体资本金,家具制造业外商及港澳台商投资工业企业集体资本金,造纸及纸制品业外商及港澳台商投资工业企业集体资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业集体资本金,文教体育用品制造业外商及港澳台商投资工业企业集体资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业集体资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业集体资本金,医药制造业外商及港澳台商投资工业企业集体资本金,化学纤维制造业外商及港澳台商投资工业企业集体资本金,橡胶制品业外商及港澳台商投资工业企业集体资本金,塑料制品业外商及港澳台商投资工业企业集体资本金,非金属矿物制品业外商及港澳台商投资工业企业集体资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,金属制品业外商及港澳台商投资工业企业集体资本金,通用设备制造业外商及港澳台商投资工业企业集体资本金,专用设备制造业外商及港澳台商投资工业企业集体资本金,交通运输设备制造业外商及港澳台商投资工业企业集体资本金,电气机械及器材制造业外商及港澳台商投资工业企业集体资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业集体资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业集体资本金,工艺品及其他制造业外商及港澳台商投资工业企业集体资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业集体资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业集体资本金,燃气生产和供应业外商及港澳台商投资工业企业集体资本金,水的生产和供应业外商及港澳台商投资工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,246.6935,0.298,,0.16854,1.80102,0.52044,,18.00535,3.80819,13.06607,,9.36903,3.91611,1.84719,1.88023,1.57745,14.60024,6.9879,1.79588,2.46646,16.35032,5.02377,5.33598,2.03699,8.13342,9.7678,6.73421,4.40975,9.56533,9.00962,2.49336,18.28821,24.41427,8.05213,3.06023,1.38587,0.90901,27.73542,1.18475,0.69496
2010,235.17373,0.213,,0.14,6.30473,0.52243,,18.62668,5.28104,10.17828,,8.07624,5.16214,2.07137,2.8372,3.99908,11.81025,5.78907,2.31847,0.70189,13.85626,4.8267,2.4217,1.07454,8.71666,11.45711,2.47337,3.11155,10.76069,9.97673,4.36645,15.19443,28.6392,12.53521,2.00164,2.11878,0.54013,15.05462,1.25471,0.76138
2009,223.02244,0.3464,,0.143,1.33783,0.79901,,14.18389,4.78068,4.85769,,12.80157,5.31943,4.70834,1.67259,1.53825,7.00028,4.71694,1.60025,1.99262,7.86063,6.78454,4.22645,4.25793,8.02458,11.34773,4.6732,4.99221,8.82835,7.70895,4.1274,12.08233,31.37019,15.45182,1.53618,0.91701,0.6543,17.54398,2.79499,0.0409
2008,252.73766,7.90835,,0.23245,1.33782,1.12017,,20.35654,3.70694,5.90191,,17.76997,8.75249,4.60561,1.31683,2.6847,9.96308,5.47782,1.89074,2.13035,17.77003,6.53988,2.6926,2.1001,16.14925,13.72921,4.47483,2.65258,10.70472,13.80558,3.19148,14.9772,17.18236,9.82558,3.81931,1.70388,0.37859,12.92155,2.51745,0.44571
