年份,外商及港澳台商投资工业企业产成品,煤炭开采和洗选业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,开采辅助活动外商及港澳台商投资工业企业产成品,其他采矿业外商及港澳台商投资工业企业产成品,农副食品加工业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,酒、饮料和精制茶制造业外商及港澳台商投资工业企业产成品,烟草制品业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,纺织服装、服饰业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业产成品,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,造纸和纸制品业外商及港澳台商投资工业企业产成品,印刷和记录媒介复制业外商及港澳台商投资工业企业产成品,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业产成品,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业产成品,化学原料和化学制品制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,橡胶和塑料制品业外商及港澳台商投资工业企业产成品,非金属矿物制品业外商及港澳台商投资工业企业产成品,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业产成品,有色金属冶炼和压延加工业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,通用设备制造业外商及港澳台商投资工业企业产成品,专用设备制造业外商及港澳台商投资工业企业产成品,汽车制造业外商及港澳台商投资工业企业产成品,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业产成品,电气机械和器材制造业外商及港澳台商投资工业企业产成品,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业产成品,仪器仪表制造业外商及港澳台商投资工业企业产成品,其他制造业外商及港澳台商投资工业企业产成品,废弃资源综合利用业外商及港澳台商投资工业企业产成品,金属制品、机械和设备修理业外商及港澳台商投资工业企业产成品,电力、热力生产和供应业外商及港澳台商投资工业企业产成品,燃气生产和供应业外商及港澳台商投资工业企业产成品,水的生产和供应业外商及港澳台商投资工业企业产成品
2019,9880.4,24.56,6.64,4.44,4.66,2.87,0.41,,428.18,233.03,116.46,,278.1,266.66,116.95,40.8,78.56,140.3,58.26,420.57,91.72,658.31,522.48,99.45,346.84,255.86,170.14,184.17,328.44,761.28,452.16,1142.39,142.27,688.43,1619.48,114.39,31.11,12.87,5.3,13.06,17.78,0.78
2018,10306.37,11.2,4.2,7.8,3.7,3.7,0.3,,465.6,200.6,121.3,0.3,294.2,324.8,130.3,51.0,71.2,188.3,55.3,429.9,106.8,701.8,511.2,101.4,361.2,285.4,231.5,170.6,287.9,707.5,452.1,1201.8,99.7,670.1,2011.4,116.0,24.8,16.0,3.2,3.7,9.1,0.6
2017,9695.96,16.06,3.5,12.17,4.16,3.57,0.46,,467.7,197.18,117.99,0.23,271.95,306.8,139.59,52.26,77.38,181.34,56.18,367.65,102.69,637.37,442.1,91.21,344.07,276.96,238.46,190.4,271.96,654.49,390.18,1162.48,101.94,646.25,1660.67,114.71,26.24,13.34,4.7,33.84,15.01,0.7
2016,8829.74,9.9,2.57,10.42,5.98,3.54,1.06,,409.05,191.83,106.61,0.67,284.34,330.32,140.04,53.45,76.5,127.27,55.22,317.82,96.06,614.74,370.32,94.43,308.17,269.64,213.8,176.85,268.43,573.08,332.54,1000.51,92.5,593.64,1503.48,103.46,24.29,13.21,5.43,32.78,15.03,0.76
2015,8933.78,20.3,2.49,8.96,6.88,4.97,1.44,0.0,387.17,184.44,108.4,0.44,306.03,329.77,158.45,59.31,83.95,149.76,61.56,278.05,88.8,659.34,381.31,132.63,323.12,288.79,216.2,175.54,269.3,579.43,358.42,877.6,109.95,602.03,1514.12,109.39,25.15,16.37,10.68,29.42,12.59,1.26
2014,9022.99,25.16,6.17,7.89,6.19,4.77,0.97,0.0,398.25,191.2,122.72,0.03,329.28,340.58,163.11,60.96,86.23,147.09,57.63,283.51,112.08,686.83,339.59,124.46,350.92,289.8,257.32,175.05,275.72,579.26,409.16,929.52,88.19,651.85,1325.52,103.16,24.19,22.41,7.53,25.02,12.6,1.08
2013,8389.87,55.62,5.67,4.72,6.57,4.25,1.62,0.0,423.29,184.11,116.8,0.01,316.11,354.25,141.57,53.73,80.71,143.11,52.43,263.51,117.55,630.59,278.57,120.0,340.45,272.75,288.61,165.1,250.45,541.07,396.08,755.8,105.21,599.94,1132.28,92.5,23.23,46.32,6.77,4.82,13.48,0.26
2012,8199.57712,13.87528,6.98138,6.2795,2.23763,3.52869,1.78511,,416.59974,186.88984,125.46009,0.01894,317.87936,350.73747,142.37953,52.5874,72.14085,148.52732,48.96822,213.56517,119.35289,634.19427,264.52226,106.5154,345.80049,260.37461,276.78284,172.10734,262.20887,533.09337,432.21915,659.63269,103.37573,604.07533,1118.87992,94.19222,20.38668,60.5221,6.46391,2.40763,11.68801,0.33989
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
