年份,大中型工业企业产成品,煤炭采选业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,其他矿采选业大中型工业企业产成品,木材及竹材采运业大中型工业企业产成品,食品加工业大中型工业企业产成品,食品制造业大中型工业企业产成品,饮料制造业大中型工业企业产成品,烟草加工业大中型工业企业产成品,纺织业大中型工业企业产成品,服装及其他纤维制品制造业大中型工业企业产成品,皮革、毛皮、羽绒及其制品业大中型工业企业产成品,木材加工及竹、藤、棕、草制品业大中型工业企业产成品,家具制造业大中型工业企业产成品,造纸及纸制品业大中型工业企业产成品,印刷业、记录媒介的复制大中型工业企业产成品,文教体育用品制造业大中型工业企业产成品,石油加工及炼焦业大中型工业企业产成品,化学原料及化学制品制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,橡胶制品业大中型工业企业产成品,塑料制品业大中型工业企业产成品,非金属矿物制造业大中型工业企业产成品,黑色金属冶炼及压延加工业大中型工业企业产成品,有色金属冶炼及压延加工业大中型工业企业产成品,金属制品业大中型工业企业产成品,普通机械制造业大中型工业企业产成品,专用设备制造业大中型工业企业产成品,交通运输设备制造业大中型工业企业产成品,电气机械及器材制造业大中型工业企业产成品,电子及通信设备制造业大中型工业企业产成品,仪器仪表及文化办公用机械制造业大中型工业企业产成品,其它制造业大中型工业企业产成品,电力、蒸汽、热水的生产和供应业大中型工业企业产成品,煤气生产和供应业大中型工业企业产成品,自来水的生产和供应业大中型工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3995.82449,62.95317,38.14033,5.93615,11.98524,19.88878,0.01335,11.4876,125.53194,54.5964,104.62851,42.61844,287.67944,64.82332,35.78033,19.47748,7.27992,94.50591,22.76621,14.1108,109.81891,267.35288,144.45505,40.81516,68.78384,62.39441,178.80359,215.2114,97.22326,87.03945,293.67754,193.02152,419.87948,321.35497,360.48684,47.89412,23.02511,10.80308,3.3313,2.48124
2001,3941.90333,65.89997,42.97149,5.03276,13.75567,20.56148,0.01327,11.75705,126.52897,50.50329,99.59611,32.2554,329.28895,68.39345,42.46885,21.18808,8.34841,92.52136,19.28961,11.44221,109.84803,259.95135,131.94454,52.52771,72.13924,55.94219,186.79522,222.31719,110.3168,91.98374,255.06452,186.30213,364.88315,332.37378,340.85701,43.27276,21.11308,8.9864,3.65819,1.63052
2000,3614.85864,74.78531,34.10162,5.60696,13.35499,18.95452,0.02858,13.41834,96.67451,39.86988,95.88615,15.62991,298.07106,53.97766,34.54247,18.48198,6.53636,76.48919,16.32674,8.34277,127.08342,262.39822,113.65178,52.82423,69.67658,50.35522,166.5531,209.28201,93.10038,75.16392,247.86514,186.3718,322.63854,279.99954,323.85465,35.4363,20.3807,18.41621,7.34298,1.1761
