年份,大中型工业企业负债合计,煤炭采选业大中型工业企业负债合计,石油和天然气开采业大中型工业企业负债合计,黑色金属矿采选业大中型工业企业负债合计,有色金属矿采选业大中型工业企业负债合计,非金属矿采选业大中型工业企业负债合计,其他矿采选业大中型工业企业负债合计,木材及竹材采运业大中型工业企业负债合计,食品加工业大中型工业企业负债合计,食品制造业大中型工业企业负债合计,饮料制造业大中型工业企业负债合计,烟草加工业大中型工业企业负债合计,纺织业大中型工业企业负债合计,服装及其他纤维制品制造业大中型工业企业负债合计,皮革、毛皮、羽绒及其制品业大中型工业企业负债合计,木材加工及竹、藤、棕、草制品业大中型工业企业负债合计,家具制造业大中型工业企业负债合计,造纸及纸制品业大中型工业企业负债合计,印刷业、记录媒介的复制大中型工业企业负债合计,文教体育用品制造业大中型工业企业负债合计,石油加工及炼焦业大中型工业企业负债合计,化学原料及化学制品制造业大中型工业企业负债合计,医药制造业大中型工业企业负债合计,化学纤维制造业大中型工业企业负债合计,橡胶制品业大中型工业企业负债合计,塑料制品业大中型工业企业负债合计,非金属矿物制造业大中型工业企业负债合计,黑色金属冶炼及压延加工业大中型工业企业负债合计,有色金属冶炼及压延加工业大中型工业企业负债合计,金属制品业大中型工业企业负债合计,普通机械制造业大中型工业企业负债合计,专用设备制造业大中型工业企业负债合计,交通运输设备制造业大中型工业企业负债合计,电气机械及器材制造业大中型工业企业负债合计,电子及通信设备制造业大中型工业企业负债合计,仪器仪表及文化办公用机械制造业大中型工业企业负债合计,其它制造业大中型工业企业负债合计,电力、蒸汽、热水的生产和供应业大中型工业企业负债合计,煤气生产和供应业大中型工业企业负债合计,自来水的生产和供应业大中型工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,59873.02,2311.26166,1533.70229,99.03802,210.72473,293.9252,0.15803,226.4281,1135.16073,668.45672,1160.64646,1078.68733,2406.32729,394.04457,248.83963,222.43054,60.86324,1264.46696,273.09011,96.9507,1806.66743,4094.67523,1358.34646,734.47689,517.06592,623.11091,2194.37483,4580.30847,1623.92569,701.75579,2260.08108,1464.732,4997.23657,2288.41142,4278.54761,412.02027,138.36312,10922.32912,236.33731,462.44741
2001,56338.65,2232.07561,1488.61445,81.84306,205.99376,244.22552,0.16078,222.12464,1063.00635,577.32883,1130.17296,1092.94122,2347.15837,380.51115,235.148,210.51578,63.71723,1218.65253,275.2842,82.59243,1897.66214,4005.64075,1250.07545,766.31879,524.86873,566.54093,2144.44272,4317.87014,1539.15748,680.33283,2132.47703,1380.54454,4505.13499,2203.9531,3762.35571,403.74218,130.36309,9898.37667,192.93469,395.8903
2000,52083.87,2099.61532,1607.63795,84.56474,195.97803,276.93352,0.1642,226.44533,1040.76908,512.54594,1119.15255,741.04517,2374.30768,327.46552,217.23368,193.81889,53.31064,895.3366,234.14972,87.00609,1858.81858,3912.28261,1056.49658,832.68112,493.65343,502.18749,1991.20861,4338.75905,1402.81401,595.97839,2081.39182,1418.99838,4098.62633,1979.12988,3000.19226,346.17394,110.80244,8717.98638,200.13021,343.94171
