年份,大中型工业企业资产总计,煤炭采选业大中型工业企业资产总计,石油和天然气开采业大中型工业企业资产总计,黑色金属矿采选业大中型工业企业资产总计,有色金属矿采选业大中型工业企业资产总计,非金属矿采选业大中型工业企业资产总计,其他矿采选业大中型工业企业资产总计,木材及竹材采运业大中型工业企业资产总计,食品加工业大中型工业企业资产总计,食品制造业大中型工业企业资产总计,饮料制造业大中型工业企业资产总计,烟草加工业大中型工业企业资产总计,纺织业大中型工业企业资产总计,服装及其他纤维制品制造业大中型工业企业资产总计,皮革、毛皮、羽绒及其制品业大中型工业企业资产总计,木材加工及竹、藤、棕、草制品业大中型工业企业资产总计,家具制造业大中型工业企业资产总计,造纸及纸制品业大中型工业企业资产总计,印刷业、记录媒介的复制大中型工业企业资产总计,文教体育用品制造业大中型工业企业资产总计,石油加工及炼焦业大中型工业企业资产总计,化学原料及化学制品制造业大中型工业企业资产总计,医药制造业大中型工业企业资产总计,化学纤维制造业大中型工业企业资产总计,橡胶制品业大中型工业企业资产总计,塑料制品业大中型工业企业资产总计,非金属矿物制造业大中型工业企业资产总计,黑色金属冶炼及压延加工业大中型工业企业资产总计,有色金属冶炼及压延加工业大中型工业企业资产总计,金属制品业大中型工业企业资产总计,普通机械制造业大中型工业企业资产总计,专用设备制造业大中型工业企业资产总计,交通运输设备制造业大中型工业企业资产总计,电气机械及器材制造业大中型工业企业资产总计,电子及通信设备制造业大中型工业企业资产总计,仪器仪表及文化办公用机械制造业大中型工业企业资产总计,其它制造业大中型工业企业资产总计,电力、蒸汽、热水的生产和供应业大中型工业企业资产总计,煤气生产和供应业大中型工业企业资产总计,自来水的生产和供应业大中型工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,103516.44,4153.43596,4302.09337,247.92483,329.17283,500.90082,0.28021,324.94787,1750.53225,1168.25318,2222.29826,2406.73964,3644.68054,717.61598,370.46001,349.12656,116.46828,1957.15874,569.79741,191.34722,3167.14935,6995.72492,2551.02627,1250.37186,823.1149,1102.42045,3581.63598,8439.62671,2564.01495,1130.01781,3529.38868,2227.77103,8172.37934,3850.36621,7405.84035,684.60663,232.78179,17957.94791,544.90995,1273.83021
2001,97372.22,3587.77818,4060.69757,219.08946,331.2261,487.71073,0.28295,320.28435,1602.55957,992.54978,2136.71884,2259.92883,3534.34563,687.56249,351.14523,326.31641,116.99882,1880.16322,537.5593,170.15635,3317.95033,6596.66645,2299.37576,1302.49234,793.58888,969.88062,3465.4749,8781.45616,2425.71572,1091.6054,3357.88392,2107.33984,7416.46247,3682.5609,6613.48014,659.8086,223.15716,16391.01598,489.47614,1104.58669
2000,87309.83,3254.9018,4018.08694,223.38684,319.78561,448.90377,0.28638,321.20285,1470.61204,854.09162,1967.97805,1746.52097,3408.0943,569.83671,300.60638,287.60968,95.96169,1389.36234,457.51363,161.86754,3142.9828,6137.48284,1871.2581,1465.279,722.91934,818.68807,3121.55586,8004.904,2160.35881,898.38637,3262.51843,2160.30195,6573.0181,3174.50231,5054.93533,541.23705,169.87081,14534.79826,481.66653,1009.09212
