年份,大中型工业企业集体资本金,煤炭采选业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,其他矿采选业大中型工业企业集体资本金,木材及竹材采运业大中型工业企业集体资本金,食品加工业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,饮料制造业大中型工业企业集体资本金,烟草加工业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,服装及其他纤维制品制造业大中型工业企业集体资本金,皮革、毛皮、羽绒及其制品业大中型工业企业集体资本金,木材加工及竹、藤、棕、草制品业大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,造纸及纸制品业大中型工业企业集体资本金,印刷业、记录媒介的复制大中型工业企业集体资本金,文教体育用品制造业大中型工业企业集体资本金,石油加工及炼焦业大中型工业企业集体资本金,化学原料及化学制品制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,橡胶制品业大中型工业企业集体资本金,塑料制品业大中型工业企业集体资本金,非金属矿物制造业大中型工业企业集体资本金,黑色金属冶炼及压延加工业大中型工业企业集体资本金,有色金属冶炼及压延加工业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,普通机械制造业大中型工业企业集体资本金,专用设备制造业大中型工业企业集体资本金,交通运输设备制造业大中型工业企业集体资本金,电气机械及器材制造业大中型工业企业集体资本金,电子及通信设备制造业大中型工业企业集体资本金,仪器仪表及文化办公用机械制造业大中型工业企业集体资本金,其它制造业大中型工业企业集体资本金,电力、蒸汽、热水的生产和供应业大中型工业企业集体资本金,煤气生产和供应业大中型工业企业集体资本金,自来水的生产和供应业大中型工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,822.20018,9.8239,,1.58019,4.6269,1.99993,,0.036,37.4687,20.69669,10.3376,1.29613,87.21789,31.70845,6.3469,6.1139,3.23961,18.26769,9.42204,2.88105,6.27209,65.28611,24.4695,13.2027,8.22435,27.90784,53.89182,47.83975,16.05957,30.96402,29.78029,27.74971,77.52957,67.42549,26.60786,2.962,10.41224,30.0683,0.81897,1.66443
2001,836.26238,5.85095,0.52271,1.21984,4.8835,4.1698,,0.0392,32.7722,22.13545,10.06006,1.27229,93.62737,30.97473,8.42539,6.27178,4.51037,18.15939,9.67483,3.19877,5.46791,60.84866,22.54816,26.28422,8.98217,30.56974,57.11268,46.46357,15.26136,35.13998,32.46017,30.95739,42.77611,79.58895,32.64707,4.37905,10.37918,33.70557,0.54533,2.25018
2000,907.50093,1.46766,0.01582,0.88961,3.92376,5.78778,,0.03835,33.51801,16.06153,11.63676,2.19681,109.76991,31.4016,11.83375,5.74668,7.20584,20.2187,12.85849,4.42013,5.65673,50.12727,18.49383,24.2471,9.62801,36.38301,61.25462,41.93913,27.28193,35.96571,40.31315,44.1087,51.71092,101.11943,27.57822,7.42042,13.2701,27.38033,0.045,4.45583
