年份,大中型工业企业利息支出,煤炭开采和洗选业大中型工业企业利息支出,石油和天然气开采业大中型工业企业利息支出,黑色金属矿采选业大中型工业企业利息支出,有色金属矿采选业大中型工业企业利息支出,非金属矿采选业大中型工业企业利息支出,其他采矿业大中型工业企业利息支出,农副食品加工业大中型工业企业利息支出,食品制造业大中型工业企业利息支出,饮料制造业大中型工业企业利息支出,烟草制品业大中型工业企业利息支出,纺织业大中型工业企业利息支出,纺织服装、鞋、帽制造业大中型工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业利息支出,木材加工及木、竹、藤、棕、草制品业大中型工业企业利息支出,家具制造业大中型工业企业利息支出,造纸及纸制品业大中型工业企业利息支出,印刷业和记录媒介的复制大中型工业企业利息支出,文教体育用品制造业大中型工业企业利息支出,石油加工、炼焦及核燃料加工业大中型工业企业利息支出,化学原料及化学制品制造业大中型工业企业利息支出,医药制造业大中型工业企业利息支出,化学纤维制造业大中型工业企业利息支出,橡胶制品业大中型工业企业利息支出,塑料制品业大中型工业企业利息支出,非金属矿物制品业大中型工业企业利息支出,黑色金属冶炼及压延加工业大中型工业企业利息支出,有色金属冶炼及压延加工业大中型工业企业利息支出,金属制品业大中型工业企业利息支出,通用设备制造业大中型工业企业利息支出,专用设备制造业大中型工业企业利息支出,交通运输设备制造业大中型工业企业利息支出,电气机械及器材制造业大中型工业企业利息支出,通信设备、计算机及其他电子设备制造大中型工业企业利息支出,仪器仪表及文化、办公用机械制造业大中型工业企业利息支出,工艺品及其他制造业大中型工业企业利息支出,废弃资源和废旧材料回收加工业大中型工业企业利息支出,电力、热力的生产和供应业大中型工业企业利息支出,燃气生产和供应业大中型工业企业利息支出,水的生产和供应业大中型工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6618.67129,412.45539,131.15529,54.09847,24.69618,12.55083,,197.99392,52.44666,55.76722,9.90042,247.43105,57.20598,45.552,25.42436,20.62808,131.62585,13.1759,9.94665,245.2989,471.34334,87.30014,77.93991,61.63653,51.86119,271.54533,810.4903,357.70989,92.65816,182.61544,146.66092,367.65791,315.20131,202.74498,31.80564,28.62279,6.00291,1240.97325,17.81902,48.72918
2010,4400.94726,277.05435,36.49596,30.16873,18.12322,7.65656,0.007,124.30087,35.78034,33.55742,-1.86574,175.60777,34.35327,25.47357,18.26649,12.744,95.84925,7.47318,6.68574,165.58662,318.9643,61.40413,52.58584,40.59685,35.8105,176.92602,548.02957,242.13711,61.84398,105.99,83.12638,168.55024,182.98818,90.00133,16.36303,17.72197,3.38688,1037.44302,13.94331,39.81602
2009,3716.98891,215.62166,35.48872,17.12499,14.12822,8.22629,,94.75029,37.80465,29.24389,2.95116,148.3105,29.49677,21.20077,15.34975,10.27437,80.908,6.68672,6.85702,134.87952,258.32432,60.18564,47.36598,39.21142,32.86311,142.05958,437.44063,173.81172,59.81758,83.3404,69.312,157.28833,130.74638,102.51997,14.65641,13.3792,1.60948,938.49731,9.00739,36.24877
2008,4010.7698,189.82441,44.25011,18.73074,13.54774,7.20953,,101.50753,41.24626,36.75394,-1.87049,177.86158,32.10517,21.34231,16.71694,11.65953,100.0889,9.08706,7.65614,178.71019,258.20891,66.01822,61.46947,46.1739,39.76065,153.95835,519.43459,178.58856,60.33003,87.77505,76.91,158.9325,158.82661,151.54078,14.66045,14.62165,1.62853,910.75279,11.49424,33.25693
2007,2973.23474,120.34212,44.91026,13.56991,10.75359,4.73071,,75.80962,34.08339,27.56987,5.5282,151.31671,27.58668,17.83853,13.86235,10.20223,81.93231,7.53845,5.6308,106.66774,203.13433,54.44119,55.96615,34.76312,31.51883,120.65961,364.85246,129.36342,45.41836,66.00506,53.30931,116.17564,114.343,123.78212,9.87211,11.1803,0.20117,640.13102,8.13808,30.10599
2006,2308.03036,80.20278,23.9494,8.21397,7.5808,4.36899,,53.57955,25.11126,22.11533,10.83834,122.22874,21.2706,13.63151,8.89729,6.37556,66.72053,7.08097,4.49395,80.4654,167.24616,45.01478,39.41426,26.45192,27.96015,99.54829,257.44393,100.07204,31.10361,53.10871,42.54742,98.18213,82.14614,102.5543,7.20539,8.83855,0.22853,522.62421,3.74557,25.4693
