年份,大中型工业企业法人资本金,煤炭开采和洗选业大中型工业企业法人资本金,石油和天然气开采业大中型工业企业法人资本金,黑色金属矿采选业大中型工业企业法人资本金,有色金属矿采选业大中型工业企业法人资本金,非金属矿采选业大中型工业企业法人资本金,其他采矿业大中型工业企业法人资本金,农副食品加工业大中型工业企业法人资本金,食品制造业大中型工业企业法人资本金,饮料制造业大中型工业企业法人资本金,烟草制品业大中型工业企业法人资本金,纺织业大中型工业企业法人资本金,纺织服装、鞋、帽制造业大中型工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业法人资本金,家具制造业大中型工业企业法人资本金,造纸及纸制品业大中型工业企业法人资本金,印刷业和记录媒介的复制大中型工业企业法人资本金,文教体育用品制造业大中型工业企业法人资本金,石油加工、炼焦及核燃料加工业大中型工业企业法人资本金,化学原料及化学制品制造业大中型工业企业法人资本金,医药制造业大中型工业企业法人资本金,化学纤维制造业大中型工业企业法人资本金,橡胶制品业大中型工业企业法人资本金,塑料制品业大中型工业企业法人资本金,非金属矿物制品业大中型工业企业法人资本金,黑色金属冶炼及压延加工业大中型工业企业法人资本金,有色金属冶炼及压延加工业大中型工业企业法人资本金,金属制品业大中型工业企业法人资本金,通用设备制造业大中型工业企业法人资本金,专用设备制造业大中型工业企业法人资本金,交通运输设备制造业大中型工业企业法人资本金,电气机械及器材制造业大中型工业企业法人资本金,通信设备、计算机及其他电子设备制造大中型工业企业法人资本金,仪器仪表及文化、办公用机械制造业大中型工业企业法人资本金,工艺品及其他制造业大中型工业企业法人资本金,废弃资源和废旧材料回收加工业大中型工业企业法人资本金,电力、热力的生产和供应业大中型工业企业法人资本金,燃气生产和供应业大中型工业企业法人资本金,水的生产和供应业大中型工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,37854.42433,2078.60608,2678.03885,300.51918,196.02661,65.88791,,578.62132,456.59599,435.59569,688.39026,749.87716,299.79562,148.74723,100.61573,87.23129,534.29467,148.28645,48.88241,1780.47757,2805.99309,648.27864,275.05662,166.09718,267.31315,1591.93234,2972.04905,1337.28313,404.50213,1082.22879,922.00016,3437.09382,1712.65529,2190.14697,191.12414,152.45951,17.12044,5834.01669,177.11866,293.46451
2010,32082.87568,1834.70873,2529.55324,301.13308,191.14704,43.01133,,452.58447,292.47788,378.51708,622.14944,588.44393,218.04995,90.24351,87.35242,58.84245,499.37243,117.12748,35.94544,1310.83809,2665.2154,549.72391,262.99607,141.02234,212.55379,1194.01244,2442.57638,1170.8811,290.28396,924.61932,815.27251,2764.92308,1227.38183,1655.17065,203.6258,76.47709,13.20686,5397.85609,177.37295,246.20612
2009,27183.96496,1381.88197,1943.34599,138.12046,133.75826,54.81048,,401.60557,282.94835,285.07834,609.50068,531.15256,193.11802,94.05515,60.84499,41.97965,450.05262,114.26374,39.21522,1202.14993,2172.48771,484.15911,284.6907,126.44918,185.6264,983.09238,2438.95158,989.5698,293.25724,842.27953,578.40958,2467.90577,920.01265,1292.99149,162.08739,64.55359,9.1219,4601.70596,159.9958,168.73522
2008,23627.80792,912.93457,2222.37453,175.76132,103.634,53.08553,,352.40904,208.49139,261.46794,558.91003,487.16467,171.19451,73.59197,67.53353,41.68428,386.25529,112.5686,22.58738,1349.34513,1731.24327,399.42128,269.73123,107.03586,154.42757,859.44865,1699.50539,790.78505,244.91673,628.16911,616.65534,2227.22723,762.26533,1211.89215,160.14972,50.08362,10.46306,3841.43178,141.60996,160.35188
2007,19373.58304,779.41874,1847.86354,144.66291,105.28451,35.64505,,284.78001,182.73093,229.57735,362.39545,443.10404,149.19011,64.29453,47.11744,35.89282,285.43844,80.67191,20.95419,940.30638,1670.94765,383.77829,317.60401,106.13132,140.00879,727.85027,1237.75635,597.51544,180.02226,488.59313,365.64457,1720.7144,538.81449,720.50983,87.99356,48.49888,1.01888,3789.07784,70.87921,140.89552
