年份,大中型工业企业资产总计,煤炭开采和洗选业大中型工业企业资产总计,石油和天然气开采业大中型工业企业资产总计,黑色金属矿采选业大中型工业企业资产总计,有色金属矿采选业大中型工业企业资产总计,非金属矿采选业大中型工业企业资产总计,其他采矿业大中型工业企业资产总计,农副食品加工业大中型工业企业资产总计,食品制造业大中型工业企业资产总计,饮料制造业大中型工业企业资产总计,烟草制品业大中型工业企业资产总计,纺织业大中型工业企业资产总计,纺织服装、鞋、帽制造业大中型工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业资产总计,木材加工及木、竹、藤、棕、草制品业大中型工业企业资产总计,家具制造业大中型工业企业资产总计,造纸及纸制品业大中型工业企业资产总计,印刷业和记录媒介的复制大中型工业企业资产总计,文教体育用品制造业大中型工业企业资产总计,石油加工、炼焦及核燃料加工业大中型工业企业资产总计,化学原料及化学制品制造业大中型工业企业资产总计,医药制造业大中型工业企业资产总计,化学纤维制造业大中型工业企业资产总计,橡胶制品业大中型工业企业资产总计,塑料制品业大中型工业企业资产总计,非金属矿物制品业大中型工业企业资产总计,黑色金属冶炼及压延加工业大中型工业企业资产总计,有色金属冶炼及压延加工业大中型工业企业资产总计,金属制品业大中型工业企业资产总计,通用设备制造业大中型工业企业资产总计,专用设备制造业大中型工业企业资产总计,交通运输设备制造业大中型工业企业资产总计,电气机械及器材制造业大中型工业企业资产总计,通信设备、计算机及其他电子设备制造大中型工业企业资产总计,仪器仪表及文化、办公用机械制造业大中型工业企业资产总计,工艺品及其他制造业大中型工业企业资产总计,废弃资源和废旧材料回收加工业大中型工业企业资产总计,电力、热力的生产和供应业大中型工业企业资产总计,燃气生产和供应业大中型工业企业资产总计,水的生产和供应业大中型工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,505940.96,33960.50964,18418.84837,5241.17375,2270.43456,1056.71309,0.09567,10740.4877,5519.62732,6959.39723,5926.39517,12591.55346,5182.38428,2892.94263,1369.7613,1716.85622,7857.91501,1552.56776,1132.52857,17093.26867,30213.68888,9248.59046,4150.35944,3670.32899,4256.3909,16915.76519,46849.1563,18746.97659,7225.6253,18673.10182,15338.79652,46888.8024,27166.88119,36576.54242,4182.61859,2430.40049,520.8525,65283.097,2109.90084,4009.62623
2010,427451.55,25961.48595,16051.50223,4265.621,1963.35514,729.84478,2.46,8353.50488,4290.29911,5433.44686,5417.43039,10915.04515,3953.67307,2420.43929,1132.66582,1327.62154,6494.72034,1309.08415,967.8983,14043.7836,25180.32466,7449.80638,3340.58946,2969.34587,3635.45552,13575.1239,41209.39539,15973.41697,5883.82532,15607.93434,12389.00596,40550.16013,21686.61009,32505.68568,3241.29558,1689.23333,310.07811,59784.58218,1858.34915,3577.45018
2009,351080.51,20380.02249,14208.59661,1910.92065,1570.9719,615.05053,,6418.95037,3597.7589,4520.37851,4860.77162,9268.15864,3175.6597,1933.50801,958.43078,992.35122,5386.12495,1165.30243,871.65848,11533.54821,20061.67081,6066.17067,2606.36429,2458.54206,2907.94049,10932.99475,37149.35221,12881.01557,4694.41644,12681.15404,9360.7312,31421.02632,15889.17059,25182.94812,2549.02454,1333.20283,178.50722,53940.60698,2303.26311,3114.24581
2008,305328.84,16693.94239,12252.37873,1976.18375,1439.35346,535.55883,,5191.00489,3020.30583,4011.97819,4339.57497,8766.79195,3001.7703,1727.33725,952.64264,944.59484,5062.30733,1105.74494,838.21176,10440.68414,17421.65695,5042.15694,2559.91983,2316.5364,2763.29824,9505.588,31676.84575,10965.98157,4125.58998,11008.12309,8200.61062,25540.90455,13591.12008,22631.98693,2286.2817,1151.7514,152.38265,48004.86279,1337.56855,2745.30335
2007,257015.56,12158.42679,9477.72883,1276.25467,1196.51759,422.92626,,4311.2871,2714.10179,3362.59928,3697.11688,8398.6148,2520.35834,1575.80805,784.19818,932.91538,4211.70117,1009.15688,740.53958,8382.52508,14617.20823,4483.77367,2689.9735,2008.78874,2453.69493,7695.18332,26356.38181,9006.0069,3445.17443,8969.87857,6318.6937,20884.99329,11130.5283,20919.1103,1926.84534,1129.30535,36.43882,42130.73746,1080.42991,2559.63832
