年份,大中型工业企业法人资本金,煤炭开采和洗选业大中型工业企业法人资本金,石油和天然气开采业大中型工业企业法人资本金,黑色金属矿采选业大中型工业企业法人资本金,有色金属矿采选业大中型工业企业法人资本金,非金属矿采选业大中型工业企业法人资本金,开采辅助活动大中型工业企业法人资本金,其他采矿业大中型工业企业法人资本金,农副食品加工业大中型工业企业法人资本金,食品制造业大中型工业企业法人资本金,酒、饮料和精制茶制造业大中型工业企业法人资本金,烟草制品业大中型工业企业法人资本金,纺织业大中型工业企业法人资本金,纺织服装、服饰业大中型工业企业法人资本金,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业法人资本金,木材加工和木、竹、藤、棕、草制品业大中型工业企业法人资本金,家具制造业大中型工业企业法人资本金,造纸和纸制品业大中型工业企业法人资本金,印刷和记录媒介复制业大中型工业企业法人资本金,文教、工美、体育和娱乐用品制造业大中型工业企业法人资本金,石油加工、炼焦和核燃料加工业大中型工业企业法人资本金,化学原料和化学制品制造业大中型工业企业法人资本金,医药制造业大中型工业企业法人资本金,化学纤维制造业大中型工业企业法人资本金,橡胶和塑料制品业大中型工业企业法人资本金,非金属矿物制品业大中型工业企业法人资本金,黑色金属冶炼和压延加工业大中型工业企业法人资本金,有色金属冶炼和压延加工业大中型工业企业法人资本金,金属制品业大中型工业企业法人资本金,通用设备制造业大中型工业企业法人资本金,专用设备制造业大中型工业企业法人资本金,汽车制造业大中型工业企业法人资本金,铁路、船舶、航空航天和其他运输设备大中型工业企业法人资本金,电气机械和器材制造业大中型工业企业法人资本金,计算机、通信和其他电子设备制造业大中型工业企业法人资本金,仪器仪表制造业大中型工业企业法人资本金,其他制造业大中型工业企业法人资本金,废弃资源综合利用业大中型工业企业法人资本金,金属制品、机械和设备修理业大中型工业企业法人资本金,电力、热力生产和供应业大中型工业企业法人资本金,燃气生产和供应业大中型工业企业法人资本金,水的生产和供应业大中型工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,51725.13,1958.04,1951.82,184.91,244.97,98.71,587.54,,1232.7,794.45,559.23,425.13,832.67,817.39,238.58,159.52,184.61,901.68,247.53,279.73,1879.45,4288.4,1699.9,539.93,1001.57,1916.64,4199.9,2130.46,774.01,1402.83,1560.32,3425.9,923.55,3215.38,5928.51,298.77,57.94,29.73,108.51,3895.99,274.6,471.4
2016,49641.89,1819.64,1976.71,289.84,245.4,94.22,603.66,,1111.08,793.33,567.48,422.09,949.25,614.91,243.45,153.73,191.93,851.1,221.35,277.5,1763.54,4294.24,1510.45,504.54,726.09,2022.42,4075.15,1936.48,815.32,1424.05,1483.68,3236.81,789.07,2805.27,4677.93,271.48,46.52,51.37,97.36,4236.68,620.97,825.79
2015,44029.68,2000.21,1902.69,222.79,224.85,76.19,279.42,0.01,1077.91,774.73,571.65,567.54,944.65,575.72,238.48,145.15,163.64,839.39,254.38,227.11,1578.6,3758.21,1253.94,403.03,691.14,1894.96,3976.44,1930.04,746.29,1351.31,1196.31,2637.53,812.94,2484.46,3623.47,249.31,72.23,35.2,52.58,3285.81,253.02,656.32
2014,41179.19,1953.33,1714.42,400.14,229.86,68.54,471.68,0.01,1091.45,667.49,570.7,588.55,859.1,551.88,218.65,138.16,129.52,720.63,205.51,178.39,1759.34,3632.87,1023.55,354.54,583.31,1854.67,3643.74,1826.9,689.03,1302.51,1300.57,2412.69,924.51,2323.61,2715.57,237.82,43.85,25.06,42.68,2901.45,565.62,257.29
2013,39347.3,1770.92,1532.51,400.12,254.1,67.61,647.43,0.01,849.63,568.39,544.71,571.72,786.02,506.73,191.92,134.98,125.1,577.99,198.09,173.58,1752.29,3397.8,865.54,305.14,997.49,1762.01,3692.1,1584.03,653.58,1198.98,1280.71,2362.56,1066.55,1918.96,2022.37,221.23,78.2,18.66,38.24,3701.3,241.61,286.4
2012,39249.09,2031.39194,1535.03659,276.71105,229.82828,59.51332,335.5691,0.0148,711.67356,555.21915,506.55823,652.83749,823.36209,420.08334,190.48129,107.11046,97.58794,596.50342,180.8634,131.25576,1808.81855,3357.75668,803.98387,292.92925,470.15234,1753.75639,3431.37508,1450.22919,503.41723,1175.838,1269.98956,2311.97191,1277.86311,1921.6771,2359.76262,194.61739,67.39393,17.52714,35.89375,4823.56592,228.79235,250.17743
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
