年份,大中型工业企业管理费用,煤炭开采和洗选业大中型工业企业管理费用,石油和天然气开采业大中型工业企业管理费用,黑色金属矿采选业大中型工业企业管理费用,有色金属矿采选业大中型工业企业管理费用,非金属矿采选业大中型工业企业管理费用,开采辅助活动大中型工业企业管理费用,其他采矿业大中型工业企业管理费用,农副食品加工业大中型工业企业管理费用,食品制造业大中型工业企业管理费用,酒、饮料和精制茶制造业大中型工业企业管理费用,烟草制品业大中型工业企业管理费用,纺织业大中型工业企业管理费用,纺织服装、服饰业大中型工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业管理费用,木材加工和木、竹、藤、棕、草制品业大中型工业企业管理费用,家具制造业大中型工业企业管理费用,造纸和纸制品业大中型工业企业管理费用,印刷和记录媒介复制业大中型工业企业管理费用,文教、工美、体育和娱乐用品制造业大中型工业企业管理费用,石油加工、炼焦和核燃料加工业大中型工业企业管理费用,化学原料和化学制品制造业大中型工业企业管理费用,医药制造业大中型工业企业管理费用,化学纤维制造业大中型工业企业管理费用,橡胶和塑料制品业大中型工业企业管理费用,非金属矿物制品业大中型工业企业管理费用,黑色金属冶炼和压延加工业大中型工业企业管理费用,有色金属冶炼和压延加工业大中型工业企业管理费用,金属制品业大中型工业企业管理费用,通用设备制造业大中型工业企业管理费用,专用设备制造业大中型工业企业管理费用,汽车制造业大中型工业企业管理费用,铁路、船舶、航空航天和其他运输设备大中型工业企业管理费用,电气机械和器材制造业大中型工业企业管理费用,计算机、通信和其他电子设备制造业大中型工业企业管理费用,仪器仪表制造业大中型工业企业管理费用,其他制造业大中型工业企业管理费用,废弃资源综合利用业大中型工业企业管理费用,金属制品、机械和设备修理业大中型工业企业管理费用,电力、热力生产和供应业大中型工业企业管理费用,燃气生产和供应业大中型工业企业管理费用,水的生产和供应业大中型工业企业管理费用
2019,35067.1,1447.62,694.88,156.41,141.47,49.82,92.42,,497.27,584.94,503.35,484.5,536,464.96,321.71,75.08,249.46,356.32,201.3,349.84,930.91,1832.06,1621.3,255.09,667.14,1039.71,1727.29,906.22,818.7,1552.26,1264.46,3782,871.57,2499.47,6100.29,374.47,99.06,33.49,111.13,1075.44,135.64,161.51
2018,31955.49,1498.6,603.4,156.5,143.6,41.5,58.2,,479.5,495.4,478.9,466.8,492.6,502.6,313.4,81.3,229.4,317.6,178.5,310.8,876.3,1808.3,1513.8,197.9,599.3,866.6,1425.3,651.3,674.8,1339.9,1101.9,3532.6,604.4,2421.2,4977.8,360.2,41.5,31.5,69.6,446.5,119.7,148.6
2017,30767.35,1526.33,667.69,148.32,150.05,50.3,60.11,,584.15,503.86,491.13,436.38,548.24,524.33,327.29,126.79,233.11,307.12,180.61,319.2,838.67,1790.57,1346.98,204.77,640.3,918.49,1355.48,704.53,676.69,1345.74,1125.1,3436.19,826.26,2351.97,4703.33,394.42,89.58,28.33,66.25,483.51,111.34,143.16
2016,29838.9,1345.73,678.69,143.33,173.89,70.68,73.41,,685.99,511.51,533.72,449.0,571.4,566.79,351.67,147.53,209.76,288.09,174.71,316.7,773.28,1852.03,1251.85,178.97,637.2,919.69,1333.86,682.14,676.29,1366.02,1096.87,3176.98,841.34,2216.61,4191.59,364.56,84.99,23.71,71.76,567.65,100.91,137.2
2015,28369.95,1434.6,669.57,172.28,180.67,71.83,73.47,0.24,654.62,501.8,506.33,465.8,561,544.41,344.2,135.42,194.34,271.32,170.18,296.72,759.72,1752.2,1118.65,151.29,596.09,898.26,1339.23,653.4,677.88,1345.26,1062.16,2781.49,821.75,2051.24,3707.99,355.17,89.63,18.82,56.78,655.0,104.71,124.42
2014,27390.27,1724.32,773.04,207.79,179.48,70.1,73.12,0.45,613.85,455.58,503.69,427.64,535.28,514.22,331.14,130.55,180.53,254.18,152.87,272.77,769.96,1681.07,986.39,145.57,562.08,882.36,1410.76,658.51,632.65,1328.89,1017.22,2609.61,779.89,1891.94,3217.97,330.81,79.46,18.52,43.3,735.8,94.18,112.72
2013,26147.91,1941.78,812.59,223.34,187.68,72.8,91.08,0.62,659.12,430.07,470.84,422.5,525.14,503.23,316.9,130.13,171.51,243.93,139.91,247.47,820.03,1616.03,875.73,143.11,528.02,863.38,1480.51,645.28,611.29,1268.3,1003.09,2292.34,729.52,1785.43,2424.79,288.09,79.27,17.14,57.65,818.53,94.04,115.65
2012,24431.69449,2133.08128,710.84853,216.32628,172.44466,66.73882,86.00178,0.37419,576.10571,372.65493,426.59709,411.05443,474.1877,466.73213,312.84718,101.09827,139.57434,230.66472,123.29612,204.9794,728.09756,1444.81844,763.86507,126.68491,468.57119,769.23552,1438.73607,678.29043,552.35647,1165.493,918.688,1916.40991,715.16186,1574.27869,2564.73598,267.32702,74.78416,14.87113,54.59294,770.53392,91.38777,107.16689
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
