年份,大中型工业企业营业利润,煤炭开采和洗选业大中型工业企业营业利润,石油和天然气开采业大中型工业企业营业利润,黑色金属矿采选业大中型工业企业营业利润,有色金属矿采选业大中型工业企业营业利润,非金属矿采选业大中型工业企业营业利润,开采辅助活动大中型工业企业营业利润,其他采矿业大中型工业企业营业利润,农副食品加工业大中型工业企业营业利润,食品制造业大中型工业企业营业利润,酒、饮料和精制茶制造业大中型工业企业营业利润,烟草制品业大中型工业企业营业利润,纺织业大中型工业企业营业利润,纺织服装、服饰业大中型工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业营业利润,木材加工和木、竹、藤、棕、草制品业大中型工业企业营业利润,家具制造业大中型工业企业营业利润,造纸和纸制品业大中型工业企业营业利润,印刷和记录媒介复制业大中型工业企业营业利润,文教、工美、体育和娱乐用品制造业大中型工业企业营业利润,石油加工、炼焦和核燃料加工业大中型工业企业营业利润,化学原料和化学制品制造业大中型工业企业营业利润,医药制造业大中型工业企业营业利润,化学纤维制造业大中型工业企业营业利润,橡胶和塑料制品业大中型工业企业营业利润,非金属矿物制品业大中型工业企业营业利润,黑色金属冶炼和压延加工业大中型工业企业营业利润,有色金属冶炼和压延加工业大中型工业企业营业利润,金属制品业大中型工业企业营业利润,通用设备制造业大中型工业企业营业利润,专用设备制造业大中型工业企业营业利润,汽车制造业大中型工业企业营业利润,铁路、船舶、航空航天和其他运输设备大中型工业企业营业利润,电气机械和器材制造业大中型工业企业营业利润,计算机、通信和其他电子设备制造业大中型工业企业营业利润,仪器仪表制造业大中型工业企业营业利润,其他制造业大中型工业企业营业利润,废弃资源综合利用业大中型工业企业营业利润,金属制品、机械和设备修理业大中型工业企业营业利润,电力、热力生产和供应业大中型工业企业营业利润,燃气生产和供应业大中型工业企业营业利润,水的生产和供应业大中型工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,50259.33,2534.93,289.37,122.06,345.6,65.7,-114.03,,1398.42,1213.53,1517.41,901.73,1021.29,731.78,611.33,253.4,309.35,630.37,231.22,452.93,2119.2,3471.25,2524.11,327.9,868.7,1970.41,3158.27,1630.7,975.42,1669.15,1298.61,5844.68,649.82,3353.05,4772.24,542.98,87.95,103.18,26.35,2013.34,248.98,86.26
2016,44192.09,653.83,-576.1,267.88,246.85,100.76,-106.08,,1660.01,1426.29,1349.53,965.11,1256.74,888.59,667.36,282.33,295.23,463.79,226.37,546.99,1714.29,2777.37,2268.92,270.85,1071.29,1720.43,1261.27,1484.68,1107.84,1636.2,1044.41,5540.46,839.79,3701.64,3860.17,478.0,94.4,106.73,-6.11,2329.04,234.73,39.77
2015,39574.93,-41.63,641.87,305.62,225.71,114.55,-0.08,0.73,1571.59,1275.19,1280.79,1129.45,1258.47,845.4,660.32,259.77,264.67,416.68,246.27,480.41,601.86,2385.94,1938.36,182.92,984.87,1397.79,28.39,1048.39,1056.0,1629.88,956.83,4863.54,790.8,3135.95,3613.53,438.85,96.8,92.29,22.4,3134.05,203.54,36.21
2014,43199.12,922.73,3086.59,544.84,308.09,111.14,-0.58,0.63,1529.43,1187.0,1200.37,1162.98,1239.06,854.07,648.36,246.62,242.92,363.63,232.21,403.15,-89.49,2210.82,1677.76,182.16,962.47,1724.99,1258.45,1296.41,1007.38,1647.42,1111.02,5124.85,791.51,2907.01,3507.95,438.16,80.78,86.02,11.73,2765.31,179.24,33.9
2013,43636.37,2034.03,3639.36,649.49,344.87,119.35,-63.04,0.55,1589.87,1106.83,1257.9,1173.08,1211.02,810.77,599.09,244.01,216.7,409.16,211.18,384.2,403.74,2229.19,1435.61,180.65,955.14,1692.8,1412.06,1292.22,1067.73,1622.71,1228.22,4315.2,650.34,2637.58,2973.0,386.41,72.21,69.73,22.14,2845.71,183.18,22.37
2012,40294.64356,2990.82946,4040.51996,659.39606,453.49659,103.78916,-24.79178,1.16219,1552.40972,960.18579,1193.2233,1025.16434,1026.86865,735.48885,573.79632,201.50606,192.73891,382.85872,174.21539,318.23742,106.92914,2131.03225,1272.87102,166.48175,747.43951,1453.56546,1109.44052,1316.07895,972.70701,1497.60653,1174.034,3556.91887,659.46692,2319.32477,2726.93213,340.35848,68.62586,82.69243,24.62724,1850.58988,161.48665,-5.66092
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
