年份,私营工业企业利息支出,煤炭采选业私营工业企业利息支出,石油和天然气开采业私营工业企业利息支出,黑色金属矿采选业私营工业企业利息支出,有色金属矿采选业私营工业企业利息支出,非金属矿采选业私营工业企业利息支出,其他矿采选业私营工业企业利息支出,木材及竹材采运业私营工业企业利息支出,食品加工业私营工业企业利息支出,食品制造业私营工业企业利息支出,饮料制造业私营工业企业利息支出,烟草加工业私营工业企业利息支出,纺织业私营工业企业利息支出,服装及其他纤维制品制造业私营工业企业利息支出,皮革、毛皮、羽绒及其制品业私营工业企业利息支出,木材加工及竹、藤、棕、草制品业私营工业企业利息支出,家具制造业私营工业企业利息支出,造纸及纸制品业私营工业企业利息支出,印刷业、记录媒介的复制私营工业企业利息支出,文教体育用品制造业私营工业企业利息支出,石油加工及炼焦业私营工业企业利息支出,化学原料及化学制品制造业私营工业企业利息支出,医药制造业私营工业企业利息支出,化学纤维制造业私营工业企业利息支出,橡胶制品业私营工业企业利息支出,塑料制品业私营工业企业利息支出,非金属矿物制造业私营工业企业利息支出,黑色金属冶炼及压延加工业私营工业企业利息支出,有色金属冶炼及压延加工业私营工业企业利息支出,金属制品业私营工业企业利息支出,普通机械制造业私营工业企业利息支出,专用设备制造业私营工业企业利息支出,交通运输设备制造业私营工业企业利息支出,电气机械及器材制造业私营工业企业利息支出,电子及通信设备制造业私营工业企业利息支出,仪器仪表及文化办公用机械制造业私营工业企业利息支出,其它制造业私营工业企业利息支出,电力、蒸汽、热水的生产和供应业私营工业企业利息支出,煤气生产和供应业私营工业企业利息支出,自来水的生产和供应业私营工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,114.21319,1.00374,,0.68814,0.49007,0.52963,0.00316,,6.8903,2.76049,1.9239,0.00122,14.64552,3.95666,2.31062,2.88253,1.32082,4.06674,0.93035,1.05665,1.75747,7.14585,2.40246,0.81654,1.12367,4.1373,10.81953,4.59455,3.93875,6.01377,6.50695,2.93474,4.8396,6.75091,1.53978,0.58843,1.58541,0.98233,0.12047,0.15414
2001,87.05377,0.47967,,0.46074,0.37194,0.38676,0.00344,,5.48368,2.0816,1.94465,0.00664,10.64975,3.03499,1.70441,2.20362,1.15776,2.97412,0.75571,0.7221,1.09537,5.3385,1.83689,0.68951,0.95632,3.14017,8.83781,2.96255,3.20923,4.62422,4.98839,2.38928,3.80713,5.19072,1.1904,0.56738,1.06593,0.63349,0.0261,0.0828
2000,60.54571,0.27251,0.03545,0.30551,0.21972,0.28979,0.00329,,3.65189,1.58449,1.50119,0.00895,6.40632,2.6492,1.49904,1.35997,0.84106,1.86359,0.53257,0.51842,0.82462,3.57287,1.10072,0.18221,0.60904,2.18512,6.92293,1.66049,2.40748,3.33943,3.34099,2.045,2.61606,3.75668,0.89448,0.3378,0.74368,0.4465,0.00116,0.01549
