年份,私营工业企业存货,煤炭采选业私营工业企业存货,石油和天然气开采业私营工业企业存货,黑色金属矿采选业私营工业企业存货,有色金属矿采选业私营工业企业存货,非金属矿采选业私营工业企业存货,其他矿采选业私营工业企业存货,木材及竹材采运业私营工业企业存货,食品加工业私营工业企业存货,食品制造业私营工业企业存货,饮料制造业私营工业企业存货,烟草加工业私营工业企业存货,纺织业私营工业企业存货,服装及其他纤维制品制造业私营工业企业存货,皮革、毛皮、羽绒及其制品业私营工业企业存货,木材加工及竹、藤、棕、草制品业私营工业企业存货,家具制造业私营工业企业存货,造纸及纸制品业私营工业企业存货,印刷业、记录媒介的复制私营工业企业存货,文教体育用品制造业私营工业企业存货,石油加工及炼焦业私营工业企业存货,化学原料及化学制品制造业私营工业企业存货,医药制造业私营工业企业存货,化学纤维制造业私营工业企业存货,橡胶制品业私营工业企业存货,塑料制品业私营工业企业存货,非金属矿物制造业私营工业企业存货,黑色金属冶炼及压延加工业私营工业企业存货,有色金属冶炼及压延加工业私营工业企业存货,金属制品业私营工业企业存货,普通机械制造业私营工业企业存货,专用设备制造业私营工业企业存货,交通运输设备制造业私营工业企业存货,电气机械及器材制造业私营工业企业存货,电子及通信设备制造业私营工业企业存货,仪器仪表及文化办公用机械制造业私营工业企业存货,其它制造业私营工业企业存货,电力、蒸汽、热水的生产和供应业私营工业企业存货,煤气生产和供应业私营工业企业存货,自来水的生产和供应业私营工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1506.35339,5.52477,,5.25803,4.47604,5.38313,0.0643,,78.99803,34.05116,28.10601,0.04284,165.56263,70.14359,34.09217,33.84341,17.6652,37.92257,12.37314,17.73935,19.00807,93.56381,31.51587,12.05099,13.82565,51.79741,110.61927,62.71861,49.61759,96.3486,106.05802,61.3866,75.13285,97.24583,37.50158,10.0814,25.24699,1.13524,0.22086,0.03178
2001,1094.21101,4.32849,0.00283,3.18846,3.81366,3.23141,0.08917,0.00228,56.56532,25.43961,22.99998,0.07152,114.72115,53.39902,30.08584,28.1662,13.44281,28.04238,8.38609,12.65702,12.16495,65.19449,23.03185,10.00447,11.4389,34.28125,81.82458,41.5876,37.33617,68.27026,76.59864,42.22919,53.33633,69.59208,28.18041,8.59427,20.93638,0.74374,0.13893,0.09328
2000,683.84774,2.23678,0.03894,2.05844,2.85261,2.42315,0.01242,,35.64655,16.38367,16.86849,0.17431,69.01164,40.57454,20.4378,16.90403,10.64644,16.35989,4.67255,7.28367,8.14635,37.32018,15.67246,2.04502,6.76626,24.20198,49.65342,21.47924,22.86128,45.03584,42.9571,29.23735,30.38346,47.20854,18.13036,4.53253,12.67851,0.87213,0.04479,0.03502
