年份,私营工业企业所有者权益合计,煤炭采选业私营工业企业所有者权益合计,石油和天然气开采业私营工业企业所有者权益合计,黑色金属矿采选业私营工业企业所有者权益合计,有色金属矿采选业私营工业企业所有者权益合计,非金属矿采选业私营工业企业所有者权益合计,其他矿采选业私营工业企业所有者权益合计,木材及竹材采运业私营工业企业所有者权益合计,食品加工业私营工业企业所有者权益合计,食品制造业私营工业企业所有者权益合计,饮料制造业私营工业企业所有者权益合计,烟草加工业私营工业企业所有者权益合计,纺织业私营工业企业所有者权益合计,服装及其他纤维制品制造业私营工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业私营工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业私营工业企业所有者权益合计,家具制造业私营工业企业所有者权益合计,造纸及纸制品业私营工业企业所有者权益合计,印刷业、记录媒介的复制私营工业企业所有者权益合计,文教体育用品制造业私营工业企业所有者权益合计,石油加工及炼焦业私营工业企业所有者权益合计,化学原料及化学制品制造业私营工业企业所有者权益合计,医药制造业私营工业企业所有者权益合计,化学纤维制造业私营工业企业所有者权益合计,橡胶制品业私营工业企业所有者权益合计,塑料制品业私营工业企业所有者权益合计,非金属矿物制造业私营工业企业所有者权益合计,黑色金属冶炼及压延加工业私营工业企业所有者权益合计,有色金属冶炼及压延加工业私营工业企业所有者权益合计,金属制品业私营工业企业所有者权益合计,普通机械制造业私营工业企业所有者权益合计,专用设备制造业私营工业企业所有者权益合计,交通运输设备制造业私营工业企业所有者权益合计,电气机械及器材制造业私营工业企业所有者权益合计,电子及通信设备制造业私营工业企业所有者权益合计,仪器仪表及文化办公用机械制造业私营工业企业所有者权益合计,其它制造业私营工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业私营工业企业所有者权益合计,煤气生产和供应业私营工业企业所有者权益合计,自来水的生产和供应业私营工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3567.35,30.95471,,16.36764,15.38075,19.36578,0.27699,,192.92076,89.01676,67.34548,0.07658,378.14857,142.63926,75.23509,74.25624,42.02181,92.61963,39.01406,36.71412,59.75641,230.34666,94.77386,29.74365,31.23034,142.21312,298.80534,153.85295,86.83508,205.49231,209.19972,114.67485,146.14076,236.09174,100.18797,30.16886,62.41085,17.05263,2.04337,3.9785
2001,2374.59,17.63838,0.05042,8.61221,11.44159,12.72009,0.07616,0.01014,122.80736,57.47261,48.67753,0.37016,231.97622,107.25287,53.65106,57.57653,33.41651,62.957,23.57132,27.59716,21.34714,148.93694,66.96325,18.38932,22.04717,91.83822,212.05699,83.64851,63.11233,137.64113,139.68445,70.2734,98.61251,162.96563,68.34544,20.7802,47.15059,19.14514,1.39052,2.37734
2000,1664.99,8.00347,0.75342,4.45787,11.19791,9.48607,0.01899,,71.82433,34.69877,34.92545,0.19293,117.10092,72.28782,30.33789,31.26774,27.45325,34.57438,11.91947,13.86482,17.23812,84.53666,43.80287,3.83166,12.67575,59.27844,134.58204,279.22182,38.84537,87.81001,76.90834,46.18501,78.52345,92.49982,46.34495,9.94333,23.03708,14.76184,0.24055,0.36213
