年份,私营工业企业累计折旧,煤炭采选业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,其他矿采选业私营工业企业累计折旧,木材及竹材采运业私营工业企业累计折旧,食品加工业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,饮料制造业私营工业企业累计折旧,烟草加工业私营工业企业累计折旧,纺织业私营工业企业累计折旧,服装及其他纤维制品制造业私营工业企业累计折旧,皮革、毛皮、羽绒及其制品业私营工业企业累计折旧,木材加工及竹、藤、棕、草制品业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,造纸及纸制品业私营工业企业累计折旧,印刷业、记录媒介的复制私营工业企业累计折旧,文教体育用品制造业私营工业企业累计折旧,石油加工及炼焦业私营工业企业累计折旧,化学原料及化学制品制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,橡胶制品业私营工业企业累计折旧,塑料制品业私营工业企业累计折旧,非金属矿物制造业私营工业企业累计折旧,黑色金属冶炼及压延加工业私营工业企业累计折旧,有色金属冶炼及压延加工业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,普通机械制造业私营工业企业累计折旧,专用设备制造业私营工业企业累计折旧,交通运输设备制造业私营工业企业累计折旧,电气机械及器材制造业私营工业企业累计折旧,电子及通信设备制造业私营工业企业累计折旧,仪器仪表及文化办公用机械制造业私营工业企业累计折旧,其它制造业私营工业企业累计折旧,电力、蒸汽、热水的生产和供应业私营工业企业累计折旧,煤气生产和供应业私营工业企业累计折旧,自来水的生产和供应业私营工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,972.09875,9.39734,,4.29885,5.11612,4.12335,0.02358,,37.35425,20.57225,15.7996,0.00918,135.7712,31.91976,14.02752,14.89813,9.3026,31.87806,13.62061,8.72869,10.24736,64.31884,15.73234,12.73909,9.32385,38.15785,132.90136,32.44727,22.94895,49.73169,69.16834,26.75752,38.30947,48.27075,16.01473,5.12891,10.54501,10.25686,1.09769,1.15978
2001,674.51149,5.74606,0.00095,2.04625,2.76976,3.20531,0.02275,0.00213,25.14833,14.1811,12.74821,0.10006,93.11186,22.6948,11.63599,11.6697,7.44657,23.79481,8.36524,6.09247,6.29998,44.00211,10.26837,10.29941,6.49624,23.70426,96.29659,18.90091,15.45074,34.76457,47.99588,19.23789,25.14226,33.22898,11.26797,3.24667,7.79075,8.28892,0.52808,0.51856
2000,384.89338,2.55121,0.09119,1.3018,1.69783,2.46508,0.00936,,15.21991,7.47371,8.66881,0.0168,43.79109,17.76804,6.8621,4.88394,4.32223,12.32413,4.42958,2.94589,4.21073,23.58483,5.74849,1.66508,5.13387,15.21091,59.46863,11.79742,9.97678,19.97261,25.40213,12.656,14.74422,21.85357,7.08015,2.01857,3.68039,3.67275,0.0243,0.16925
