年份,私营工业企业资产总计,煤炭采选业私营工业企业资产总计,石油和天然气开采业私营工业企业资产总计,黑色金属矿采选业私营工业企业资产总计,有色金属矿采选业私营工业企业资产总计,非金属矿采选业私营工业企业资产总计,其他矿采选业私营工业企业资产总计,木材及竹材采运业私营工业企业资产总计,食品加工业私营工业企业资产总计,食品制造业私营工业企业资产总计,饮料制造业私营工业企业资产总计,烟草加工业私营工业企业资产总计,纺织业私营工业企业资产总计,服装及其他纤维制品制造业私营工业企业资产总计,皮革、毛皮、羽绒及其制品业私营工业企业资产总计,木材加工及竹、藤、棕、草制品业私营工业企业资产总计,家具制造业私营工业企业资产总计,造纸及纸制品业私营工业企业资产总计,印刷业、记录媒介的复制私营工业企业资产总计,文教体育用品制造业私营工业企业资产总计,石油加工及炼焦业私营工业企业资产总计,化学原料及化学制品制造业私营工业企业资产总计,医药制造业私营工业企业资产总计,化学纤维制造业私营工业企业资产总计,橡胶制品业私营工业企业资产总计,塑料制品业私营工业企业资产总计,非金属矿物制造业私营工业企业资产总计,黑色金属冶炼及压延加工业私营工业企业资产总计,有色金属冶炼及压延加工业私营工业企业资产总计,金属制品业私营工业企业资产总计,普通机械制造业私营工业企业资产总计,专用设备制造业私营工业企业资产总计,交通运输设备制造业私营工业企业资产总计,电气机械及器材制造业私营工业企业资产总计,电子及通信设备制造业私营工业企业资产总计,仪器仪表及文化办公用机械制造业私营工业企业资产总计,其它制造业私营工业企业资产总计,电力、蒸汽、热水的生产和供应业私营工业企业资产总计,煤气生产和供应业私营工业企业资产总计,自来水的生产和供应业私营工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8759.62,66.64907,,40.63427,32.04132,42.4039,0.49263,,436.29465,205.32632,157.15276,0.31757,991.84066,346.51833,172.55127,159.30089,87.09807,255.34641,93.72907,90.44426,152.29782,553.80919,210.93932,71.68022,75.74122,337.41526,761.32108,362.72571,245.81239,509.11476,540.57672,285.23181,412.96748,570.21263,226.98017,63.46295,134.92583,53.04172,5.42107,7.79633
2001,5901.98,35.42296,0.08767,23.99694,23.87687,25.4648,0.26736,0.02357,297.97822,141.97843,126.9848,0.65103,614.01564,247.48749,126.75014,118.13246,65.10909,181.8881,61.9068,65.56946,71.37638,377.03873,143.75645,48.55961,54.58479,214.43154,543.87242,204.29974,181.12096,344.08821,362.73585,180.99581,281.71416,386.21383,151.44294,44.55924,102.51235,41.71874,4.23665,5.12386
2000,3873.83,19.41394,0.87458,15.06913,20.64811,20.25853,0.07521,,178.84166,92.00975,97.01137,0.60224,316.7681,174.70695,75.19412,75.1997,49.48078,98.99811,32.56152,37.27349,47.03912,211.95537,91.96752,10.93042,32.77656,140.90873,375.63734,360.78422,119.96614,212.82391,207.12131,118.5755,179.02359,249.79301,100.64796,23.62642,53.86256,30.09864,0.50943,0.79219
