年份,私营工业企业主营业务成本,煤炭开采和洗选业私营工业企业主营业务成本,石油和天然气开采业私营工业企业主营业务成本,黑色金属矿采选业私营工业企业主营业务成本,有色金属矿采选业私营工业企业主营业务成本,非金属矿采选业私营工业企业主营业务成本,其他采矿业私营工业企业主营业务成本,农副食品加工业私营工业企业主营业务成本,食品制造业私营工业企业主营业务成本,饮料制造业私营工业企业主营业务成本,烟草制品业私营工业企业主营业务成本,纺织业私营工业企业主营业务成本,纺织服装、鞋、帽制造业私营工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业私营工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业私营工业企业主营业务成本,家具制造业私营工业企业主营业务成本,造纸及纸制品业私营工业企业主营业务成本,印刷业和记录媒介的复制私营工业企业主营业务成本,文教体育用品制造业私营工业企业主营业务成本,石油加工、炼焦及核燃料加工业私营工业企业主营业务成本,化学原料及化学制品制造业私营工业企业主营业务成本,医药制造业私营工业企业主营业务成本,化学纤维制造业私营工业企业主营业务成本,橡胶制品业私营工业企业主营业务成本,塑料制品业私营工业企业主营业务成本,非金属矿物制品业私营工业企业主营业务成本,黑色金属冶炼及压延加工业私营工业企业主营业务成本,有色金属冶炼及压延加工业私营工业企业主营业务成本,金属制品业私营工业企业主营业务成本,通用设备制造业私营工业企业主营业务成本,专用设备制造业私营工业企业主营业务成本,交通运输设备制造业私营工业企业主营业务成本,电气机械及器材制造业私营工业企业主营业务成本,通信设备、计算机及其他电子设备制造私营工业企业主营业务成本,仪器仪表及文化、办公用机械制造业私营工业企业主营业务成本,工艺品及其他制造业私营工业企业主营业务成本,废弃资源和废旧材料回收加工业私营工业企业主营业务成本,电力、热力的生产和供应业私营工业企业主营业务成本,燃气生产和供应业私营工业企业主营业务成本,水的生产和供应业私营工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,210191.52,4776.64324,56.39708,3369.47771,1328.46572,1737.13507,6.5715,17027.18104,3868.2395,2566.9539,3.8093,14112.79619,5032.86031,2934.78373,5043.01943,2075.81974,3879.8163,1347.35404,934.02176,4112.68462,16047.63867,3022.02983,2096.27156,2216.42825,6242.71592,16053.51411,14628.51687,9676.73292,9742.32858,15043.32884,7424.92024,9947.01993,13828.81802,3937.22193,1650.9223,2639.53071,1081.82279,489.14747,151.37502,57.20454
2010,177049.48,3675.46981,59.09477,2654.02293,994.61399,1401.94204,18.22939,13847.66196,3281.39492,2086.1354,3.55221,13018.02486,4661.39776,2642.28585,4203.00282,1859.21222,3510.39682,1262.65948,949.76221,3082.12086,13076.3865,2291.42563,1566.80899,1693.59467,5718.3081,13108.84954,12131.26085,7998.85487,8558.05733,13193.32961,5863.00965,8804.93161,11429.72351,3349.92251,1336.67318,2147.16839,929.44205,440.22352,148.54409,51.98407
2009,134374.58,2512.29688,61.36322,1742.88393,690.40515,1002.45206,10.25347,10689.92135,2354.87679,1556.2385,2.92908,11174.90356,3822.13611,2092.92815,3240.36981,1417.44595,2683.05385,997.44157,760.44548,2296.54869,9905.45604,1688.156,1293.71029,1253.67186,4296.32559,10045.68126,9218.39619,5788.12713,6665.24622,9885.23276,4352.96952,6370.01892,8428.72118,2321.40747,1042.54588,1718.4954,552.33045,310.69156,88.94129,39.56309
2008,112220.27,2038.91152,24.77764,1492.35265,597.2359,727.07202,5.58988,8382.84367,1877.34492,1134.65459,2.94923,9205.03988,3224.93646,1864.69132,2577.31948,1154.2393,2390.08683,840.61012,645.14218,2192.77292,8044.34936,1333.49669,1258.17091,1046.61149,3620.30384,7987.00777,9052.9405,5183.43794,5683.14154,8254.52983,3454.86263,5088.50541,6936.49798,1904.77767,798.13107,1444.58209,428.71086,237.02044,59.81629,24.80983
2007,77335.75,1133.38622,9.91498,809.64493,430.36824,469.99449,5.18676,5558.45629,1309.04068,753.30049,0.346,7384.87411,2131.85995,1449.01297,1678.89865,779.09461,1676.91156,539.09226,493.96486,1404.23443,5481.86855,926.08073,1210.52233,654.58417,2666.77387,5188.97653,6437.41125,3904.08779,3945.00286,5410.57702,2142.15292,3051.73083,4843.68707,1399.16765,501.15807,1046.19682,284.05157,169.93885,37.65443,16.54209
