年份,私营工业企业利息支出,煤炭开采和洗选业私营工业企业利息支出,石油和天然气开采业私营工业企业利息支出,黑色金属矿采选业私营工业企业利息支出,有色金属矿采选业私营工业企业利息支出,非金属矿采选业私营工业企业利息支出,其他采矿业私营工业企业利息支出,农副食品加工业私营工业企业利息支出,食品制造业私营工业企业利息支出,饮料制造业私营工业企业利息支出,烟草制品业私营工业企业利息支出,纺织业私营工业企业利息支出,纺织服装、鞋、帽制造业私营工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业私营工业企业利息支出,木材加工及木、竹、藤、棕、草制品业私营工业企业利息支出,家具制造业私营工业企业利息支出,造纸及纸制品业私营工业企业利息支出,印刷业和记录媒介的复制私营工业企业利息支出,文教体育用品制造业私营工业企业利息支出,石油加工、炼焦及核燃料加工业私营工业企业利息支出,化学原料及化学制品制造业私营工业企业利息支出,医药制造业私营工业企业利息支出,化学纤维制造业私营工业企业利息支出,橡胶制品业私营工业企业利息支出,塑料制品业私营工业企业利息支出,非金属矿物制品业私营工业企业利息支出,黑色金属冶炼及压延加工业私营工业企业利息支出,有色金属冶炼及压延加工业私营工业企业利息支出,金属制品业私营工业企业利息支出,通用设备制造业私营工业企业利息支出,专用设备制造业私营工业企业利息支出,交通运输设备制造业私营工业企业利息支出,电气机械及器材制造业私营工业企业利息支出,通信设备、计算机及其他电子设备制造私营工业企业利息支出,仪器仪表及文化、办公用机械制造业私营工业企业利息支出,工艺品及其他制造业私营工业企业利息支出,废弃资源和废旧材料回收加工业私营工业企业利息支出,电力、热力的生产和供应业私营工业企业利息支出,燃气生产和供应业私营工业企业利息支出,水的生产和供应业私营工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2026.77999,50.22815,0.99479,34.51805,10.21206,10.96983,0.11037,118.57943,33.31824,23.68663,0.08949,179.60167,36.57338,35.09721,34.20074,21.87056,38.85182,15.77059,8.26211,56.02938,146.97612,31.64003,31.90046,19.807,54.69442,147.30819,117.55707,95.24597,94.33988,134.40593,71.80446,114.42042,147.39597,33.72569,19.06699,21.66918,6.19767,25.9428,1.50244,2.2148
2010,1535.3029,30.21796,0.9148,20.93694,7.72444,9.47285,0.08503,104.83834,28.3794,21.37738,0.0736,142.63776,31.1047,24.14074,28.54615,16.24554,31.00111,12.50009,7.67457,36.61849,117.07915,24.4112,19.92982,15.23116,45.53604,119.15029,85.28982,60.84629,72.42868,103.79968,46.54698,83.32055,97.77903,24.12785,10.12908,17.4247,4.18465,30.16763,1.34401,2.0864
2009,1178.02829,17.01243,1.08528,14.47058,5.67852,8.23021,0.02569,81.42357,22.0396,17.13048,0.07783,131.80133,26.58518,19.04565,22.90744,11.7147,24.45554,9.85739,5.73726,28.75252,84.92986,20.44257,18.66981,11.12786,33.96506,92.43985,55.91741,40.23143,55.37429,79.5975,35.93867,61.27697,69.25324,16.51678,9.58332,14.25186,2.61702,24.97594,0.82254,2.06511
2008,1119.67996,16.27706,0.49434,13.40336,5.01009,5.77307,0.03492,69.55034,21.17172,14.76357,0.04756,126.94865,24.61254,16.29423,21.51105,11.78431,25.41978,9.53862,6.23219,28.6565,77.10496,18.60744,21.79913,9.7464,34.11323,84.65487,68.62146,40.3156,53.79309,79.26961,31.30217,49.54177,69.52217,16.83864,9.7301,12.65206,2.3802,19.71973,0.69602,1.74741
2007,746.55687,9.11003,0.02762,8.94204,3.29855,3.75756,0.03658,46.97236,13.68108,9.16465,0.02145,95.45507,15.08089,9.60412,13.55841,7.66961,19.183,6.45695,4.06358,20.92401,50.87386,12.88933,22.72035,6.32127,22.495,57.76433,46.09775,24.30731,35.91033,48.41052,18.19868,27.52887,45.52244,9.55189,4.7295,8.6942,0.74251,14.7874,0.79626,1.20751
2006,520.69,6.57844,0.01022,6.00464,2.44704,2.74395,0.01732,31.53121,9.16276,6.3527,0.00222,67.69553,11.67459,8.05295,8.48458,5.18877,13.94963,4.29556,2.97463,14.49658,35.37922,9.78123,13.98152,4.43849,15.52048,45.22454,32.53065,17.52015,24.12428,33.11642,12.51893,20.18173,27.31952,6.66811,2.72415,6.44635,0.29392,10.13027,0.2204,0.90388
