年份,私营工业企业主营业务成本,煤炭开采和洗选业私营工业企业主营业务成本,石油和天然气开采业私营工业企业主营业务成本,黑色金属矿采选业私营工业企业主营业务成本,有色金属矿采选业私营工业企业主营业务成本,非金属矿采选业私营工业企业主营业务成本,开采辅助活动私营工业企业主营业务成本,其他采矿业私营工业企业主营业务成本,农副食品加工业私营工业企业主营业务成本,食品制造业私营工业企业主营业务成本,酒、饮料和精制茶制造业私营工业企业主营业务成本,烟草制品业私营工业企业主营业务成本,纺织业私营工业企业主营业务成本,纺织服装、服饰业私营工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业私营工业企业主营业务成本,家具制造业私营工业企业主营业务成本,造纸和纸制品业私营工业企业主营业务成本,印刷和记录媒介复制业私营工业企业主营业务成本,文教、工美、体育和娱乐用品制造业私营工业企业主营业务成本,石油加工、炼焦和核燃料加工业私营工业企业主营业务成本,化学原料和化学制品制造业私营工业企业主营业务成本,医药制造业私营工业企业主营业务成本,化学纤维制造业私营工业企业主营业务成本,橡胶和塑料制品业私营工业企业主营业务成本,非金属矿物制品业私营工业企业主营业务成本,黑色金属冶炼和压延加工业私营工业企业主营业务成本,有色金属冶炼和压延加工业私营工业企业主营业务成本,金属制品业私营工业企业主营业务成本,通用设备制造业私营工业企业主营业务成本,专用设备制造业私营工业企业主营业务成本,汽车制造业私营工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备私营工业企业主营业务成本,电气机械和器材制造业私营工业企业主营业务成本,计算机、通信和其他电子设备制造业私营工业企业主营业务成本,仪器仪表制造业私营工业企业主营业务成本,其他制造业私营工业企业主营业务成本,废弃资源综合利用业私营工业企业主营业务成本,金属制品、机械和设备修理业私营工业企业主营业务成本,电力、热力生产和供应业私营工业企业主营业务成本,燃气生产和供应业私营工业企业主营业务成本,水的生产和供应业私营工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,329585.66,3663.25,12.88,1554.91,1190.5,2069.5,46.99,12.53,25787.06,7059.05,4740.75,11.27,17498.27,8576.56,5498.33,7968.36,4061.32,5209.08,3455.1,6462.79,6319.95,25222.18,6402.97,3130.26,13197.15,26574.93,20004.12,14035.77,17199.29,17315.81,13458.05,11909.56,4467.64,22979.12,14871.31,3357.27,983.12,1571.36,118.3,983.57,457.27,148.16
2016,355823.84,3767.79,21.67,2725.46,1677.53,2629.44,42.77,15.84,29985.85,7180.96,4978.08,9.9,19645.13,9643.65,5996.79,8976.19,4052.54,5151.93,3570.87,7007.37,5509.01,28989.94,6588.71,2938.04,14617.32,28193.14,21178.51,14971.23,19953.4,18579.75,15109.07,12394.73,5227.03,22763.92,14083.32,3176.69,1170.43,1723.44,144.02,763.6,539.86,128.9
2015,334569.19,3919.84,28.11,3145.04,1743.2,2670.45,42.17,15.15,28450.07,6537.15,4492.67,8.41,18946.3,9161.07,5673.09,8372.13,3562.69,4820.3,3175.64,6443.38,4976.69,27921.67,6165.32,2865.58,13649.79,26892.69,21045.25,14892.46,17944.11,17979.01,14220.16,10831.45,4897.33,21410.33,10767.24,2850.11,1069.8,1602.07,142.28,648.57,486.44,103.96
2014,322482.84,4795.17,29.65,4493.3,1830.03,2541.76,51.5,14.49,27506.65,6040.11,4107.51,13.05,18256.87,8663.03,5386.72,7928.76,3217.1,4700.29,2828.8,6201.82,5240.39,26140.17,5592.81,2756.9,12955.19,25709.27,23246.93,14980.84,17204.27,17701.48,12467.68,9519.32,4652.83,20770.1,8443.71,2687.45,988.64,1558.79,181.46,588.2,398.48,91.33
2013,293764.75,5282.43,24.37,4595.68,1828.46,2313.0,41.87,12.6,25553.37,5351.38,3718.61,10.93,16880.26,7932.66,4797.39,7116.37,2881.25,4538.74,2439.76,5223.42,5297.73,23783.01,4711.71,2753.96,11595.74,22591.35,22880.85,13887.2,15289.8,15842.32,11002.43,8025.22,4232.97,18867.86,6666.28,2417.54,847.12,1428.26,206.53,517.75,289.01,87.55
2012,243192.1,5083.43361,24.70156,3962.56681,1568.58753,1931.23021,25.58683,11.54211,20671.41816,4501.78283,2982.84625,4.26049,14413.63376,6672.83174,4135.02509,5944.08442,2421.8325,4187.75294,1705.24508,3908.55965,4593.09316,19248.70194,3678.10373,2412.01375,9524.60074,18653.31441,19317.62295,10809.82627,12599.32195,12877.83989,8674.50702,7388.09906,3814.49301,15811.28465,4854.37061,2034.96991,719.46765,1159.69946,190.58613,441.3195,162.85562,69.08891
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
