年份,私营工业企业亏损总额,煤炭开采和洗选业私营工业企业亏损总额,石油和天然气开采业私营工业企业亏损总额,黑色金属矿采选业私营工业企业亏损总额,有色金属矿采选业私营工业企业亏损总额,非金属矿采选业私营工业企业亏损总额,开采辅助活动私营工业企业亏损总额,其他采矿业私营工业企业亏损总额,农副食品加工业私营工业企业亏损总额,食品制造业私营工业企业亏损总额,酒、饮料和精制茶制造业私营工业企业亏损总额,烟草制品业私营工业企业亏损总额,纺织业私营工业企业亏损总额,纺织服装、服饰业私营工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业私营工业企业亏损总额,家具制造业私营工业企业亏损总额,造纸和纸制品业私营工业企业亏损总额,印刷和记录媒介复制业私营工业企业亏损总额,文教、工美、体育和娱乐用品制造业私营工业企业亏损总额,石油加工、炼焦和核燃料加工业私营工业企业亏损总额,化学原料和化学制品制造业私营工业企业亏损总额,医药制造业私营工业企业亏损总额,化学纤维制造业私营工业企业亏损总额,橡胶和塑料制品业私营工业企业亏损总额,非金属矿物制品业私营工业企业亏损总额,黑色金属冶炼和压延加工业私营工业企业亏损总额,有色金属冶炼和压延加工业私营工业企业亏损总额,金属制品业私营工业企业亏损总额,通用设备制造业私营工业企业亏损总额,专用设备制造业私营工业企业亏损总额,汽车制造业私营工业企业亏损总额,铁路、船舶、航空航天和其他运输设备私营工业企业亏损总额,电气机械和器材制造业私营工业企业亏损总额,计算机、通信和其他电子设备制造业私营工业企业亏损总额,仪器仪表制造业私营工业企业亏损总额,其他制造业私营工业企业亏损总额,废弃资源综合利用业私营工业企业亏损总额,金属制品、机械和设备修理业私营工业企业亏损总额,电力、热力生产和供应业私营工业企业亏损总额,燃气生产和供应业私营工业企业亏损总额,水的生产和供应业私营工业企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,909.74,38.35,0.05,19.75,8.0,5.5,0.04,0.02,43.23,15.84,11.52,0.0,34.03,15.68,5.55,11.01,8.09,10.89,7.07,8.17,37.52,83.92,18.09,9.85,33.23,63.55,42.75,28.07,43.83,40.31,39.46,37.61,15.2,68.01,52.3,5.48,1.45,6.78,0.62,32.82,3.96,2.14
2016,846.38,55.8,0.05,28.9,8.99,6.8,0.36,0.01,36.11,9.81,6.97,0.01,21.19,15.42,4.72,5.07,5.89,9.06,6.04,6.46,44.17,79.56,15.78,9.45,20.69,74.75,74.33,27.07,32.92,35.91,47.29,29.52,9.29,39.11,30.51,7.21,6.77,5.36,1.24,17.73,7.34,2.72
2015,1041.9,80.69,0.32,45.83,12.79,6.0,1.51,0.01,45.05,12.45,10.84,0.0,28.06,12.73,6.06,5.49,6.57,10.62,6.17,6.12,75.79,83.07,15.08,11.23,19.66,92.11,138.9,44.16,37.33,39.44,30.87,28.03,15.27,41.63,30.98,7.07,2.01,7.7,0.89,14.02,6.89,2.48
2014,885.38,74.99,0.35,34.51,9.16,2.96,0.2,0.0,47.5,10.9,6.65,0.0,34.08,11.1,3.42,6.07,6.02,10.76,4.39,4.67,84.29,78.91,16.83,15.34,18.57,78.14,88.12,36.04,29.01,30.62,22.75,21.62,11.3,35.8,23.32,3.76,1.0,4.82,1.12,10.62,3.88,1.8
2013,744.33,58.31,0.13,18.6,8.81,3.18,0.06,0.01,26.41,7.98,5.59,0.0,28.37,9.12,4.61,6.42,5.07,8.53,4.3,3.51,60.61,70.63,9.78,11.49,13.35,54.12,78.31,47.82,26.46,26.29,19.74,18.44,14.0,41.76,30.31,4.68,0.9,4.7,0.22,9.11,1.46,1.1
2012,621.9725,48.77534,0.07236,17.75842,6.94232,1.85005,0.03566,,17.53418,5.29255,4.02402,,31.3026,8.63082,3.23365,5.66644,2.83589,8.22761,3.3158,2.78407,53.6426,49.74398,5.90573,11.07863,9.91897,48.61408,82.50458,30.21642,20.26828,21.81604,17.23618,17.09954,14.6273,39.4298,13.72228,3.17208,0.56142,4.0346,0.51072,8.13975,0.57748,0.87026
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
