年份,私营工业企业利息支出,煤炭开采和洗选业私营工业企业利息支出,石油和天然气开采业私营工业企业利息支出,黑色金属矿采选业私营工业企业利息支出,有色金属矿采选业私营工业企业利息支出,非金属矿采选业私营工业企业利息支出,开采辅助活动私营工业企业利息支出,其他采矿业私营工业企业利息支出,农副食品加工业私营工业企业利息支出,食品制造业私营工业企业利息支出,酒、饮料和精制茶制造业私营工业企业利息支出,烟草制品业私营工业企业利息支出,纺织业私营工业企业利息支出,纺织服装、服饰业私营工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业利息支出,木材加工和木、竹、藤、棕、草制品业私营工业企业利息支出,家具制造业私营工业企业利息支出,造纸和纸制品业私营工业企业利息支出,印刷和记录媒介复制业私营工业企业利息支出,文教、工美、体育和娱乐用品制造业私营工业企业利息支出,石油加工、炼焦和核燃料加工业私营工业企业利息支出,化学原料和化学制品制造业私营工业企业利息支出,医药制造业私营工业企业利息支出,化学纤维制造业私营工业企业利息支出,橡胶和塑料制品业私营工业企业利息支出,非金属矿物制品业私营工业企业利息支出,黑色金属冶炼和压延加工业私营工业企业利息支出,有色金属冶炼和压延加工业私营工业企业利息支出,金属制品业私营工业企业利息支出,通用设备制造业私营工业企业利息支出,专用设备制造业私营工业企业利息支出,汽车制造业私营工业企业利息支出,铁路、船舶、航空航天和其他运输设备私营工业企业利息支出,电气机械和器材制造业私营工业企业利息支出,计算机、通信和其他电子设备制造业私营工业企业利息支出,仪器仪表制造业私营工业企业利息支出,其他制造业私营工业企业利息支出,废弃资源综合利用业私营工业企业利息支出,金属制品、机械和设备修理业私营工业企业利息支出,电力、热力生产和供应业私营工业企业利息支出,燃气生产和供应业私营工业企业利息支出,水的生产和供应业私营工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2770.44,56.81,0.19,23.49,11.25,18.2,0.28,0.07,162.18,49.34,43.09,0.26,154.36,51.61,44.64,42.52,30.77,47.41,24.71,43.82,97.95,241.17,66.84,44.43,115.29,210.26,162.13,120.53,134.93,136.53,115.18,112.03,34.84,173.53,79.34,22.33,5.98,9.57,1.69,71.94,4.23,4.71
2016,2858.18,55.83,0.08,35.6,15.24,20.81,0.65,0.13,190.75,50.49,43.6,0.23,181.63,58.71,42.43,49.68,31.11,44.91,27.5,48.07,76.71,256.11,62.58,43.19,124.19,220.53,144.98,109.27,141.21,138.29,126.33,109.81,42.12,182.93,73.02,24.44,7.51,8.08,1.67,56.82,6.43,4.51
2015,3041.23,66.67,0.63,38.25,15.23,19.77,0.73,0.15,203.61,51.69,45.67,0.29,199.99,63.7,49.86,50.82,31.93,48.68,29.51,48.83,81.11,280.54,63.24,47.47,121.97,232.8,169.01,116.65,149.87,152.17,132.72,109.94,44.59,195.83,74.05,24.1,8.23,7.21,1.93,52.36,6.02,3.41
2014,3178.3,76.55,0.37,52.5,16.71,18.26,0.47,0.15,211.69,54.26,42.97,0.5,217.43,68.33,54.46,51.2,32.74,53.83,30.27,51.82,104.25,276.3,60.47,51.82,123.41,244.11,205.58,120.2,161.53,163.17,112.16,100.18,46.98,209.07,70.91,25.86,7.98,9.2,1.71,42.05,4.21,2.62
2013,2965.57,80.2,0.22,52.38,14.92,17.7,0.58,0.14,203.2,49.21,38.08,0.51,213.16,64.72,49.24,48.25,29.84,52.11,27.93,45.69,86.48,253.07,50.55,47.53,114.31,217.67,210.53,130.53,151.74,154.07,100.43,86.72,41.79,197.57,58.36,21.96,7.2,7.28,1.12,32.71,3.1,2.75
2012,2578.7559,68.27865,0.43467,39.67247,13.59696,13.339,0.52781,0.08835,154.55282,44.16662,30.31946,0.29176,193.97003,60.47919,48.23333,42.98379,25.75264,49.31132,23.45756,33.84193,76.25312,196.68425,38.71992,48.0799,95.50697,187.58192,195.17782,105.35984,132.56468,134.8549,88.06891,98.27983,39.73011,183.70713,46.82896,22.29123,8.10082,6.63623,1.27555,25.36449,2.22952,2.16144
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
