年份,私营工业企业利润总额,煤炭开采和洗选业私营工业企业利润总额,石油和天然气开采业私营工业企业利润总额,黑色金属矿采选业私营工业企业利润总额,有色金属矿采选业私营工业企业利润总额,非金属矿采选业私营工业企业利润总额,开采辅助活动私营工业企业利润总额,其他采矿业私营工业企业利润总额,农副食品加工业私营工业企业利润总额,食品制造业私营工业企业利润总额,酒、饮料和精制茶制造业私营工业企业利润总额,烟草制品业私营工业企业利润总额,纺织业私营工业企业利润总额,纺织服装、服饰业私营工业企业利润总额,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业利润总额,木材加工和木、竹、藤、棕、草制品业私营工业企业利润总额,家具制造业私营工业企业利润总额,造纸和纸制品业私营工业企业利润总额,印刷和记录媒介复制业私营工业企业利润总额,文教、工美、体育和娱乐用品制造业私营工业企业利润总额,石油加工、炼焦和核燃料加工业私营工业企业利润总额,化学原料和化学制品制造业私营工业企业利润总额,医药制造业私营工业企业利润总额,化学纤维制造业私营工业企业利润总额,橡胶和塑料制品业私营工业企业利润总额,非金属矿物制品业私营工业企业利润总额,黑色金属冶炼和压延加工业私营工业企业利润总额,有色金属冶炼和压延加工业私营工业企业利润总额,金属制品业私营工业企业利润总额,通用设备制造业私营工业企业利润总额,专用设备制造业私营工业企业利润总额,汽车制造业私营工业企业利润总额,铁路、船舶、航空航天和其他运输设备私营工业企业利润总额,电气机械和器材制造业私营工业企业利润总额,计算机、通信和其他电子设备制造业私营工业企业利润总额,仪器仪表制造业私营工业企业利润总额,其他制造业私营工业企业利润总额,废弃资源综合利用业私营工业企业利润总额,金属制品、机械和设备修理业私营工业企业利润总额,电力、热力生产和供应业私营工业企业利润总额,燃气生产和供应业私营工业企业利润总额,水的生产和供应业私营工业企业利润总额
2019,20650.84,348.18,0.37,137.17,42.55,203.07,6.41,0.58,1119.1,542.82,404.49,0.78,682.35,458.89,414.27,333.19,304.81,266.32,215.72,405.31,315.76,1444.43,678.87,159.43,670.8,2093,1142.87,715.92,1066.26,994.06,1037.06,716.04,228.43,1606.97,1058.92,249.17,51.25,158.51,13.92,264.78,66.43,31.58
2018,21762.78,339.6,0.2,80.4,66.3,158.7,3.5,0.4,1001.8,436.5,327.3,5.4,653.0,438.0,297.8,334.5,206.7,200.0,159.2,346.0,234.8,1390.6,508.7,131.9,562.6,1532,1279.4,516.7,844.5,858.2,802.5,608.4,216.2,1068.3,883.6,271.9,37.7,95.3,4.2,168.7,49.7,15.8
2017,23043.0,356.1,1.26,104.21,100.33,186.27,5.06,0.85,1546.42,568.07,440.15,1.34,1075.62,573.12,376.09,529.44,296.83,323.8,246.29,450.13,271.48,1878.58,690.3,160.11,888.56,1996.44,1196.85,695.37,1115.13,1281.31,1073.33,863.78,334.63,1641.55,1101.43,316.37,63.0,86.98,6.39,133.7,47.85,18.47
2016,25494.9,330.09,1.84,289.25,135.99,230.97,4.93,1.01,1874.81,584.54,498.91,5.46,1304.55,667.26,437.15,638.11,315.91,333.62,273.63,523.55,240.73,2169.7,649.99,143.81,1086.67,2188.25,1066.31,822.02,1405.35,1403.55,1159.61,933.03,405.61,1746.2,966.29,304.91,75.76,109.54,7.0,119.5,27.39,12.12
2015,24249.73,310.06,2.16,333.18,148.36,239.18,3.5,1.04,1827.82,557.68,473.26,1.25,1264.23,674.77,433.23,626.12,280.38,330.82,261.39,480.4,163.41,2139.15,613.74,137.47,1022.28,2118.11,920.43,818.07,1306.4,1388.4,1130.51,850.6,384.94,1618.81,771.23,279.16,80.32,116.24,8.09,98.96,25.15,9.41
2014,23550.42,425.73,2.77,540.1,180.15,242.94,6.22,1.1,1781.66,507.33,421.33,2.05,1231.29,644.84,436.2,622.26,250.43,317.53,235.59,431.12,170.55,1961.4,561.21,111.24,972.02,2101.76,1083.27,873.56,1250.59,1384.43,1046.89,691.88,350.56,1537.88,617.56,254.92,70.11,110.12,8.23,74.68,28.72,8.23
2013,23327.08,566.56,0.98,721.31,198.09,242.46,6.75,0.97,1871.39,479.05,396.14,0.63,1195.91,606.58,417.47,624.33,237.2,338.23,208.01,360.72,260.34,1960.46,527.52,114.01,964.68,2057.71,1179.71,837.79,1175.58,1361.36,1012.68,627.94,321.3,1427.07,498.04,237.03,81.05,103.08,17.05,56.79,23.79,9.3
2012,20191.9,685.68259,3.51398,675.07707,191.67312,198.95031,4.1641,1.62328,1607.73397,435.17921,330.59122,0.3876,1032.62577,495.34838,368.69,531.59264,212.57285,326.79776,153.17113,273.87206,213.13708,1668.58648,424.01119,107.13887,793.48663,1786.54141,1080.01308,682.89503,998.75979,1108.70045,841.88979,548.56332,295.54176,1262.55342,419.56255,197.06997,58.1686,93.05938,15.38737,42.84505,16.83656,7.90574
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
