年份,私营工业企业固定资产原价合计,煤炭开采和洗选业私营工业企业固定资产原价合计,石油和天然气开采业私营工业企业固定资产原价合计,黑色金属矿采选业私营工业企业固定资产原价合计,有色金属矿采选业私营工业企业固定资产原价合计,非金属矿采选业私营工业企业固定资产原价合计,开采辅助活动私营工业企业固定资产原价合计,其他采矿业私营工业企业固定资产原价合计,农副食品加工业私营工业企业固定资产原价合计,食品制造业私营工业企业固定资产原价合计,酒、饮料和精制茶制造业私营工业企业固定资产原价合计,烟草制品业私营工业企业固定资产原价合计,纺织业私营工业企业固定资产原价合计,纺织服装、服饰业私营工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业私营工业企业固定资产原价合计,家具制造业私营工业企业固定资产原价合计,造纸和纸制品业私营工业企业固定资产原价合计,印刷和记录媒介复制业私营工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业私营工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业私营工业企业固定资产原价合计,化学原料和化学制品制造业私营工业企业固定资产原价合计,医药制造业私营工业企业固定资产原价合计,化学纤维制造业私营工业企业固定资产原价合计,橡胶和塑料制品业私营工业企业固定资产原价合计,非金属矿物制品业私营工业企业固定资产原价合计,黑色金属冶炼和压延加工业私营工业企业固定资产原价合计,有色金属冶炼和压延加工业私营工业企业固定资产原价合计,金属制品业私营工业企业固定资产原价合计,通用设备制造业私营工业企业固定资产原价合计,专用设备制造业私营工业企业固定资产原价合计,汽车制造业私营工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备私营工业企业固定资产原价合计,电气机械和器材制造业私营工业企业固定资产原价合计,计算机、通信和其他电子设备制造业私营工业企业固定资产原价合计,仪器仪表制造业私营工业企业固定资产原价合计,其他制造业私营工业企业固定资产原价合计,废弃资源综合利用业私营工业企业固定资产原价合计,金属制品、机械和设备修理业私营工业企业固定资产原价合计,电力、热力生产和供应业私营工业企业固定资产原价合计,燃气生产和供应业私营工业企业固定资产原价合计,水的生产和供应业私营工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,126087.1,1801.05,30.95,880.18,556.38,749.19,32.93,7.16,8377.24,2994.44,1982.01,18.89,6740.29,2637.94,1514.49,2459.15,1307.82,1900.53,1453.48,1778.82,2156.64,11234.52,4097.12,1528.97,4881.22,11913.27,8333.9,3813.75,6034.91,6420.22,5607.86,4463.45,2017.13,6994.22,3650.14,1098.59,313.64,333.25,83.67,3359.72,312.82,215.16
2016,137033.69,1928.56,30.25,1769.93,640.23,937.97,33.07,7.93,10323.65,3158.9,2039.87,6.9,7683.84,3026.3,1689.1,2881.1,1409.52,2001.77,1515.29,2055.64,2264.33,11705.76,3330.78,1423.23,5360.45,12614.94,10000.57,4001.76,6603.78,7093.87,6467.88,4668.25,2218.74,7504.66,3316.94,1346.96,361.62,502.49,82.26,2572.08,262.74,189.78
2015,128858.36,2097.79,39.62,1854.23,632.22,999.44,37.19,6.49,9942.54,2906.5,1855.79,9.48,7142.44,2827.11,1559.04,2680.9,1299.48,1904.42,1328.06,1730.09,2191.44,11192.73,3134.8,1363.91,4959.5,11860.1,9497.26,4390.37,6412.34,6865.13,5869.29,4185.1,1907.61,6880.95,2863.19,1147.14,338.25,407.97,83.2,2031.51,261.03,162.7
2014,120249.25,2178.78,38.74,1920.83,671.7,921.48,37.69,5.53,9161.51,2289.27,1689.72,8.67,6772.57,2551.93,1405.45,2519.01,1193.03,1866.37,1220.98,1488.17,2207.89,10189.96,2674.74,1165.72,4629.61,11074.73,9874.36,4069.89,6928.19,6537.7,5097.27,3533.83,1743.01,6344.57,2580.51,1035.42,276.82,367.0,80.38,1606.82,182.0,107.39
2013,103175.81,2209.98,29.26,1572.35,602.97,773.3,23.52,6.15,8133.04,1924.3,1349.49,8.27,5963.61,2195.47,1187.01,2053.44,1033.46,1738.95,987.12,1135.75,2218.66,8759.83,2094.1,1042.3,4144.67,9369.26,9333.58,3641.94,5094.34,5530.93,4207.14,2930.14,1463.09,5419.63,2078.59,783.52,223.42,291.19,88.63,1307.63,136.86,88.95
2012,79904.05101,1857.45762,40.81281,1264.55932,464.50649,672.6102,14.14824,3.48565,5959.8915,1552.90939,1138.14336,2.05022,4925.91423,1721.57226,950.87337,1604.31446,739.99925,1406.12157,698.40359,773.62614,1893.11927,6214.34457,1374.28006,830.75575,3074.88956,7650.32426,7198.89312,2235.17889,4123.08529,4292.14861,3006.27409,2370.52574,1247.59897,4365.30706,1936.35141,653.97535,206.07486,245.42135,96.70659,955.5992,84.94342,56.85392
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
