年份,私营工业企业国家资本金,煤炭开采和洗选业私营工业企业国家资本金,石油和天然气开采业私营工业企业国家资本金,黑色金属矿采选业私营工业企业国家资本金,有色金属矿采选业私营工业企业国家资本金,非金属矿采选业私营工业企业国家资本金,开采辅助活动私营工业企业国家资本金,其他采矿业私营工业企业国家资本金,农副食品加工业私营工业企业国家资本金,食品制造业私营工业企业国家资本金,酒、饮料和精制茶制造业私营工业企业国家资本金,烟草制品业私营工业企业国家资本金,纺织业私营工业企业国家资本金,纺织服装、服饰业私营工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业国家资本金,家具制造业私营工业企业国家资本金,造纸和纸制品业私营工业企业国家资本金,印刷和记录媒介复制业私营工业企业国家资本金,文教、工美、体育和娱乐用品制造业私营工业企业国家资本金,石油加工、炼焦和核燃料加工业私营工业企业国家资本金,化学原料和化学制品制造业私营工业企业国家资本金,医药制造业私营工业企业国家资本金,化学纤维制造业私营工业企业国家资本金,橡胶和塑料制品业私营工业企业国家资本金,非金属矿物制品业私营工业企业国家资本金,黑色金属冶炼和压延加工业私营工业企业国家资本金,有色金属冶炼和压延加工业私营工业企业国家资本金,金属制品业私营工业企业国家资本金,通用设备制造业私营工业企业国家资本金,专用设备制造业私营工业企业国家资本金,汽车制造业私营工业企业国家资本金,铁路、船舶、航空航天和其他运输设备私营工业企业国家资本金,电气机械和器材制造业私营工业企业国家资本金,计算机、通信和其他电子设备制造业私营工业企业国家资本金,仪器仪表制造业私营工业企业国家资本金,其他制造业私营工业企业国家资本金,废弃资源综合利用业私营工业企业国家资本金,金属制品、机械和设备修理业私营工业企业国家资本金,电力、热力生产和供应业私营工业企业国家资本金,燃气生产和供应业私营工业企业国家资本金,水的生产和供应业私营工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,315.58,9.21,0.0,0.09,2.16,2.06,0.0,0.0,9.16,1.65,2.94,0.0,6.12,2.42,0.46,1.67,0.73,0.75,2.34,1.77,2.94,21.76,5.3,1.93,4.24,25.78,33.69,12.96,7.93,10.56,13.78,7.94,1.2,21.14,31.56,1.56,1.24,8.76,0.0,45.9,2.6,9.27
2016,215.7,5.66,,0.61,1.63,0.66,,0.01,9.85,1.88,2.1,,3.88,1.91,1.26,5.5,0.97,0.93,1.51,1.97,4.54,19.85,3.23,1.93,2.18,23.98,1.87,6.91,5.27,11.33,11.77,10.75,1.96,20.43,6.6,0.95,0.24,0.56,,31.57,2.49,6.94
2015,1534.01,8.75,0.0,0.53,1.31,0.45,0.0,0.0,6.9,2.28,1.96,0.0,4.47,3.58,0.58,1.26,2.42,0.69,0.96,0.92,1.23,420.58,8.58,1.45,2.35,15.03,1.82,5.02,4.88,8.35,10.35,6.17,2.46,19.22,2.03,0.39,1.18,0.02,0.0,978.09,2.14,5.6
2014,178.38,9.7,0.0,0.24,1.42,0.56,0.0,0.0,6.89,2.65,2.82,0.0,4.43,1.55,0.34,1.89,1.1,0.38,0.83,0.2,6.79,15.0,6.42,2.27,1.62,24.66,2.42,7.06,11.2,10.74,6.94,4.66,0.79,15.82,6.1,0.06,0.45,0.57,0.0,18.02,1.04,0.76
2013,150.78,6.95,0.0,0.1,1.13,0.72,0.0,0.0,9.05,4.19,2.11,0.0,3.64,2.36,0.65,1.32,3.73,0.19,0.6,0.43,1.12,14.6,3.75,1.13,2.4,18.66,4.16,14.05,7.75,10.87,11.46,2.91,0.79,5.1,3.98,2.21,0.19,0.09,0.0,7.08,0.42,0.9
2012,131.94212,4.23287,,2.32998,1.63446,0.30248,,0.01512,8.86219,1.83206,2.2077,,6.75174,1.3456,0.39179,3.44352,1.03794,1.88018,1.09109,0.2615,7.95586,6.44352,3.61471,1.56498,1.0737,20.17357,4.07961,3.68178,8.40746,7.78612,4.97024,1.261,1.2378,3.176,1.5252,0.40895,0.0458,0.7005,0.0518,15.2706,0.4793,0.4134
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
