年份,私营工业企业流动负债合计,煤炭开采和洗选业私营工业企业流动负债合计,石油和天然气开采业私营工业企业流动负债合计,黑色金属矿采选业私营工业企业流动负债合计,有色金属矿采选业私营工业企业流动负债合计,非金属矿采选业私营工业企业流动负债合计,开采辅助活动私营工业企业流动负债合计,其他采矿业私营工业企业流动负债合计,农副食品加工业私营工业企业流动负债合计,食品制造业私营工业企业流动负债合计,酒、饮料和精制茶制造业私营工业企业流动负债合计,烟草制品业私营工业企业流动负债合计,纺织业私营工业企业流动负债合计,纺织服装、服饰业私营工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业私营工业企业流动负债合计,家具制造业私营工业企业流动负债合计,造纸和纸制品业私营工业企业流动负债合计,印刷和记录媒介复制业私营工业企业流动负债合计,文教、工美、体育和娱乐用品制造业私营工业企业流动负债合计,石油加工、炼焦和核燃料加工业私营工业企业流动负债合计,化学原料和化学制品制造业私营工业企业流动负债合计,医药制造业私营工业企业流动负债合计,化学纤维制造业私营工业企业流动负债合计,橡胶和塑料制品业私营工业企业流动负债合计,非金属矿物制品业私营工业企业流动负债合计,黑色金属冶炼和压延加工业私营工业企业流动负债合计,有色金属冶炼和压延加工业私营工业企业流动负债合计,金属制品业私营工业企业流动负债合计,通用设备制造业私营工业企业流动负债合计,专用设备制造业私营工业企业流动负债合计,汽车制造业私营工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备私营工业企业流动负债合计,电气机械和器材制造业私营工业企业流动负债合计,计算机、通信和其他电子设备制造业私营工业企业流动负债合计,仪器仪表制造业私营工业企业流动负债合计,其他制造业私营工业企业流动负债合计,废弃资源综合利用业私营工业企业流动负债合计,金属制品、机械和设备修理业私营工业企业流动负债合计,电力、热力生产和供应业私营工业企业流动负债合计,燃气生产和供应业私营工业企业流动负债合计,水的生产和供应业私营工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,104920.51,2410.56,12.83,968.05,465.0,499.27,23.25,4.54,4463.49,1532.41,1178.79,15.76,4872.1,2135.02,1034.85,1102.4,1103.81,1540.16,922.69,1640.15,3633.49,7202.14,1993.52,1210.0,3969.87,7989.32,7167.1,3972.61,5244.88,5336.09,4725.07,5382.64,1745.93,8599.31,6555.35,1261.61,233.66,534.29,54.44,1790.97,265.14,127.96
2016,98507.8,2326.91,9.51,1194.86,467.93,499.17,28.89,1.91,4665.32,1352.62,1075.17,8.3,5006.88,2199.21,1093.07,1122.84,1001.63,1469.26,895.89,1730.84,3128.73,7180.82,1797.12,1123.35,3626.92,7367.6,6519.31,4182.7,5158.23,4993.86,4363.04,4959.14,1773.99,7484.33,5298.06,985.63,225.08,459.0,55.45,1342.93,213.02,119.29
2015,95559.52,2481.61,14.75,1368.9,467.55,547.48,35.85,1.32,4753.04,1296.63,1015.64,14.44,5078.59,2228.63,1071.25,1108.89,921.16,1409.36,844.01,1726.52,3185.85,7212.51,1677.15,1251.65,3426.58,7323.98,6238.91,4238.09,4995.46,5057.11,4203.87,4293.43,1731.02,7070.5,4303.95,921.16,225.59,422.94,55.02,1016.64,221.23,101.25
2014,91066.68,2666.49,13.77,1547.45,483.78,401.23,31.77,1.64,4439.94,1198.79,974.48,16.85,5152.27,2134.69,1067.1,1025.38,862.9,1394.99,812.25,1718.55,3095.95,6953.04,1527.16,1212.82,3269.75,7152.95,6633.56,3916.36,5024.93,4924.25,3614.12,3521.2,1673.24,6754.64,3319.51,882.3,219.74,402.73,53.57,755.12,159.79,55.66
2013,84505.99,2614.58,11.9,1371.78,470.92,360.58,23.08,1.16,3963.01,1092.89,1001.36,17.87,4999.76,1952.16,1023.3,945.33,774.46,1356.94,770.08,1382.74,3064.37,6436.01,1264.03,1203.56,2994.02,6432.23,7352.27,3699.05,4433.38,4542.09,3345.22,2911.46,1564.45,6174.44,2746.05,807.34,195.69,348.48,43.26,665.0,104.72,44.98
2012,69251.50888,2185.53682,4.19076,1114.49577,404.63661,275.65287,14.815,2.00234,2998.9761,924.89,673.17298,6.50642,4496.16717,1698.96866,876.62892,785.95556,708.75606,1210.73416,587.91044,943.14207,2483.98798,4831.88891,955.26994,1074.78758,2528.8734,5096.72637,6019.61159,2921.45093,3755.66947,3880.65565,2677.03387,2628.97154,1447.89028,5363.48705,1829.42002,746.85869,170.67671,263.41512,45.84122,496.48865,77.98905,41.37615
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
