年份,私营工业企业负债合计,煤炭开采和洗选业私营工业企业负债合计,石油和天然气开采业私营工业企业负债合计,黑色金属矿采选业私营工业企业负债合计,有色金属矿采选业私营工业企业负债合计,非金属矿采选业私营工业企业负债合计,开采辅助活动私营工业企业负债合计,其他采矿业私营工业企业负债合计,农副食品加工业私营工业企业负债合计,食品制造业私营工业企业负债合计,酒、饮料和精制茶制造业私营工业企业负债合计,烟草制品业私营工业企业负债合计,纺织业私营工业企业负债合计,纺织服装、服饰业私营工业企业负债合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业负债合计,木材加工和木、竹、藤、棕、草制品业私营工业企业负债合计,家具制造业私营工业企业负债合计,造纸和纸制品业私营工业企业负债合计,印刷和记录媒介复制业私营工业企业负债合计,文教、工美、体育和娱乐用品制造业私营工业企业负债合计,石油加工、炼焦和核燃料加工业私营工业企业负债合计,化学原料和化学制品制造业私营工业企业负债合计,医药制造业私营工业企业负债合计,化学纤维制造业私营工业企业负债合计,橡胶和塑料制品业私营工业企业负债合计,非金属矿物制品业私营工业企业负债合计,黑色金属冶炼和压延加工业私营工业企业负债合计,有色金属冶炼和压延加工业私营工业企业负债合计,金属制品业私营工业企业负债合计,通用设备制造业私营工业企业负债合计,专用设备制造业私营工业企业负债合计,汽车制造业私营工业企业负债合计,铁路、船舶、航空航天和其他运输设备私营工业企业负债合计,电气机械和器材制造业私营工业企业负债合计,计算机、通信和其他电子设备制造业私营工业企业负债合计,仪器仪表制造业私营工业企业负债合计,其他制造业私营工业企业负债合计,废弃资源综合利用业私营工业企业负债合计,金属制品、机械和设备修理业私营工业企业负债合计,电力、热力生产和供应业私营工业企业负债合计,燃气生产和供应业私营工业企业负债合计,水的生产和供应业私营工业企业负债合计
2019,162348.89,3327.04,15.49,1231.91,477.64,763.3,82.92,1.8,6805.93,2328.28,1590.4,20.23,6471.11,2743.35,1718.98,1675.25,1818.75,2414.85,1365.11,2176.34,7797.66,9895.71,3414.01,1675.29,5693.89,13657.5,10216.34,6352.03,7945.75,7856.9,7551.71,7337.08,1959.07,13458.36,11252.97,1451.22,297.52,956.39,82.35,5388.03,741.99,338.44
2018,148739.48,3155.7,10.6,1177.1,595.7,651.1,51.1,2.4,5908.4,2048.7,1571.1,20.0,5942.1,2551.5,1274.8,1433.3,1371.3,1944.7,1130.1,1945.6,5449.5,9576.9,2772.4,1510.9,4653.6,10011.2,8040.5,4802.1,7164.3,6454.3,6210.8,6982.7,2037.7,10560.9,9037.3,1367.4,252.0,685.4,70.7,3831.5,409.3,218.2
2017,127610.46,3124.51,16.83,1183.66,621.38,652.22,25.54,5.43,5761.31,1921.89,1527.52,16.16,5651.23,2575.98,1243.46,1418.41,1320.61,1884.79,1095.99,1939.63,4571.25,9239.24,2579.01,1423.49,4684.65,9909.67,8465.21,4777.7,6132.85,6291.05,5745.77,6251.06,2089.37,9692.38,7376.64,1387.14,279.88,604.29,83.65,3465.21,371.11,203.29
2016,121386.12,3159.18,13.05,1503.2,603.99,691.41,33.02,3.25,6078.74,1724.41,1449.5,16.13,5834.6,2637.06,1295.46,1466.23,1224.65,1781.91,1083.88,2017.82,4077.89,9238.31,2454.54,1315.78,4343.75,9194.07,7616.99,5154.42,6051.98,5910.16,5409.04,5864.01,2195.43,8679.63,6188.79,1107.58,273.65,556.8,65.32,2530.82,327.67,211.98
2015,118651.48,3330.9,21.03,1701.53,616.69,712.33,39.18,2.79,6066.76,1645.65,1423.33,14.44,5999.13,2735.1,1266.51,1494.54,1110.86,1703.3,1009.22,2088.87,4000.29,9173.52,2269.48,1491.71,4048.59,9169.22,8141.23,5322.76,5866.13,5965.91,5232.97,5415.96,2071.22,8270.82,4871.11,1023.56,276.99,528.66,63.95,1920.79,366.99,177.45
2014,111130.1,3505.38,23.44,1926.75,613.21,558.35,35.36,2.56,5667.55,1538.5,1298.68,16.85,6106.54,2548.95,1249.69,1375.24,1039.0,1705.47,977.68,1943.67,3873.54,8697.6,2011.05,1453.84,3851.29,8946.6,7962.17,4914.38,5817.09,5732.38,4285.2,4111.98,2032.18,7907.14,3803.63,997.9,258.93,523.22,65.69,1408.71,235.45,107.24
2013,101333.98,3428.5,16.66,1666.5,583.5,487.3,25.09,2.29,4957.82,1408.13,1249.44,17.87,5848.32,2283.21,1176.13,1242.93,920.32,1618.94,922.42,1555.22,3782.56,7939.13,1641.38,1457.42,3516.57,7854.42,8292.32,4603.29,5162.34,5272.47,3912.21,3357.83,1884.53,7054.67,3140.49,911.78,217.98,412.68,57.9,1180.37,180.35,90.68
2012,82699.28,2763.3183,11.88733,1338.92051,484.46934,375.18399,16.57306,2.08041,3799.61583,1179.43335,883.64508,13.6963,5151.21292,2044.24042,999.14597,1011.70413,830.97762,1438.30222,704.17037,1100.04532,3011.31062,6008.49347,1246.63802,1228.20259,2982.65123,6371.93844,6930.32119,3446.90814,4339.12272,4424.25909,3080.68332,3107.51002,1720.71266,6102.80376,2100.17153,847.96138,187.2066,313.28137,58.04681,865.73746,103.29184,73.4046
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
