年份,私营工业企业财务费用,煤炭开采和洗选业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,开采辅助活动私营工业企业财务费用,其他采矿业私营工业企业财务费用,农副食品加工业私营工业企业财务费用,食品制造业私营工业企业财务费用,酒、饮料和精制茶制造业私营工业企业财务费用,烟草制品业私营工业企业财务费用,纺织业私营工业企业财务费用,纺织服装、服饰业私营工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业财务费用,木材加工和木、竹、藤、棕、草制品业私营工业企业财务费用,家具制造业私营工业企业财务费用,造纸和纸制品业私营工业企业财务费用,印刷和记录媒介复制业私营工业企业财务费用,文教、工美、体育和娱乐用品制造业私营工业企业财务费用,石油加工、炼焦和核燃料加工业私营工业企业财务费用,化学原料和化学制品制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,橡胶和塑料制品业私营工业企业财务费用,非金属矿物制品业私营工业企业财务费用,黑色金属冶炼和压延加工业私营工业企业财务费用,有色金属冶炼和压延加工业私营工业企业财务费用,金属制品业私营工业企业财务费用,通用设备制造业私营工业企业财务费用,专用设备制造业私营工业企业财务费用,汽车制造业私营工业企业财务费用,铁路、船舶、航空航天和其他运输设备私营工业企业财务费用,电气机械和器材制造业私营工业企业财务费用,计算机、通信和其他电子设备制造业私营工业企业财务费用,仪器仪表制造业私营工业企业财务费用,其他制造业私营工业企业财务费用,废弃资源综合利用业私营工业企业财务费用,金属制品、机械和设备修理业私营工业企业财务费用,电力、热力生产和供应业私营工业企业财务费用,燃气生产和供应业私营工业企业财务费用,水的生产和供应业私营工业企业财务费用
2019,3197.97,61.42,0.14,27.94,10.23,20.87,1.59,0.14,179.29,56.36,48.29,0.12,166.93,60.99,52.99,43.77,31.78,61.56,32.64,51.69,125.7,229.26,85,53.64,130.88,286.48,158.86,140.11,168.41,146.54,112.73,128.66,30.69,182.72,83.34,19.08,6.21,18.29,1.65,155.58,16.5,8.91
2018,3263.43,68.1,0.2,25.4,15.0,22.8,1.0,0.1,184.8,57.6,50.1,0.1,165.6,60.4,48.3,48.0,28.3,51.3,29.1,46.6,125.2,246.4,65.6,47.5,114.8,255.6,167.6,127.4,169.9,141.8,111.4,136.2,31.1,172.3,66.2,21.5,6.3,13.5,1.2,108.4,7.8,5.7
2017,3550.83,73.91,0.21,28.02,15.98,23.46,0.31,0.11,219.8,67.8,59.14,0.2,195.35,80.83,57.03,62.09,40.6,59.37,34.71,60.39,114.82,293.13,86.59,48.47,151.23,290.97,196.59,141.36,174.04,177.73,154.6,141.45,44.09,218.27,79.37,28.47,9.15,12.73,2.06,93.48,6.89,6.04
2016,3506.21,68.6,0.09,41.52,19.3,28.52,0.65,0.36,244.17,64.4,56.59,0.15,215.46,80.46,50.79,71.19,36.19,57.16,34.85,58.97,100.47,301.19,75.23,47.62,155.31,293.4,173.5,138.47,175.75,172.74,149.99,132.7,47.89,202.26,73.3,27.18,9.63,13.53,1.74,69.93,8.34,6.64
2015,3602.95,83.41,0.63,45.97,18.42,27.81,0.73,0.42,253.21,64.25,57.25,0.18,230.77,79.72,55.21,70.62,34.93,57.48,36.81,58.21,95.68,325.2,73.28,52.64,146.7,291.83,194.28,139.45,181.27,187.47,151.72,130.38,49.23,215.13,70.85,27.89,9.54,10.38,2.02,59.18,7.43,5.36
2014,3717.69,100.61,0.37,62.3,19.53,25.51,0.58,0.27,258.1,65.59,52.53,0.49,246.83,82.48,60.76,69.13,37.3,61.07,36.38,58.48,119.17,316.82,69.86,52.91,145.79,295.86,227.28,143.55,192.56,194.68,132.71,116.66,51.37,236.87,74.84,28.96,9.34,10.19,1.87,49.1,4.79,4.23
2013,3471.55,98.44,0.53,61.22,17.27,25.31,0.61,0.15,248.51,58.85,43.85,0.44,244.78,79.2,56.75,62.88,36.78,57.2,33.25,55.29,99.09,286.93,58.49,44.9,135.59,267.18,227.91,152.25,181.09,183.13,122.63,101.56,45.09,225.61,69.21,24.8,8.84,7.57,1.44,38.91,4.07,3.94
2012,2921.53923,84.32592,0.46635,45.33677,16.20684,17.6966,0.60978,0.09687,187.37833,53.05353,37.28196,0.30424,216.73418,70.96531,53.27144,55.22857,29.36325,56.36745,25.61785,40.1428,86.5917,221.16458,38.90822,47.2411,110.16035,221.02862,210.68436,114.46573,151.8842,155.04281,102.90908,101.97238,39.93251,201.36085,51.85279,24.11391,9.19062,7.08543,1.31515,28.68864,2.61273,2.88543
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
