年份,规模以上工业企业外商资本金,煤炭采选业规模以上工业企业外商资本金,石油和天然气开采业规模以上工业企业外商资本金,黑色金属矿采选业规模以上工业企业外商资本金,有色金属矿采选业规模以上工业企业外商资本金,非金属矿采选业规模以上工业企业外商资本金,其他矿采选业规模以上工业企业外商资本金,木材及竹材采运业规模以上工业企业外商资本金,食品加工业规模以上工业企业外商资本金,食品制造业规模以上工业企业外商资本金,饮料制造业规模以上工业企业外商资本金,烟草加工业规模以上工业企业外商资本金,纺织业规模以上工业企业外商资本金,服装及其他纤维制品制造业规模以上工业企业外商资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业外商资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业外商资本金,家具制造业规模以上工业企业外商资本金,造纸及纸制品业规模以上工业企业外商资本金,印刷业、记录媒介的复制规模以上工业企业外商资本金,文教体育用品制造业规模以上工业企业外商资本金,石油加工及炼焦业规模以上工业企业外商资本金,化学原料及化学制品制造业规模以上工业企业外商资本金,医药制造业规模以上工业企业外商资本金,化学纤维制造业规模以上工业企业外商资本金,橡胶制品业规模以上工业企业外商资本金,塑料制品业规模以上工业企业外商资本金,非金属矿物制造业规模以上工业企业外商资本金,黑色金属冶炼及压延加工业规模以上工业企业外商资本金,有色金属冶炼及压延加工业规模以上工业企业外商资本金,金属制品业规模以上工业企业外商资本金,普通机械制造业规模以上工业企业外商资本金,专用设备制造业规模以上工业企业外商资本金,交通运输设备制造业规模以上工业企业外商资本金,电气机械及器材制造业规模以上工业企业外商资本金,电子及通信设备制造业规模以上工业企业外商资本金,仪器仪表及文化办公用机械制造业规模以上工业企业外商资本金,其它制造业规模以上工业企业外商资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业外商资本金,煤气生产和供应业规模以上工业企业外商资本金,自来水的生产和供应业规模以上工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5286.65074,3.45624,25.41093,0.008,0.46709,4.69678,,0.0096,140.45942,219.51829,194.14452,1.30273,228.51694,123.40107,61.35126,39.28381,27.63073,193.91009,36.20771,48.86275,52.96467,389.88314,128.60785,64.45326,110.46773,181.61055,254.07426,61.56073,49.27597,195.13867,286.1364,101.396,401.87585,384.64882,876.58998,98.18545,68.89508,203.78457,12.30054,16.07326
2001,4489.57474,3.51139,0.17168,0.04588,0.70061,2.98374,,0.0096,120.03661,194.35238,182.14314,2.31223,174.64362,107.12179,54.41067,40.0335,21.44978,165.21591,31.34717,35.3115,35.96696,361.75501,94.859,46.72077,80.72069,137.43213,234.29716,54.02621,42.14234,161.85649,272.01185,98.03954,362.85152,347.67426,679.71931,78.87699,45.7601,201.47984,13.33107,4.1444
2000,3987.57051,2.64494,,0.0331,0.51268,4.68676,,0.0096,120.03785,163.58202,170.29805,1.45572,152.35513,94.23113,46.17318,34.63965,21.72517,157.57577,26.74663,34.79266,21.50456,306.9543,85.72866,52.21799,74.66396,121.39644,228.26786,49.52515,32.42209,160.1092,230.88273,75.40451,326.98632,301.06016,600.60114,69.13913,39.81476,168.50211,6.58536,4.30404
