年份,规模以上工业企业法人资本金,煤炭采选业规模以上工业企业法人资本金,石油和天然气开采业规模以上工业企业法人资本金,黑色金属矿采选业规模以上工业企业法人资本金,有色金属矿采选业规模以上工业企业法人资本金,非金属矿采选业规模以上工业企业法人资本金,其他矿采选业规模以上工业企业法人资本金,木材及竹材采运业规模以上工业企业法人资本金,食品加工业规模以上工业企业法人资本金,食品制造业规模以上工业企业法人资本金,饮料制造业规模以上工业企业法人资本金,烟草加工业规模以上工业企业法人资本金,纺织业规模以上工业企业法人资本金,服装及其他纤维制品制造业规模以上工业企业法人资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业法人资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业法人资本金,家具制造业规模以上工业企业法人资本金,造纸及纸制品业规模以上工业企业法人资本金,印刷业、记录媒介的复制规模以上工业企业法人资本金,文教体育用品制造业规模以上工业企业法人资本金,石油加工及炼焦业规模以上工业企业法人资本金,化学原料及化学制品制造业规模以上工业企业法人资本金,医药制造业规模以上工业企业法人资本金,化学纤维制造业规模以上工业企业法人资本金,橡胶制品业规模以上工业企业法人资本金,塑料制品业规模以上工业企业法人资本金,非金属矿物制造业规模以上工业企业法人资本金,黑色金属冶炼及压延加工业规模以上工业企业法人资本金,有色金属冶炼及压延加工业规模以上工业企业法人资本金,金属制品业规模以上工业企业法人资本金,普通机械制造业规模以上工业企业法人资本金,专用设备制造业规模以上工业企业法人资本金,交通运输设备制造业规模以上工业企业法人资本金,电气机械及器材制造业规模以上工业企业法人资本金,电子及通信设备制造业规模以上工业企业法人资本金,仪器仪表及文化办公用机械制造业规模以上工业企业法人资本金,其它制造业规模以上工业企业法人资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业法人资本金,煤气生产和供应业规模以上工业企业法人资本金,自来水的生产和供应业规模以上工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,10822.70742,254.52114,817.05594,22.29372,31.27122,51.60201,0.22738,8.1862,191.3024,129.93098,182.39065,15.51977,348.32069,112.81851,52.11155,65.15255,35.54648,119.84476,82.00503,26.80146,492.34125,920.13187,352.49979,136.52324,62.79263,154.8723,507.56923,538.00302,224.4354,164.11128,351.55246,248.94826,902.00951,385.00434,564.35589,81.19372,44.73715,1948.33071,28.34208,43.26109
2001,9011.96767,167.30791,205.61843,9.7925,25.45023,26.94157,0.08358,5.69663,166.29131,109.52252,149.87377,13.72554,314.13234,89.94596,48.05757,60.92759,31.07547,105.38667,64.47858,22.85284,486.67962,725.49475,270.98106,124.22301,49.01554,128.90685,453.6165,442.10378,248.60651,171.47822,317.04512,229.83064,920.96315,337.63802,471.96017,71.78701,40.11954,1684.68651,18.53387,74.60992
2000,7458.61414,77.4161,214.41136,6.76263,25.8553,25.8495,0.08538,2.65199,124.80178,91.73981,115.28182,9.26982,278.05343,87.51364,46.05873,51.49568,25.56081,90.22243,53.09895,19.85153,431.02523,445.15088,209.09262,98.38307,39.17794,117.54418,365.85022,358.88708,237.50984,127.06194,279.95691,184.11317,609.51108,315.04006,379.58004,65.46519,37.63811,1647.15189,6.64564,44.9045
