年份,规模以上工业企业流动负债合计,煤炭采选业规模以上工业企业流动负债合计,石油和天然气开采业规模以上工业企业流动负债合计,黑色金属矿采选业规模以上工业企业流动负债合计,有色金属矿采选业规模以上工业企业流动负债合计,非金属矿采选业规模以上工业企业流动负债合计,其他矿采选业规模以上工业企业流动负债合计,木材及竹材采运业规模以上工业企业流动负债合计,食品加工业规模以上工业企业流动负债合计,食品制造业规模以上工业企业流动负债合计,饮料制造业规模以上工业企业流动负债合计,烟草加工业规模以上工业企业流动负债合计,纺织业规模以上工业企业流动负债合计,服装及其他纤维制品制造业规模以上工业企业流动负债合计,皮革、毛皮、羽绒及其制品业规模以上工业企业流动负债合计,木材加工及竹、藤、棕、草制品业规模以上工业企业流动负债合计,家具制造业规模以上工业企业流动负债合计,造纸及纸制品业规模以上工业企业流动负债合计,印刷业、记录媒介的复制规模以上工业企业流动负债合计,文教体育用品制造业规模以上工业企业流动负债合计,石油加工及炼焦业规模以上工业企业流动负债合计,化学原料及化学制品制造业规模以上工业企业流动负债合计,医药制造业规模以上工业企业流动负债合计,化学纤维制造业规模以上工业企业流动负债合计,橡胶制品业规模以上工业企业流动负债合计,塑料制品业规模以上工业企业流动负债合计,非金属矿物制造业规模以上工业企业流动负债合计,黑色金属冶炼及压延加工业规模以上工业企业流动负债合计,有色金属冶炼及压延加工业规模以上工业企业流动负债合计,金属制品业规模以上工业企业流动负债合计,普通机械制造业规模以上工业企业流动负债合计,专用设备制造业规模以上工业企业流动负债合计,交通运输设备制造业规模以上工业企业流动负债合计,电气机械及器材制造业规模以上工业企业流动负债合计,电子及通信设备制造业规模以上工业企业流动负债合计,仪器仪表及文化办公用机械制造业规模以上工业企业流动负债合计,其它制造业规模以上工业企业流动负债合计,电力、蒸汽、热水的生产和供应业规模以上工业企业流动负债合计,煤气生产和供应业规模以上工业企业流动负债合计,自来水的生产和供应业规模以上工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,61663.06316,1773.87752,906.2723,158.06383,246.13961,274.08522,2.49224,215.16949,1871.02003,982.77447,1399.07444,1098.00391,3479.33784,1064.23754,624.86604,365.44167,216.29752,1311.01259,503.64882,320.50621,1449.7656,4083.80163,1645.52862,606.06492,620.99417,1167.87947,3085.70124,3881.83708,1562.00804,1592.85531,2878.835,2015.81306,5093.80236,3306.26678,4983.14204,601.68539,447.52984,4809.09061,222.77982,416.65751
2001,56138.72427,1547.32597,852.18459,135.57904,232.60361,261.51148,1.77372,208.73802,1766.02962,880.7977,1325.53836,1117.86476,3309.53604,979.56781,582.36052,345.9284,187.34718,1177.61386,512.54575,263.07398,1450.04769,3743.63266,1447.74293,563.78131,592.2266,1032.09541,2850.60859,3524.63119,1437.84207,1438.8767,2640.15762,1803.76706,4451.06983,3007.74961,4188.5485,544.97105,409.98479,4423.10178,179.65985,352.88042
2000,53052.6403,1439.86847,805.0392,112.16249,228.03811,259.33642,1.97179,214.356,1828.03794,845.45218,1328.56502,787.25451,3253.10936,923.43891,560.28545,332.6822,173.44209,1115.57385,428.14268,261.5807,1410.85076,3670.81301,1269.41279,632.8888,545.62471,955.06311,2819.18258,3473.51607,1285.03781,1378.88197,2505.94458,1772.16894,4047.61862,2821.75198,3836.59277,510.70289,385.50937,3958.24265,179.84304,316.47865
