年份,规模以上工业企业集体资本金,煤炭采选业规模以上工业企业集体资本金,石油和天然气开采业规模以上工业企业集体资本金,黑色金属矿采选业规模以上工业企业集体资本金,有色金属矿采选业规模以上工业企业集体资本金,非金属矿采选业规模以上工业企业集体资本金,其他矿采选业规模以上工业企业集体资本金,木材及竹材采运业规模以上工业企业集体资本金,食品加工业规模以上工业企业集体资本金,食品制造业规模以上工业企业集体资本金,饮料制造业规模以上工业企业集体资本金,烟草加工业规模以上工业企业集体资本金,纺织业规模以上工业企业集体资本金,服装及其他纤维制品制造业规模以上工业企业集体资本金,皮革、毛皮、羽绒及其制品业规模以上工业企业集体资本金,木材加工及竹、藤、棕、草制品业规模以上工业企业集体资本金,家具制造业规模以上工业企业集体资本金,造纸及纸制品业规模以上工业企业集体资本金,印刷业、记录媒介的复制规模以上工业企业集体资本金,文教体育用品制造业规模以上工业企业集体资本金,石油加工及炼焦业规模以上工业企业集体资本金,化学原料及化学制品制造业规模以上工业企业集体资本金,医药制造业规模以上工业企业集体资本金,化学纤维制造业规模以上工业企业集体资本金,橡胶制品业规模以上工业企业集体资本金,塑料制品业规模以上工业企业集体资本金,非金属矿物制造业规模以上工业企业集体资本金,黑色金属冶炼及压延加工业规模以上工业企业集体资本金,有色金属冶炼及压延加工业规模以上工业企业集体资本金,金属制品业规模以上工业企业集体资本金,普通机械制造业规模以上工业企业集体资本金,专用设备制造业规模以上工业企业集体资本金,交通运输设备制造业规模以上工业企业集体资本金,电气机械及器材制造业规模以上工业企业集体资本金,电子及通信设备制造业规模以上工业企业集体资本金,仪器仪表及文化办公用机械制造业规模以上工业企业集体资本金,其它制造业规模以上工业企业集体资本金,电力、蒸汽、热水的生产和供应业规模以上工业企业集体资本金,煤气生产和供应业规模以上工业企业集体资本金,自来水的生产和供应业规模以上工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2155.61326,52.25747,0.29369,9.42059,24.00709,14.57115,0.06781,0.09214,89.42537,46.90108,35.61714,3.39792,181.94717,77.85675,22.73947,17.78791,11.87565,69.81216,26.69951,14.89846,25.93399,146.95977,56.52636,20.53135,24.20407,87.16269,222.11912,100.28946,48.13737,104.71449,96.72496,63.61364,134.56073,141.03829,42.58319,15.17522,30.58727,78.55324,1.82037,14.53565
2001,2291.54148,45.1358,6.12343,9.74795,23.35425,18.76239,0.04091,0.12007,85.68601,50.23613,35.34664,3.6487,206.11138,83.52307,27.82008,20.08938,14.86146,73.84179,28.91104,14.71948,25.84653,151.91215,57.67086,35.39646,26.51471,95.58767,247.15175,96.83279,47.39889,115.24981,107.442,76.22423,101.1625,158.8893,51.18773,15.41291,35.49197,83.21755,1.00683,13.55508
2000,2568.29352,49.64496,0.93915,9.30852,22.27802,20.75103,0.12831,0.24638,94.95149,48.59771,43.4226,3.98266,236.49992,101.54953,38.85789,21.46837,19.80324,81.37599,36.66029,18.79812,28.59463,154.80113,49.54841,34.71605,27.7202,104.21011,260.25454,107.82565,63.70977,134.01828,127.81057,92.36311,120.55842,201.26348,56.51193,18.64134,41.54996,78.97383,0.66357,14.94084
