年份,规模以上工业企业主营业务成本,煤炭开采和洗选业规模以上工业企业主营业务成本,石油和天然气开采业规模以上工业企业主营业务成本,黑色金属矿采选业规模以上工业企业主营业务成本,有色金属矿采选业规模以上工业企业主营业务成本,非金属矿采选业规模以上工业企业主营业务成本,其他采矿业规模以上工业企业主营业务成本,农副食品加工业规模以上工业企业主营业务成本,食品制造业规模以上工业企业主营业务成本,饮料制造业规模以上工业企业主营业务成本,烟草制品业规模以上工业企业主营业务成本,纺织业规模以上工业企业主营业务成本,纺织服装、鞋、帽制造业规模以上工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务成本,家具制造业规模以上工业企业主营业务成本,造纸及纸制品业规模以上工业企业主营业务成本,印刷业和记录媒介的复制规模以上工业企业主营业务成本,文教体育用品制造业规模以上工业企业主营业务成本,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务成本,化学原料及化学制品制造业规模以上工业企业主营业务成本,医药制造业规模以上工业企业主营业务成本,化学纤维制造业规模以上工业企业主营业务成本,橡胶制品业规模以上工业企业主营业务成本,塑料制品业规模以上工业企业主营业务成本,非金属矿物制品业规模以上工业企业主营业务成本,黑色金属冶炼及压延加工业规模以上工业企业主营业务成本,有色金属冶炼及压延加工业规模以上工业企业主营业务成本,金属制品业规模以上工业企业主营业务成本,通用设备制造业规模以上工业企业主营业务成本,专用设备制造业规模以上工业企业主营业务成本,交通运输设备制造业规模以上工业企业主营业务成本,电气机械及器材制造业规模以上工业企业主营业务成本,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务成本,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务成本,工艺品及其他制造业规模以上工业企业主营业务成本,废弃资源和废旧材料回收加工业规模以上工业企业主营业务成本,电力、热力的生产和供应业规模以上工业企业主营业务成本,燃气生产和供应业规模以上工业企业主营业务成本,水的生产和供应业规模以上工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,708091.99,22632.84051,6075.8035,6209.74878,3672.7804,2916.73155,11.80183,38437.31074,10921.33407,8581.47363,1856.69578,28349.0215,11020.46998,7339.19569,7485.96525,4132.90382,10146.11812,3081.50215,2696.23692,32634.68858,50478.6769,10277.29809,6005.38221,6264.54656,13089.1795,32422.80724,60285.0265,32977.04634,19706.29329,33512.25647,21353.46932,52892.53748,42545.11595,56534.98773,6136.70053,6246.0296,2356.31327,43215.4623,2718.11716,872.12575
2010,585256.8,16788.73527,5729.86999,4722.33773,2921.11751,2360.55872,24.77594,30338.52512,8760.31049,6669.3569,1737.76669,24709.88237,10067.38182,6547.28589,6110.61127,3625.30655,8727.67163,2835.04272,2637.33522,24200.53041,39710.49707,7902.41666,4456.75225,4986.42349,11653.67686,25862.06548,49814.60095,26124.8521,16835.48013,28726.14699,17475.23912,45872.97366,35494.97764,48920.84456,5209.70532,4909.36884,2132.27415,36755.15558,2045.57072,853.37776
2009,457510.01,12607.03436,4777.94309,2789.84495,2228.82719,1749.61504,12.62201,24296.86603,6947.43984,5398.60704,1490.908,19869.19563,8625.95288,5343.47416,4819.10271,2834.83155,6843.45114,2353.49355,2229.09432,16968.13078,30633.34671,6262.7304,3457.52091,3894.44944,9130.25903,20118.98961,40228.77284,18978.62297,13364.63686,22406.56838,13676.85563,34414.44749,27224.44346,39411.19813,4059.59826,3793.09847,1313.67202,30643.36554,1590.14227,720.85412
2008,423295.75,10284.60604,4964.9853,2534.50276,2021.01433,1371.07523,7.66161,20698.29709,5872.89912,4416.53651,1316.72589,18318.82954,7695.12669,4899.2002,3957.98077,2549.18615,6488.89625,2139.5755,2110.86597,22202.68252,28149.13417,5061.98258,3586.4287,3585.88222,8323.26098,16894.42902,41378.28123,18543.11013,12635.4209,19934.73059,11709.09581,27878.95456,24845.16978,38545.74027,4058.87324,3455.00508,1028.2891,27817.99637,1365.62434,647.69736
