年份,规模以上工业亏损企业亏损总额,煤炭开采和洗选业规模以上工业亏损企业亏损总额,石油和天然气开采业规模以上工业亏损企业亏损总额,黑色金属矿采选业规模以上工业亏损企业亏损总额,有色金属矿采选业规模以上工业亏损企业亏损总额,非金属矿采选业规模以上工业亏损企业亏损总额,其他采矿业规模以上工业亏损企业亏损总额,农副食品加工业规模以上工业亏损企业亏损总额,食品制造业规模以上工业亏损企业亏损总额,饮料制造业规模以上工业亏损企业亏损总额,烟草制品业规模以上工业亏损企业亏损总额,纺织业规模以上工业亏损企业亏损总额,纺织服装、鞋、帽制造业规模以上工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业规模以上工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业规模以上工业亏损企业亏损总额,家具制造业规模以上工业亏损企业亏损总额,造纸及纸制品业规模以上工业亏损企业亏损总额,印刷业和记录媒介的复制规模以上工业亏损企业亏损总额,文教体育用品制造业规模以上工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业规模以上工业亏损企业亏损总额,化学原料及化学制品制造业规模以上工业亏损企业亏损总额,医药制造业规模以上工业亏损企业亏损总额,化学纤维制造业规模以上工业亏损企业亏损总额,橡胶制品业规模以上工业亏损企业亏损总额,塑料制品业规模以上工业亏损企业亏损总额,非金属矿物制品业规模以上工业亏损企业亏损总额,黑色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,有色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,金属制品业规模以上工业亏损企业亏损总额,通用设备制造业规模以上工业亏损企业亏损总额,专用设备制造业规模以上工业亏损企业亏损总额,交通运输设备制造业规模以上工业亏损企业亏损总额,电气机械及器材制造业规模以上工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造规模以上工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业规模以上工业亏损企业亏损总额,工艺品及其他制造业规模以上工业亏损企业亏损总额,废弃资源和废旧材料回收加工业规模以上工业亏损企业亏损总额,电力、热力的生产和供应业规模以上工业亏损企业亏损总额,燃气生产和供应业规模以上工业亏损企业亏损总额,水的生产和供应业规模以上工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3913.21216,73.40312,167.84655,23.2357,7.0936,3.75246,0.0157,70.70197,42.7177,54.0517,0.28777,72.15906,23.33951,14.9841,15.59315,12.50839,43.6424,13.23593,12.3331,752.09039,295.65254,34.86275,29.20364,24.44341,48.22887,120.89649,238.92014,147.35076,47.31181,79.76669,88.11386,184.3791,162.76188,243.41844,18.2069,12.3142,5.07464,673.31969,9.30468,46.68937
2010,2359.17518,70.36787,126.28313,10.75331,8.69928,4.79531,0.07545,46.54187,45.17112,49.15626,1.54814,51.52816,26.31003,9.27683,15.73437,9.92253,35.61477,14.31929,10.45251,126.87493,225.57379,35.07928,6.6808,12.87602,37.704,88.42819,154.05426,90.14997,41.92084,67.17699,60.17805,103.36999,87.06801,165.20467,12.82032,10.17074,4.4694,424.6116,10.68164,57.53146
2009,3281.03453,62.39324,146.27638,30.73404,14.92019,6.22159,0.00657,52.33487,39.3911,53.27637,0.47165,83.87738,32.55759,16.50637,20.22652,13.46969,57.41918,15.86753,13.50875,118.95212,371.98497,38.8747,20.92068,11.14992,50.25527,122.53544,238.36572,151.26637,66.16995,106.2166,83.60985,136.27141,90.53189,344.01185,20.8044,13.1985,7.87966,565.66937,11.77357,51.13328
2008,5295.59197,46.37187,68.62954,11.40329,12.73756,5.03251,0.06434,72.72988,59.4689,54.06357,1.18825,115.0436,44.84798,18.20551,18.31966,19.48828,49.97307,16.53392,21.5308,1552.30138,454.89325,42.65245,74.9588,30.20027,58.2356,122.26912,302.94762,204.43998,58.27014,93.9548,81.75762,147.68079,105.54958,301.57209,23.78784,17.56743,12.14471,907.60711,19.43585,47.73301
2007,1970.70986,40.14376,19.11475,4.95696,6.97978,4.18329,0.03669,33.5598,31.79125,44.92495,1.07799,76.74116,28.58909,13.52881,14.49658,10.59702,32.20306,12.11816,13.49293,380.31424,126.52582,44.56826,23.22617,15.43334,39.31689,100.05381,47.8884,45.14107,37.47516,53.18699,44.82499,108.16588,72.30883,202.44099,14.52305,8.83563,1.05067,171.30608,14.68276,30.9048
