年份,规模以上工业企业应收账款净额,煤炭开采和洗选业规模以上工业企业应收账款净额,石油和天然气开采业规模以上工业企业应收账款净额,黑色金属矿采选业规模以上工业企业应收账款净额,有色金属矿采选业规模以上工业企业应收账款净额,非金属矿采选业规模以上工业企业应收账款净额,其他采矿业规模以上工业企业应收账款净额,农副食品加工业规模以上工业企业应收账款净额,食品制造业规模以上工业企业应收账款净额,饮料制造业规模以上工业企业应收账款净额,烟草制品业规模以上工业企业应收账款净额,纺织业规模以上工业企业应收账款净额,纺织服装、鞋、帽制造业规模以上工业企业应收账款净额,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业应收账款净额,木材加工及木、竹、藤、棕、草制品业规模以上工业企业应收账款净额,家具制造业规模以上工业企业应收账款净额,造纸及纸制品业规模以上工业企业应收账款净额,印刷业和记录媒介的复制规模以上工业企业应收账款净额,文教体育用品制造业规模以上工业企业应收账款净额,石油加工、炼焦及核燃料加工业规模以上工业企业应收账款净额,化学原料及化学制品制造业规模以上工业企业应收账款净额,医药制造业规模以上工业企业应收账款净额,化学纤维制造业规模以上工业企业应收账款净额,橡胶制品业规模以上工业企业应收账款净额,塑料制品业规模以上工业企业应收账款净额,非金属矿物制品业规模以上工业企业应收账款净额,黑色金属冶炼及压延加工业规模以上工业企业应收账款净额,有色金属冶炼及压延加工业规模以上工业企业应收账款净额,金属制品业规模以上工业企业应收账款净额,通用设备制造业规模以上工业企业应收账款净额,专用设备制造业规模以上工业企业应收账款净额,交通运输设备制造业规模以上工业企业应收账款净额,电气机械及器材制造业规模以上工业企业应收账款净额,通信设备、计算机及其他电子设备制造规模以上工业企业应收账款净额,仪器仪表及文化、办公用机械制造业规模以上工业企业应收账款净额,工艺品及其他制造业规模以上工业企业应收账款净额,废弃资源和废旧材料回收加工业规模以上工业企业应收账款净额,电力、热力的生产和供应业规模以上工业企业应收账款净额,燃气生产和供应业规模以上工业企业应收账款净额,水的生产和供应业规模以上工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,70502.00153,2313.40293,487.04569,500.68503,181.46714,141.46945,1.11856,1421.42467,882.74821,552.95746,269.33382,2067.42353,1043.32264,744.37654,337.29388,363.15149,1077.16612,464.71688,270.56519,852.96351,3923.65028,1484.48215,304.22448,660.09919,1529.59249,3324.92304,2054.63278,1635.5317,2366.63936,5266.2716,4207.12972,6863.96147,7997.44291,10332.60531,1288.67798,559.93885,197.82627,2224.90212,150.91236,155.92473
2010,61441.24994,1778.60513,405.0782,424.68082,172.90376,133.0947,1.50812,1190.80528,713.89785,460.86078,246.60045,1896.54266,939.87201,706.28316,305.07455,348.84031,988.962,484.1995,281.39807,750.98028,3427.35362,1252.27255,232.34791,568.3691,1499.54217,2707.69539,1765.87207,1417.99247,2232.58575,4839.85047,3557.49816,5817.16419,6667.09332,9253.3734,1112.3228,498.49938,146.09387,1948.31966,109.7915,157.02453
2009,51399.82198,1314.24259,524.20307,284.11869,151.01645,121.88165,0.29024,990.49258,606.76529,423.6385,220.68079,1737.21323,848.27842,534.29431,252.09093,281.56543,804.31388,403.40609,264.87232,565.52328,2803.54846,1076.63537,192.28392,484.9605,1263.72994,2210.92221,1537.63461,1124.6575,1805.86663,3954.72297,2723.24588,4741.43076,5116.52417,7923.85456,919.78132,423.38006,90.67674,1741.94374,800.47203,134.66287
2008,43933.81631,1137.07906,501.18319,339.43386,145.14905,122.88037,0.43998,891.03125,567.45777,366.24089,137.6916,1653.82895,800.87393,490.45262,250.96992,241.26681,792.16472,385.29194,242.17857,572.64389,2403.53566,931.95271,191.9027,452.86718,1178.83579,1945.33572,1419.37081,1030.74731,1650.69835,3446.1527,2314.81933,3484.75673,4367.83275,6471.77409,779.02822,378.77986,74.10198,1555.09126,82.31775,135.65704
2007,38690.57805,778.13567,366.07544,178.46111,130.19991,89.80352,0.36578,738.32474,477.05242,317.26198,150.9637,1509.39151,662.62577,460.34792,186.06607,217.63779,746.79756,326.97217,222.23418,465.27369,2226.56977,848.23462,205.09631,378.12999,1032.80529,1562.75834,1216.04134,947.5842,1335.74928,2767.77427,1777.0823,3084.8326,3805.83709,6746.2438,676.09682,327.26791,47.70575,1505.94523,61.67675,113.15546
