年份,规模以上工业企业产成品,煤炭开采和洗选业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,开采辅助活动规模以上工业企业产成品,其他采矿业规模以上工业企业产成品,农副食品加工业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,酒、饮料和精制茶制造业规模以上工业企业产成品,烟草制品业规模以上工业企业产成品,纺织业规模以上工业企业产成品,纺织服装、服饰业规模以上工业企业产成品,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业产成品,木材加工和木、竹、藤、棕、草制品业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,造纸和纸制品业规模以上工业企业产成品,印刷和记录媒介复制业规模以上工业企业产成品,文教、工美、体育和娱乐用品制造业规模以上工业企业产成品,石油加工、炼焦和核燃料加工业规模以上工业企业产成品,化学原料和化学制品制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,橡胶和塑料制品业规模以上工业企业产成品,非金属矿物制品业规模以上工业企业产成品,黑色金属冶炼和压延加工业规模以上工业企业产成品,有色金属冶炼和压延加工业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,通用设备制造业规模以上工业企业产成品,专用设备制造业规模以上工业企业产成品,汽车制造业规模以上工业企业产成品,铁路、船舶、航空航天和其他运输设备规模以上工业企业产成品,电气机械和器材制造业规模以上工业企业产成品,计算机、通信和其他电子设备制造业规模以上工业企业产成品,仪器仪表制造业规模以上工业企业产成品,其他制造业规模以上工业企业产成品,废弃资源综合利用业规模以上工业企业产成品,金属制品、机械和设备修理业规模以上工业企业产成品,电力、热力生产和供应业规模以上工业企业产成品,燃气生产和供应业规模以上工业企业产成品,水的生产和供应业规模以上工业企业产成品
2019,44060.17,545.02,100.31,144.11,135.24,126.32,16.71,0.47,2116.03,792.14,947.89,250.35,1545.29,951.3,424.62,350.5,325.31,499.34,263.02,1085.16,1307.97,2788.62,1919.17,468.99,1319.75,2201.8,2276.96,1629.24,1749.02,2578.16,2403.17,3385.99,707.99,3452.29,4253.57,501.2,103.98,193.98,24.81,68.58,81.04,24.72
2018,43987.65,665.7,101.7,152.3,160.0,114.2,8.9,0.6,2021.5,747.3,920.0,345.2,1478.4,1020.3,397.7,350.2,303.7,569.7,241.4,1004.1,1364.3,2962.3,1795.9,467.0,1269.9,2024.1,2298.0,1682.2,1583.5,2386.8,2192.0,3315.8,521.0,3567.9,4222.0,455.1,72.4,192.9,15.9,44.3,63.2,20.0
2017,42393.68,749.65,96.97,178.19,178.1,124.33,8.3,0.66,2123.06,712.05,876.8,305.59,1432.19,972.71,400.17,372.85,318.61,518.26,251.52,933.69,1163.46,2854.18,1579.58,390.74,1271.14,2049.44,2508.76,1849.67,1415.53,2336.85,2041.81,3379.96,627.98,3606.48,3823.7,486.88,100.79,139.0,26.13,93.44,75.19,19.29
2016,40492.79,846.32,94.62,201.87,202.11,157.57,12.12,0.55,2156.74,715.69,907.04,281.02,1488.12,1033.55,429.83,391.55,305.52,432.44,239.31,906.72,1064.45,2772.2,1418.58,343.7,1202.42,1989.32,2461.06,1753.38,1450.0,2304.12,1851.98,3013.71,674.65,3110.04,3462.0,407.58,119.08,114.37,23.17,92.41,51.18,10.72
2015,39501.15,979.08,99.38,267.77,218.23,155.75,13.21,0.36,2116.48,674.15,839.57,362.67,1553.16,1001.43,437.34,412.73,303.18,494.5,227.41,809.11,968.65,2920.53,1313.32,398.37,1195.74,1961.79,2429.09,1818.38,1419.44,2290.99,1825.69,2545.99,613.42,2923.73,3077.83,387.42,118.05,129.89,24.61,118.62,42.84,11.25
2014,38359.51,977.23,99.82,323.77,207.36,141.14,12.34,0.33,2114.69,638.5,797.43,301.24,1541.41,954.9,423.61,382.42,288.54,477.38,210.84,780.33,1188.85,2797.96,1161.04,380.53,1146.75,1858.04,2835.13,1657.2,1380.36,2235.98,1767.55,2413.37,545.09,2915.77,2629.81,355.59,112.9,132.07,17.69,106.36,35.93,12.25
2013,34535.8,888.46,110.79,278.71,203.02,120.1,9.24,0.29,1979.45,553.85,717.89,215.92,1463.95,919.18,350.86,335.35,247.57,448.89,187.13,667.79,1112.57,2535.52,971.56,403.73,1003.67,1674.95,2782.87,1567.95,1205.45,1996.28,1606.48,2014.23,500.98,2619.22,2148.58,309.34,91.87,130.61,23.4,85.48,43.07,9.55
2012,31919.19469,795.93585,95.50535,269.48572,188.6124,101.81443,21.97765,0.29355,1779.68195,529.94351,602.64432,229.49695,1413.74606,861.04298,323.64887,301.09177,210.17646,469.62039,160.09245,584.55853,1058.20638,2389.24113,877.57857,356.7847,947.45997,1505.83225,2574.85942,1538.39395,1072.08729,1801.47022,1528.81443,1806.8839,466.88664,2405.32261,2000.44731,293.12256,75.06047,128.89902,30.17022,76.75491,36.96829,8.58126
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
